id,parent,oda-oof-flow,year,value
adaptation-fund,Adaptation Fund,oda,2010,21530000.00
adaptation-fund,Adaptation Fund,oda,2011,47100000.00
adaptation-fund,Adaptation Fund,oda,2012,23840000.00
adaptation-fund,Adaptation Fund,oda,2013,6810000.00
adaptation-fund,Adaptation Fund,oda,2014,13210000.00
afdb,African Development Bank and Fund,oda,2001,70270000.00
afdb,African Development Bank and Fund,oda,2002,99040000.00
afdb,African Development Bank and Fund,oda,2003,84960000.00
afdb,African Development Bank and Fund,oda,2004,149820000.00
afdb,African Development Bank and Fund,oda,2005,166210000.00
afdb,African Development Bank and Fund,oda,2006,182720000.00
afdb,African Development Bank and Fund,oda,2007,176280000.00
afdb,African Development Bank and Fund,oda,2008,177160000.00
afdb,African Development Bank and Fund,oda,2009,167220000.00
afdb,African Development Bank and Fund,oda,2010,127470000.00
afdb,African Development Bank and Fund,oda,2011,125220000.00
afdb,African Development Bank and Fund,oda,2012,114440000.00
afdb,African Development Bank and Fund,oda,2013,143160000.00
afdb,African Development Bank and Fund,oda,2014,137440000.00
afdb,African Development Bank and Fund,oof,2000,505600000.00
afdb,African Development Bank and Fund,oof,2001,613700000.00
afdb,African Development Bank and Fund,oof,2002,679450000.00
afdb,African Development Bank and Fund,oof,2003,969340000.00
afdb,African Development Bank and Fund,oof,2004,978770000.00
afdb,African Development Bank and Fund,oof,2005,850900000.00
afdb,African Development Bank and Fund,oof,2006,825060000.00
afdb,African Development Bank and Fund,oof,2007,1398140000.00
afdb,African Development Bank and Fund,oof,2008,1120580000.00
afdb,African Development Bank and Fund,oof,2009,3626480000.00
afdb,African Development Bank and Fund,oof,2010,2042190000.00
afdb,African Development Bank and Fund,oof,2011,3050780000.00
afdb,African Development Bank and Fund,oof,2012,3510110000.00
afdb,African Development Bank and Fund,oof,2013,2304190000.00
afdb,African Development Bank and Fund,oof,2014,3044930000.00
afdf,African Development Bank and Fund,oda,2014,2010240000.00
afdf,African Development Bank and Fund,oda,2007,1645910000.00
afdf,African Development Bank and Fund,oda,2008,1755050000.00
afdf,African Development Bank and Fund,oda,2009,3008150000.00
afdf,African Development Bank and Fund,oda,2010,2286870000.00
afdf,African Development Bank and Fund,oda,2011,2229400000.00
afdf,African Development Bank and Fund,oda,2012,2433520000.00
afdf,African Development Bank and Fund,oda,2013,2276520000.00
afdf,African Development Bank and Fund,oda,2000,359790000.00
afdf,African Development Bank and Fund,oda,2001,525080000.00
afdf,African Development Bank and Fund,oda,2002,821070000.00
afdf,African Development Bank and Fund,oda,2003,675570000.00
afdf,African Development Bank and Fund,oda,2004,1143480000.00
afdf,African Development Bank and Fund,oda,2005,1081190000.00
afdf,African Development Bank and Fund,oda,2006,9614360000.00
arab-fund-afesd,Arab Fund,oda,2009,884320000.00
arab-fund-afesd,Arab Fund,oda,2010,1028440000.00
arab-fund-afesd,Arab Fund,oda,2011,831480000.00
arab-fund-afesd,Arab Fund,oda,2012,854750000.00
arab-fund-afesd,Arab Fund,oda,2013,897220000.00
arab-fund-afesd,Arab Fund,oda,2014,884890000.00
arab-fund-afesd,Arab Fund,oda,2008,1060640000.00
asdb,Asian Development Bank,oof,2008,6472390000.00
asdb,Asian Development Bank,oof,2014,7600470000.00
asdb,Asian Development Bank,oof,2013,6162940000.00
asdb,Asian Development Bank,oof,2012,6899660000.00
asdb,Asian Development Bank,oof,2011,5626160000.00
asdb,Asian Development Bank,oof,2010,5271560000.00
asdb,Asian Development Bank,oof,2009,7897730000.00
