id,year,value
AF,2000,
AF,2001,
AF,2002,0
AF,2003,0
AF,2004,0
AF,2005,0
AF,2006,0
AF,2007,0
AF,2008,4.795479419
AF,2009,10.50807151
AF,2010,17.69717634
AF,2011,15.74955178
AF,2012,15.44017016
AF,2013,26.25947847
AG,2000,351.5214333
AG,2001,437.1954235
AG,2002,277.4420901
AG,2003,310.9369895
AG,2004,315.8216391
AG,2005,263.9401805
AG,2006,272.9116385
AG,2007,273.6523331
AG,2008,276.1636163
AG,2009,257.9126273
AG,2010,242.1326523
AG,2011,237.5589468
AG,2012,230.7920113
AG,2013,244.0711474
AI,2000,
AI,2001,
AI,2002,
AI,2003,
AI,2004,
AI,2005,
AI,2006,
AI,2007,
AI,2008,
AI,2009,
AI,2010,
AI,2011,
AI,2012,
AI,2013,
AL,2000,362.2034021
AL,2001,412.8579013
AL,2002,415.4741174
AL,2003,413.2803957
AL,2004,448.8149293
AL,2005,475.5858507
AL,2006,486.2790759
AL,2007,472.1974289
AL,2008,429.5951928
AL,2009,423.4565895
AL,2010,401.52297
AL,2011,376.5940808
AL,2012,366.5852942
AL,2013,280.3210188
AM,2000,60.47407847
AM,2001,64.82778547
AM,2002,92.45675823
AM,2003,114.6968431
AM,2004,258.53374
AM,2005,242.0897591
AM,2006,282.156052
AM,2007,287.7034592
AM,2008,306.768263
AM,2009,258.1231032
AM,2010,320.5203569
AM,2011,616.4027255
AM,2012,715.0030112
AM,2013,753.402392
AO,2000,0
AO,2001,0
AO,2002,0
AO,2003,0
AO,2004,0
AO,2005,0
AO,2006,0
AO,2007,0
AO,2008,5.306639721
AO,2009,0.011598686
AO,2010,1.176606702
AO,2011,0.010688939
AO,2012,0.002161329
AO,2013,0.002047012
AR,2000,2.953311366
AR,2001,6.490060442
AR,2002,17.23952224
AR,2003,18.809566
AR,2004,19.45097393
AR,2005,24.42194227
AR,2006,28.07237276
AR,2007,27.6788627
AR,2008,27.01285545
AR,2009,25.49048574
AR,2010,23.62797523
AR,2011,22.74265397
AR,2012,13.87893818
AR,2013,12.67014829
AZ,2000,23.8821356
AZ,2001,42.47155458
AZ,2002,72.8881943
AZ,2003,64.40098988
AZ,2004,78.48533244
AZ,2005,176.2727987
AZ,2006,187.2854422
AZ,2007,235.9685215
AZ,2008,218.7740867
AZ,2009,202.6614428
AZ,2010,197.7636799
AZ,2011,214.0989229
AZ,2012,214.0948985
AZ,2013,175.6673692
BA,2000,894.5043217
BA,2001,824.4957725
BA,2002,743.4386545
BA,2003,701.0330421
BA,2004,738.2171073
BA,2005,701.6685206
BA,2006,687.1813108
BA,2007,741.5531587
BA,2008,649.9297554
BA,2009,537.4025259
BA,2010,476.7382048
BA,2011,476.4909026
BA,2012,479.5355515
BA,2013,460.9473029
BD,2000,22.31793782
BD,2001,24.51429561
BD,2002,32.68558945
BD,2003,34.57488708
BD,2004,37.40772885
BD,2005,45.68620037
BD,2006,56.70712234
BD,2007,63.55300826
BD,2008,79.52600288
BD,2009,87.32912432
BD,2010,84.67552713
BD,2011,92.31779589
BD,2012,91.04949135
BD,2013,82.37622299
BF,2000,11.93374373
BF,2001,8.508228572
BF,2002,8.944719189
BF,2003,6.548861807
BF,2004,4.776124756
BF,2005,5.686364872
BF,2006,6.618324855
BF,2007,7.146955823
BF,2008,6.969731623
BF,2009,6.753336996
BF,2010,8.17009325
BF,2011,7.269309351
BF,2012,7.31128395
BF,2013,7.098518406
BI,2000,0
BI,2001,0
BI,2002,0
BI,2003,0
BI,2004,0.010815685
BI,2005,0.015307946
BI,2006,0.002192827
BI,2007,0.034051522
BI,2008,0.55687316
BI,2009,3.928131071
BI,2010,4.258825685
BI,2011,4.849853199
BI,2012,4.714282133
BI,2013,4.380921468
BJ,2000,25.01175781
BJ,2001,23.36074492
BJ,2002,19.12022963
BJ,2003,11.03171385
BJ,2004,11.00811835
BJ,2005,23.74255395
BJ,2006,29.45830075
BJ,2007,31.395832
BJ,2008,22.78744905
BJ,2009,13.95185726
BJ,2010,15.46644257
BJ,2011,13.97790206
BJ,2012,13.87296877
BJ,2013,15.94350053
BO,2000,30.11867405
BO,2001,32.90388319
BO,2002,28.41782669
BO,2003,39.23719178
BO,2004,49.18982924
BO,2005,74.10330013
BO,2006,113.4778924
BO,2007,178.054262
BO,2008,157.3723354
BO,2009,143.4883874
BO,2010,117.7718544
BO,2011,108.5699816
BO,2012,105.8023962
BO,2013,104.733509
BR,2000,22.25925643
BR,2001,27.8389575
BR,2002,42.60204235
BR,2003,44.88713708
BR,2004,49.42840249
BR,2005,29.76320917
BR,2006,29.04664216
BR,2007,24.45487976
BR,2008,23.21046246
BR,2009,18.53570541
BR,2010,14.25785812
BR,2011,12.77533224
BR,2012,13.00056446
BR,2013,12.80366553
BT,2000,0
BT,2001,0
BT,2002,0
BT,2003,0
BT,2004,0
BT,2005,0
BT,2006,4.540417479
BT,2007,5.758563398
BT,2008,5.973888675
BT,2009,8.024212002
BT,2010,14.14708126
BT,2011,15.41314999
BT,2012,14.07736973
BT,2013,16.6838281
BW,2000,23.24911954
BW,2001,23.83942254
BW,2002,26.39992623
BW,2003,28.25402621
BW,2004,56.73463152
BW,2005,67.58252568
BW,2006,62.66319615
BW,2007,55.66094122
BW,2008,28.42572974
BW,2009,9.29502611
BW,2010,10.90126583
BW,2011,9.363885346
BW,2012,8.164304212
BW,2013,18.14536686
BY,2000,38.77188965
BY,2001,36.97876313
BY,2002,31.1182961
BY,2003,43.5060544
BY,2004,43.39932856
BY,2005,28.33534887
BY,2006,34.26087364
BY,2007,32.77099408
BY,2008,54.81334035
BY,2009,58.64312856
BY,2010,59.52515906
BY,2011,98.41753685
BY,2012,111.2743
BY,2013,109.6102463
BZ,2000,133.2667532
BZ,2001,150.1833997
BZ,2002,133.7596242
BZ,2003,159.8932531
BZ,2004,157.6553515
BZ,2005,192.0920331
BZ,2006,256.1874531
BZ,2007,273.018888
BZ,2008,272.4947942
BZ,2009,280.1392593
BZ,2010,268.2744855
BZ,2011,241.887726
BZ,2012,234.3567493
BZ,2013,227.0968628
CD,2000,0
CD,2001,0
CD,2002,0
CD,2003,0
CD,2004,0
CD,2005,0
CD,2006,0
CD,2007,0
CD,2008,0
CD,2009,0
CD,2010,0
CD,2011,0
CD,2012,0
CD,2013,0.178002248
