"id","year","value"
"AD",2013,
"AE",2013,1087.002267
"AF",2013,2.53002546
"AG",2013,1598.043621
"AL",2013,427.3138622
"AM",2013,127.124102
"AO",2013,0
"AR",2013,218.5723698
"AS",2013,
"AT",2013,1242.815937
"AU",2013,2290.430074
"AW",2013,
"AZ",2013,266.7695894
"BA",2013,80.76289499
"BB",2013,1321.533057
"BD",2013,9.506319908
"BE",2013,0
"BF",2013,22.07916727
"BG",2013,194.3041146
"BH",2013,717.3715685
"BI",2013,0.641566333
"BJ",2013,29.6744586
"BM",2013,
"BN",2013,2275.73303
"BO",2013,152.5322925
"BR",2013,323.192569
"BS",2013,2902.913089
"BT",2013,30.07652737
"BW",2013,95.45183872
"BY",2013,212.8614395
"BZ",2013,272.5267584
"CA",2013,1807.374995
"CD",2013,30.61547041
"CF",2013,0.254796467
"CG",2013,482.8223885
"CH",2013,0
"CI",2013,17.44158618
"CL",2013,1165.694592
"CM",2013,24.33066815
"CN",2013,87.03834653
"CO",2013,352.9077719
"CR",2013,523.2975539
"CU",2013,
"CV",2013,35.81537488
"CW",2013,
"CY",2013,473.9566192
"CZ",2013,467.5232755
"DE",2013,314.1890004
"DJ",2013,319.6483336
"DK",2013,354.1955601
"DM",2013,245.8628001
"DO",2013,193.6561739
"DZ",2013,43.57750427
"EC",2013,43.82300984
"EE",2013,683.6058599
"EG",2013,66.83475335
"ER",2013,6.653976592
"ES",2013,806.5931229
"ET",2013,10.21520497
"FI",2013,0
"FJ",2013,300.1128393
"FM",2013,7.59608045
"FO",2013,
"FR",2013,70.44871226
"GA",2013,500.6718223
"GB",2013,574.7266793
"GD",2013,708.4155496
"GE",2013,235.3284259
"GH",2013,118.2440734
"GL",2013,
"GM",2013,15.37309355
"GN",2013,1.981628298
"GQ",2013,2760.491257
"GR",2013,230.3796137
"GT",2013,81.61125006
"GU",2013,
"GW",2013,8.276049116
"GY",2013,300.3582631
"HK",2013,
"HN",2013,135.9997156
"HR",2013,130.1953739
"HT",2013,17.67429703
"HU",2013,289.2978775
"ID",2013,79.11782022
"IE",2013,7458.595325
"IL",2013,1334.934588
"IN",2013,23.36058882
"IQ",2013,88.67616612
"IR",2013,39.89604493
"IS",2013,1015.071425
"IT",2013,263.2589561
"JM",2013,216.5190344
"JO",2013,261.5354532
"JP",2013,22.23612985
"KE",2013,11.11063595
"KG",2013,119.9662275
"KH",2013,90.19613118
"KI",2013,93.06254084
"KM",2013,17.69044244
"KN",2013,1943.101835
"KP",2013,
"KR",2013,233.6055016
"KW",2013,741.5404047
"KY",2013,
"KZ",2013,526.7701445
"LA",2013,41.10748113
"LB",2013,620.2436025
"LC",2013,465.6154745
"LI",2013,
"LK",2013,42.2994595
"LR",2013,239.6312254
"LS",2013,23.61820189
"LT",2013,169.5497227
"LU",2013,51919.47151
"LV",2013,387.3950322
"LY",2013,289.4090868
"MA",2013,96.49203109
"MC",2013,
"MD",2013,58.96275952
"ME",2013,640.954073
"MF",2013,
"MG",2013,34.76125443
"MH",2013,436.0691971
"MK",2013,148.1466514
"ML",2013,25.27171247
"MM",2013,51.87448874
"MN",2013,726.3126168
"MO",2013,
"MP",2013,
"MR",2013,300.0647635
"MT",2013,0
"MU",2013,197.3274677
"MV",2013,892.2118253
"MW",2013,8.055823243
"MX",2013,306.0172547
"MY",2013,426.0115463
"MZ",2013,230.0242812
"NA",2013,340.1338161
"NC",2013,
"NE",2013,35.49269742
"NG",2013,30.15835578
"NI",2013,138.5392777
"NL",2013,1383.533615
"NO",2013,1819.520821
"NP",2013,2.719048308
"NZ",2013,212.6290891
"OM",2013,462.9592855
"PA",2013,1184.380324
"PE",2013,337.7343501
"PF",2013,
"PG",2013,2.686488643
"PH",2013,38.53482568
"PK",2013,7.204631392
"PL",2013,0
"PR",2013,
"PS",2013,
"PT",2013,284.3518886
"PW",2013,271.1678774
"PY",2013,47.65747392
"QA",2013,0
"RO",2013,163.1606517
"RS",2013,169.7444278
"RU",2013,549.5273756
"RW",2013,9.816160966
"SA",2013,334.6633716
"SB",2013,177.2563322
"SC",2013,1667.87184
"SD",2013,75.00985012
"SE",2013,811.2798745
"SG",2013,11658.85711
"SI",2013,0
"SK",2013,104.2766094
"SL",2013,84.40389521
"SM",2013,
"SN",2013,20.69919672
"SO",2013,
"SR",2013,209.9750644
"SS",2013,
"ST",2013,137.2323735
"SV",2013,22.09888862
"SX",2013,
"SY",2013,
"SZ",2013,58.27435054
"TC",2013,
"TD",2013,42.17540574
"TG",2013,11.81627589
"TH",2013,194.4169551
"TJ",2013,12.6165205
"TL",2013,20.5049559
"TM",2013,558.7402903
"TN",2013,100.5073344
"TO",2013,109.4918561
"TR",2013,168.6413431
"TT",2013,1231.527211
"TV",2013,
"TZ",2013,34.74888092
"UA",2013,82.27467625
"UG",2013,29.03665289
"US",2013,584.4611355
"UY",2013,763.7491454
"UZ",2013,34.7217434
"VC",2013,1134.095912
"VE",2013,321.2215706
"VI",2013,
"VN",2013,95.23271708
"VU",2013,137.9956615
"WS",2013,151.5919853
"XK",2013,
"YE",2013,0
"ZA",2013,172.591842
"ZM",2013,123.6069553
"ZW",2013,29.51867332
