"id","year","value"
"AE",2013,0.04
"AT",2013,0.08
"AU",2013,0.09
"BE",2013,0.16
"BG",2013,0.03
"CA",2013,0.1
"CH",2013,0.12
"CY",2013,0.02
"CZ",2013,0.03
"DE",2013,0.09
"DK",2013,0.27
"EE",2013,0.03
"ES",2013,0.03
"FI",2013,0.19
"FR",2013,0.12
"GB",2013,0.24
"GR",2013,0.02
"HR",2013,0.01
"HU",2013,0.02
"IE",2013,0.23
"IL",2013,0
"IS",2013,0.12
"IT",2013,0.05
"JP",2013,0.14
"KR",2013,0.05
"KW",2013,
"LI",2012,0
"LT",2013,0.04
"LU",2013,0.38
"LV",2013,0.02
"MT",2013,0.02
"NL",2013,0.17
"NO",2013,0.3
"NZ",2013,0.09
"PL",2013,0.03
"PT",2013,0.07
"RO",2013,0.01
"RU",2013,0.01
"SE",2013,0.31
"SI",2013,0.02
"SK",2013,0.02
"TH",2013,0.01
"TR",2013,0.05
"US",2013,0.06
