"id","year","value"
"AF",2012,50.31
"AG",2012,67.5
"AL",2012,68.1
"AM",2012,69.34
"AO",2012,50.01
"AR",2012,64.76
"AZ",2012,72.07
"BA",2012,68.2
"BD",2012,64.71
"BF",2012,51.89
"BI",2012,53.37
"BJ",2012,54.16
"BO",2012,59.94
"BR",2012,68.13
"BT",2012,66.77
"BW",2012,62.68
"BY",2012,71.13
"BZ",2012,61.67
"CD",2012,52.04
"CF",2012,56.08
"CG",2012,54.25
"CI",2012,55.37
"CL",2012,68.92
"CM",2012,53.7
"CN",2012,73.34
"CO",2012,66.01
"CR",2012,69.22
"CU",2012,70.41
"DJ",2012,62.41
"DM",2012,
"DO",2012,63.28
"DZ",2012,67.91
"EC",2012,63.32
"EG",2012,63.11
"ER",2012,54.7
"ET",2012,53.32
"FJ",2012,65.92
"FM",2012,60.24
"GA",2012,56.3
"GD",2012,65.91
"GE",2012,68.11
"GH",2012,57.89
"GM",2012,51.66
"GN",2012,54.42
"GQ",2012,58.24
"GT",2012,54.7
"GW",2012,55.54
"GY",2012,59.93
"HN",2012,59.89
"HT",2012,60.14
"ID",2012,65.6
"IN",2012,65.37
"IQ",2012,56.23
"IR",2012,71.08
"JM",2012,64.33
"JO",2012,62.39
"KE",2012,54.99
"KG",2012,65.62
"KH",2012,63.51
"KI",2012,63.61
"KM",2012,54.97
"KN",2012,
"KP",2012,68.79
"KZ",2012,67.99
"LA",2012,60.64
"LB",2012,69.8
"LC",2012,66.95
"LK",2012,66.64
"LR",2012,53.89
"LS",2012,59.05
"LY",2012,65.83
"MA",2012,67.17
"MD",2012,72.25
"ME",2012,68.23
"MG",2012,54.46
"MH",2012,
"ML",2012,50.05
"MM",2012,69.56
"MN",2012,69.15
"MU",2012,71.45
"MV",2012,65.99
"MW",2012,51.41
"MX",2012,64.73
"MY",2012,68.19
"MZ",2012,51.36
"NA",2012,59.9
"NE",2012,47.4
"NG",2012,53.05
"NI",2012,62
"NP",2012,59.36
"PA",2012,64.28
"PE",2012,64.57
"PG",2012,58.77
"PH",2012,61.64
"PK",2012,61.32
"PS",2012,56.4
"PW",2012,
"PY",2012,61.87
"RS",2012,69.52
"RW",2012,54.11
"SB",2012,56.28
"SC",2012,70.18
"SD",2012,55.32
"SL",2012,55.65
"SN",2012,53.44
"SO",2012,49.84
"SR",2012,65.6
"SS",2012,54.25
"ST",2012,54.95
"SV",2012,62.32
"SY",2012,60.7
"SZ",2012,58.53
"TD",2012,49.05
"TG",2012,55.37
"TH",2012,72.12
"TJ",2012,61.05
"TL",2012,50.45
"TM",2012,67.3
"TN",2012,69.7
"TO",2012,56.82
"TR",2012,66.74
"TV",2012,
"TZ",2012,51.98
"UA",2012,70.52
"UG",2012,49.03
"UY",2012,63.93
"UZ",2012,66.82
"VC",2012,67.46
"VE",2012,65.18
"VN",2012,70.58
"VU",2012,58.65
"WS",2012,57.02
"XK",2010,65.88
"YE",2012,56.47
"ZA",2012,65.03
"ZM",2012,50.64
"ZW",2012,55.82
