"id","year","value"
"d101",2013,86.2
"d102",2013,86
"d103",2013,84.5
"d104",2013,70.1
"d105",2013,80.8
"d106",2013,80.5
"d107",2013,69.1
"d108",2013,75.5
"d109",2013,79.1
"d110",2013,81.3
"d111",2013,69.6
"d112",2013,77.7
"d113",2013,81.7
"d114",2013,58.7
"d115",2013,79.9
"d116",2013,72
"d117",2013,78.9
"d118",2013,74.9
"d119",2013,80.2
"d120",2013,51.5
"d121",2013,68.8
"d122",2013,75
"d123",2013,77.8
"d124",2013,67.9
"d201",2013,63.2
"d202",2013,69.2
"d203",2013,68.5
"d204",2013,89.6
"d205",2013,61.6
"d206",2013,62.6
"d207",2013,66.3
"d208",2013,54.7
"d209",2013,73.7
"d210",2013,63.1
"d211",2013,63.1
"d212",2013,59.7
"d213",2013,52.8
"d214",2013,64.2
"d215",2013,67.4
"d216",2013,48.8
"d217",2013,58.9
"d218",2013,69.8
"d219",2013,49.7
"d220",2013,69.9
"d221",2013,52.4
"d222",2013,53.7
"d223",2013,57.7
"d224",2013,54.6
"d225",2013,57.5
"d226",2013,49.4
"d227",2013,55.9
"d228",2013,63.4
"d229",2013,66.5
"d230",2013,58.5
"d231",2013,63.9
"d232",2013,45.7
"d301",2013,84.3
"d302",2013,43.3
"d303",2013,54.7
"d304",2013,73.5
"d305",2013,54.2
"d306",2013,50.5
"d307",2013,58.9
"d308",2013,87.6
"d309",2013,77.7
"d310",2013,52.2
"d311",2013,71.6
"d312",2013,60.5
"d313",2013,68.6
"d314",2013,23.8
"d315",2013,66.2
"d316",2013,52.6
"d317",2013,68.5
"d318",2013,26.6
"d319",2013,59.9
"d320",2013,51
"d321",2013,60.9
"d322",2013,61.2
"d323",2013,52.1
"d324",2013,78.8
"d325",2013,40.5
"d326",2013,58.5
"d327",2013,60.7
"d328",2013,71.4
"d329",2013,64.1
"d330",2013,55.5
"d401",2013,73.8
"d402",2013,74.5
"d403",2013,76.5
"d404",2013,77.2
"d405",2013,75.5
"d406",2013,65.7
"d407",2013,73.9
"d408",2013,75.5
"d409",2013,66.5
"d410",2013,77.9
"d411",2013,66.8
"d412",2013,83.3
"d413",2013,70.7
"d414",2013,69.5
"d415",2013,71.6
"d416",2013,50.2
"d417",2013,78.8
"d418",2013,63.2
"d419",2013,61.3
"d420",2013,80.1
"d421",2013,59.4
"d422",2013,73.5
"d423",2013,71.6
"d424",2013,79.1
"d425",2013,73.6
"d426",2013,71
