country-id,adm1-id,adm2-id,adm3-id,adm4-id,adm4-name
UGA,UGA1,UGA101,UGA1011,UGA101101,Bujjumba
UGA,UGA1,UGA101,UGA1011,UGA101102,Kalangala T.c.
UGA,UGA1,UGA101,UGA1011,UGA101103,Mugoye
UGA,UGA1,UGA101,UGA1012,UGA101201,Bubeke
UGA,UGA1,UGA101,UGA1012,UGA101202,Bufumira
UGA,UGA1,UGA101,UGA1012,UGA101203,Kyamuswa
UGA,UGA1,UGA101,UGA1012,UGA101204,Mazinga
UGA,UGA1,UGA102,UGA1021,UGA102101,Central Division
UGA,UGA1,UGA102,UGA1021,UGA102102,Kawempe Division
UGA,UGA1,UGA102,UGA1021,UGA102103,Makindye Division
UGA,UGA1,UGA102,UGA1021,UGA102104,Nakawa Division
UGA,UGA1,UGA102,UGA1021,UGA102105,Rubaga Division
UGA,UGA1,UGA103,UGA1031,UGA103101,Bukomero
UGA,UGA1,UGA103,UGA1031,UGA103102,Butemba
UGA,UGA1,UGA103,UGA1031,UGA103103,Dwaniro
UGA,UGA1,UGA103,UGA1031,UGA103104,Gayaza
UGA,UGA1,UGA103,UGA1031,UGA103105,Kapeke
UGA,UGA1,UGA103,UGA1031,UGA103106,Kibiga
UGA,UGA1,UGA103,UGA1031,UGA103107,Kiboga T.c.
UGA,UGA1,UGA103,UGA1031,UGA103108,Kyankwanzi
UGA,UGA1,UGA103,UGA1031,UGA103109,Lwamata
UGA,UGA1,UGA103,UGA1031,UGA103110,Mulagi
UGA,UGA1,UGA103,UGA1031,UGA103111,Muwanga
UGA,UGA1,UGA103,UGA1031,UGA103112,Nsambya
UGA,UGA1,UGA103,UGA1031,UGA103113,Ntwetwe
UGA,UGA1,UGA103,UGA1031,UGA103114,Wattuba
UGA,UGA1,UGA104,UGA1041,UGA104101,Bamunanika
UGA,UGA1,UGA104,UGA1041,UGA104102,Kalagala
UGA,UGA1,UGA104,UGA1041,UGA104103,Kamira
UGA,UGA1,UGA104,UGA1041,UGA104104,Kikyusa
UGA,UGA1,UGA104,UGA1041,UGA104105,Zirobwe
UGA,UGA1,UGA104,UGA1042,UGA104201,Bombo T.c.
UGA,UGA1,UGA104,UGA1042,UGA104202,Butuntumula
UGA,UGA1,UGA104,UGA1042,UGA104203,Katikamu
UGA,UGA1,UGA104,UGA1042,UGA104204,Luwero
UGA,UGA1,UGA104,UGA1042,UGA104205,Luwero T.c.
UGA,UGA1,UGA104,UGA1042,UGA104206,Makulubita
UGA,UGA1,UGA104,UGA1042,UGA104207,Nyimbwa
UGA,UGA1,UGA104,UGA1042,UGA104208,Wobulenzi T.c.
UGA,UGA1,UGA105,UGA1051,UGA105101,Bigasa
UGA,UGA1,UGA105,UGA1051,UGA105102,Butenga
UGA,UGA1,UGA105,UGA1051,UGA105103,Kibinge
UGA,UGA1,UGA105,UGA1051,UGA105104,Kitanda
UGA,UGA1,UGA105,UGA1052,UGA105201,Bukakata
UGA,UGA1,UGA105,UGA1052,UGA105202,Buwunga
UGA,UGA1,UGA105,UGA1052,UGA105203,Kabonera
UGA,UGA1,UGA105,UGA1052,UGA105204,Kisekka
UGA,UGA1,UGA105,UGA1052,UGA105205,Kkingo
UGA,UGA1,UGA105,UGA1052,UGA105206,Kyanamukaaka
UGA,UGA1,UGA105,UGA1052,UGA105207,Kyazanga
UGA,UGA1,UGA105,UGA1052,UGA105208,Lwengo
UGA,UGA1,UGA105,UGA1052,UGA105209,Malongo
UGA,UGA1,UGA105,UGA1052,UGA105210,Mukungwe
UGA,UGA1,UGA105,UGA1052,UGA105211,Ndagwe
UGA,UGA1,UGA105,UGA1053,UGA105301,Bukulula
UGA,UGA1,UGA105,UGA1053,UGA105302,Kalungu
UGA,UGA1,UGA105,UGA1053,UGA105303,Kyamuliibwa
UGA,UGA1,UGA105,UGA1053,UGA105304,Lukaya T.c.
UGA,UGA1,UGA105,UGA1053,UGA105305,Lwabenge
UGA,UGA1,UGA105,UGA1054,UGA105401,Katwe/butego
UGA,UGA1,UGA105,UGA1054,UGA105402,Kimanya/kyabakuza
UGA,UGA1,UGA105,UGA1054,UGA105403,Nyendo/senyange
UGA,UGA1,UGA106,UGA1061,UGA106101,Budde
UGA,UGA1,UGA106,UGA1061,UGA106102,Bulo
UGA,UGA1,UGA106,UGA1061,UGA106103,Kalamba
UGA,UGA1,UGA106,UGA1061,UGA106104,Kibibi
UGA,UGA1,UGA106,UGA1061,UGA106105,Ngando
UGA,UGA1,UGA106,UGA1062,UGA106201,Kabulasoke
UGA,UGA1,UGA106,UGA1062,UGA106202,Kyegonza
UGA,UGA1,UGA106,UGA1062,UGA106203,Maddu
UGA,UGA1,UGA106,UGA1062,UGA106204,Mpenja
UGA,UGA1,UGA106,UGA1063,UGA106301,Buwama
UGA,UGA1,UGA106,UGA1063,UGA106302,Kamengo
UGA,UGA1,UGA106,UGA1063,UGA106303,Kiringente
UGA,UGA1,UGA106,UGA1063,UGA106304,Kituntu
UGA,UGA1,UGA106,UGA1063,UGA106305,Mpigi
UGA,UGA1,UGA106,UGA1063,UGA106306,Mpigi T.c.
UGA,UGA1,UGA106,UGA1063,UGA106307,Muduma
UGA,UGA1,UGA106,UGA1063,UGA106308,Nkozi
UGA,UGA1,UGA107,UGA1072,UGA107201,Bagezza
UGA,UGA1,UGA107,UGA1072,UGA107202,Butoloogo
UGA,UGA1,UGA107,UGA1072,UGA107203,Kasambya
