id,year,value
AF,2000,
AL,2000,0.006959275
DZ,2000,0.013277313
AO,2000,0.099659718
AG,2000,0.370510397
AR,2000,1
AM,2000,0.001853902
AU,2000,0.582344193
AT,2000,0.924022965
AZ,2000,1.117634591
BH,2000,2.658744131
BD,2000,0.019754155
BB,2000,0.50008009
BY,2000,0.001140597
BE,2000,0.924022919
BZ,2000,0.499922565
BJ,2000,0.001408583
BT,2000,0.023698782
BO,2000,0.161473579
BA,2000,0.471077184
BW,2000,0.2012604
BR,2000,0.546624728
BN,2000,0.58003093
BG,2000,0.472455385
BF,2000,0.001404431
BI,2000,0.001386823
CV,2000,0.008350346
KH,2000,0.000260392
CM,2000,0.001402217
CA,2000,0.673350841
CF,2000,0.001408733
TD,2000,0.001408641
CL,2000,0.001853608
CN,2000,0.120796565
CO,2000,0.00047895
KM,2000,0.001873649
CR,2000,0.003244865
CI,2000,0.001408601
HR,2000,0.120799374
CY,2000,0.942762221
CZ,2000,0.025907959
CD,2000,0.014484369
DK,2000,0.123714401
DJ,2000,0.005627815
DM,2000,0.370412196
DO,2000,0.061798634
EC,2000,1
EG,2000,0.293361124
SV,2000,1
GQ,2000,0.001404543
ER,2000,0.1038388
EE,2000,0.924647545
ET,2000,0.127332031
FJ,2000,0.469662921
FI,2000,0.924020813
FR,2000,0.924021563
MK,2000,0.015181551
GA,2000,0.001404473
GE,2000,0.505903875
DE,2000,0.924021765
GH,2000,1.834995015
GR,2000,0.936330539
GD,2000,0.37037037
GT,2000,0.12881201
GN,2000,0.000572386
GW,2000,0.001407676
GY,2000,0.005474657
HT,2000,0.057530963
HN,2000,0.06660791
HK,2000,0.128350558
HU,2000,0.003543816
IS,2000,0.012720255
IN,2000,0.02217028
ID,2000,0.00011874
IQ,2000,
IE,2000,0.924025269
IR,2000,0.000180885
IL,2000,0.245258095
IT,2000,0.924021524
JM,2000,0.023923106
JP,2000,0.009279408
JO,2000,1.410401734
KZ,2000,0.00703565
KE,2000,0.013648155
KI,2000,0.586206897
KR,2000,0.000884206
XK,2000,0.924286305
KW,2000,3.259960245
KG,2000,0.020930873
LA,2000,0.000136296
LV,2000,1.159168019
LB,2000,0.000663359
LS,2000,0.148750058
LR,2000,1
LY,2000,1.952402816
LT,2000,0.863234412
LU,2000,0.924055013
MG,2000,0.00073889
MW,2000,0.019323274
MY,2000,0.263156566
