id,year,estimate,value
AF,1980,FALSE,
AO,1980,FALSE,
AL,1980,FALSE,33.8690817186
AE,1980,FALSE,3.1376953801
AR,1980,FALSE,
AM,1980,FALSE,
AG,1980,FALSE,3.1526278409
AU,1980,FALSE,3.7923867615
AT,1980,FALSE,2.1657662406
AZ,1980,FALSE,
BI,1980,FALSE,18.9327371398
BE,1980,FALSE,2.438877378
BJ,1980,FALSE,3.5159825115
BF,1980,FALSE,2.7076563959
BD,1980,FALSE,7.508318326
BG,1980,FALSE,2346.6129032258
BH,1980,FALSE,2.3387612856
BS,1980,FALSE,2.2916747234
BA,1980,FALSE,
BY,1980,FALSE,
BZ,1980,FALSE,1.6457978402
BO,1980,FALSE,549404
BR,1980,FALSE,
BB,1980,FALSE,3.0850973055
BN,1980,FALSE,
BT,1980,TRUE,9.2240077355
BW,1980,FALSE,16.567370721
CF,1980,FALSE,4.472242684
CA,1980,FALSE,2.6083533117
CH,1980,FALSE,1.8521255981
CL,1980,FALSE,28.6311904762
CN,1980,FALSE,5.6300498539
CI,1980,FALSE,3.5944293906
CM,1980,FALSE,3.5689650695
CD,1980,FALSE,
CG,1980,FALSE,4.2644214247
CO,1980,FALSE,101.8913352273
KM,1980,FALSE,4.3793997201
CV,1980,FALSE,4.3793997201
CR,1980,FALSE,4.2590354578
CY,1980,FALSE,161.1999033505
CZ,1980,FALSE,3.6838288162
DE,1980,FALSE,
DJ,1980,FALSE,2.0471787445
DM,1980,FALSE,
DK,1980,FALSE,2.8459964568
DO,1980,FALSE,2.776279633
DZ,1980,FALSE,71.4759249873
EC,1980,FALSE,41.0095435025
EG,1980,FALSE,2.0175600207
ER,1980,FALSE,25.6328403421
ES,1980,FALSE,
EE,1980,FALSE,5.0046668653
ET,1980,FALSE,
FI,1980,FALSE,11.7256867396
FJ,1980,FALSE,2.9703150409
FR,1980,FALSE,3.327822913
FM,1980,FALSE,2.5596847967
GA,1980,FALSE,
GB,1980,FALSE,5.0551274452
GE,1980,FALSE,3.1107662292
GH,1980,FALSE,
GN,1980,FALSE,2478.525862069
GM,1980,FALSE,118.5654718361
GW,1980,FALSE,15.7398392139
GQ,1980,FALSE,4.9642784656
GR,1980,FALSE,16.5984422328
GD,1980,FALSE,19.8368707244
GT,1980,FALSE,2.6377526767
GY,1980,FALSE,23.848666917
HK,1980,FALSE,252.8977777778
HN,1980,FALSE,3.1791342751
HR,1980,FALSE,21.1952768406
HT,1980,FALSE,
HU,1980,FALSE,41.3049728645
ID,1980,FALSE,27.8134987384
IO,1980,FALSE,33.579109063
IE,1980,FALSE,10.9998799592
IR,1980,FALSE,3.861156772
IQ,1980,FALSE,434.5208333333
IS,1980,FALSE,
IL,1980,FALSE,49.7149022595
IT,1980,FALSE,2218.9795918367
JM,1980,FALSE,5.0713651695
JO,1980,FALSE,195.7384769539
JP,1980,FALSE,5.3667722973
KZ,1980,FALSE,0.9962776032
KE,1980,FALSE,
KG,1980,FALSE,17.230830459
KH,1980,FALSE,
KI,1980,FALSE,
KN,1980,FALSE,3.6313202007
KP,1980,FALSE,3.9416589681
KW,1980,FALSE,4.3256748274
LA,1980,FALSE,2.5589770464
LB,1980,FALSE,1045.0196078431
LR,1980,FALSE,2292.7142857143
LY,1980,FALSE,
LC,1980,FALSE,10.4797655372
LK,1980,FALSE,2.7901830355
LS,1980,FALSE,23.2638681974
LT,1980,FALSE,17.6640854734
LU,1980,FALSE,
LV,1980,FALSE,2.6958984178
MA,1980,FALSE,
MD,1980,FALSE,3.1435483041
MG,1980,FALSE,
MV,1980,FALSE,79.3684340321
MX,1980,FALSE,7.4451869822
