id,name,dac-continent-code,dac-continent,dac-id,color
europe,Europe,89,Europe,89,#1b365d
north-of-sahara,North Africa,298,Africa,189,#b7bf10
south-of-sahara,Sub-Saharan Africa,298,Africa,289,#ba0c2f
north-central-america,North & Central America,498,America,389,#0095c8
south-america,South America,498,America,489,#93328e
middle-east,Middle East,798,Asia,589,#000000
south-central-asia,South & Central Asia,798,Asia,689,#66bfde
east-asia,East Asia,798,Asia,789,#ea7600
oceania,Oceania,889,Oceania,889,#ffffff
unspecified,Unspecified,999,Unspecified,999,#333333
