id,name,slug
d101,Kalangala,kalangala
d102,Kampala,kampala
d103,Kiboga,kiboga
d104,Luwero,luwero
d105,Masaka,masaka
d106,Mpigi,mpigi
d107,Mubende,mubende
d108,Mukono,mukono
d109,Nakasongola,nakasongola
d110,Rakai,rakai
d111,Ssembabule,ssembabule
d112,Kayunga,kayunga
d113,Wakiso,wakiso
d114,Lyantonde,lyantonde
d115,Mityana,mityana
d116,Nakaseke,nakaseke
d117,Buikwe,buikwe
d118,Bukomansimbi,bukomansimbi
d119,Butambala,butambala
d120,Buvuma,buvuma
d121,Gomba,gomba
d122,Kalungu,kalungu
d123,Kyankwanzi,kyankwanzi
d124,Lwengo,lwengo
d201,Bugiri,bugiri
d202,Busia,busia
d203,Iganga,iganga
d204,Jinja,jinja
d205,Kamuli,kamuli
d206,Kapchorwa,kapchorwa
d207,Katakwi,katakwi
d208,Kumi,kumi
d209,Mbale,mbale
d210,Pallisa,pallisa
d211,Soroti,soroti
d212,Tororo,tororo
d213,Kaberamaido,kaberamaido
d214,Mayuge,mayuge
d215,Sironko,sironko
d216,Amuria,amuria
d217,Budaka,budaka
d218,Bududa,bududa
d219,Bukedea,bukedea
d220,Bukwo,bukwo
d221,Butaleja,butaleja
d222,Kaliro,kaliro
d223,Manafwa,manafwa
d224,Namutumba,namutumba
d225,Bulambuli,bulambuli
d226,Buyende,buyende
d227,Kibuku,kibuku
d228,Kween,kween
d229,Luuka,luuka
d230,Namayingo,namayingo
d231,Ngora,ngora
d232,Serere,serere
d301,Adjumani,adjumani
d302,Apac,apac
d303,Arua,arua
d304,Gulu,gulu
d305,Kitgum,kitgum
d306,Kotido,kotido
d307,Lira,lira
d308,Moroto,moroto
d309,Moyo,moyo
d310,Nebbi,nebbi
d311,Nakapiripirit,nakapiripirit
d312,Pader,pader
d313,Yumbe,yumbe
d314,Abim,abim
d315,Amolatar,amolatar
d316,Amuru,amuru
d317,Dokolo,dokolo
d318,Kaabong,kaabong
d319,Koboko,koboko
d320,Maracha,maracha
d321,Oyam,oyam
d322,Agago,agago
d323,Alebtong,alebtong
d324,Amudat,amudat
d325,Kole,kole
d326,Lamwo,lamwo
d327,Napak,napak
d328,Nwoya,nwoya
d329,Otuke,otuke
d330,Zombo,zombo
d401,Bundibugyo,bundibugyo
d402,Bushenyi,bushenyi
d403,Hoima,hoima
d404,Kabale,kabale
d405,Kabarole,kabarole
d406,Kasese,kasese
d407,Kibaale,kibaale
d408,Kisoro,kisoro
d409,Masindi,masindi
d410,Mbarara,mbarara
d411,Ntungamo,ntungamo
d412,Rukungiri,rukungiri
d413,Kamwenge,kamwenge
d414,Kanungu,kanungu
d415,Kyenjojo,kyenjojo
d416,Buliisa,buliisa
d417,Ibanda,ibanda
d418,Isingiro,isingiro
d419,Kiruhura,kiruhura
d420,Buhweju,buhweju
d421,Kiryandongo,kiryandongo
d422,Kyegegwa,kyegegwa
d423,Mitooma,mitooma
d424,Ntoroko,ntoroko
d425,Rubirizi,rubirizi
d426,Sheema,sheema
