"series","country-year"
"id","adult-literacy"
"type","simple"
"parent",
"name","Literacy rate, adult total (% of people ages 15 and above)"
"columns","id, year, value, original-value"
"description","Literacy rate, adult total (% of people ages 15 and above)"
"default-scale","lin"
"theme","education"
"theme-order",
"global-picture-color-ramp",
"uom","percent"
"uom_display","%"
"source","World Bank World Development Indicators"
"calculation",
"format",
"highorlow","highisbetter"
"range",
"interpolated","1"
"missing-donor","NA"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
