"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","green","Over 75%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"AO","Angola","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BJ","Benin","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BW","Botswana","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BF","Burkina Faso","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"BI","Burundi","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CM","Cameroon","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CV","Cape Verde","orange","Developing ""model of best practice""","EurActiv Report","http://www.euractiv.com/sections/development-policy/civil-registration-africas-greatest-development-failure-holds-key-her"
"CF","CAR","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TD","Chad","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"KM","Comoros","red","No CR data used for vital statistics","UN High Commissioner for Refugees Submission","http://www.refworld.org/pdfid/51b823064.pdf"
"CG","Congo","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CI","Côte d'Ivoire","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"DJ","Djibouti","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"CD","DRC","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"EG","Egypt","green","70-90%","Civil Registration and Vital Statistics Assessment Study in Africa","http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf"
"GQ","Equatorial Guinea","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ER","Eritrea","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ET","Ethiopia","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GA","Gabon","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GM","Gambia","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GH","Ghana","orange","Over 25%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GN","Guinea","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"GW","Guinea-Bissau","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"KE","Kenya","orange","Over 25%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"LS","Lesotho","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"LR","Liberia","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"LY","Libya","red","No CR data used for vital statistics",,
"MG","Madagascar","red","No CR data used for vital statistics","UN High Commissioner for Refugees Submission","http://www.refworld.org/pdfid/51b823064.pdf"
"MW","Malawi","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ML","Mali","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"MR","Mauritania","green","Over 75%",,
"MU","Mauritius","green","Over 90%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"MA","Morocco","orange","60-69%","Civil Registration and Vital Statistics Assessment Study in Africa","http://213.55.79.31/statcom/2011/assd/EN-PreliminaryReportCRVS.pdf"
"MZ","Mozambique","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NA","Namibia","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NE","Niger","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"NG","Nigeria","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"RW","Rwanda","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ST","Sao Tome & Principe","red","No CR data used for vital statistics",,
"SN","Senegal","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SC","Seychelles","green","Over 75%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/AFRO:Civil_registration_and_vital_statistics_systems"
"SL","Sierra Leone","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SO","Somalia","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"ZA","South Africa","green","Over 80%","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SS","South Sudan","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SD","Sudan","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"SZ","Swaziland","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TZ","Tanzania","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TG","Togo","red","No CR data used for vital statistics","World Health Organization African Health Observatory","http://www.aho.afro.who.int/profiles_information/images/0/09/Percentag_civil_registration_death.jpg"
"TN","Tunisia","green","""Satisfactory""",,"http://www.globalsummitoncrvs.org/pdf/EMRORapidAssessmentReport21March.pdf"
