"id","entity-name","year","value"
"AU","Australia",1960,0.37
"AU","Australia",1961,0.44
"AU","Australia",1962,0.43
"AU","Australia",1963,0.51
"AU","Australia",1964,0.48
"AU","Australia",1965,0.53
"AU","Australia",1966,0.56
"AU","Australia",1967,0.62
"AU","Australia",1968,0.56
"AU","Australia",1969,0.6
"AU","Australia",1970,0.62
"AU","Australia",1971,0.56
"AU","Australia",1972,0.62
"AU","Australia",1973,0.47
"AU","Australia",1974,0.55
"AU","Australia",1975,0.66
"AU","Australia",1976,0.41
"AU","Australia",1977,0.42
"AU","Australia",1978,0.55
"AU","Australia",1979,0.53
"AU","Australia",1980,0.48
"AU","Australia",1981,0.41
"AU","Australia",1982,0.56
"AU","Australia",1983,0.49
"AU","Australia",1984,0.45
"AU","Australia",1985,0.48
"AU","Australia",1986,0.47
"AU","Australia",1987,0.34
"AU","Australia",1988,0.46
"AU","Australia",1989,0.38
"AU","Australia",1990,0.34
"AU","Australia",1991,0.38
"AU","Australia",1992,0.37
"AU","Australia",1993,0.35
"AU","Australia",1994,0.34
"AU","Australia",1995,0.34
"AU","Australia",1996,0.27
"AU","Australia",1997,0.27
"AU","Australia",1998,0.27
"AU","Australia",1999,0.26
"AU","Australia",2000,0.27
"AU","Australia",2001,0.25
"AU","Australia",2002,0.26
"AU","Australia",2003,0.25
"AU","Australia",2004,0.25
"AU","Australia",2005,0.25
"AU","Australia",2006,0.3
"AU","Australia",2007,0.32
"AU","Australia",2008,0.32
"AU","Australia",2009,0.29
"AU","Australia",2010,0.32
"AU","Australia",2011,0.34
"AU","Australia",2012,0.36
"AU","Australia",2013,0.33
"AU","Australia",2014,0.31
"AT","Austria",1960,0
"AT","Austria",1961,0.04
"AT","Austria",1962,0.03
"AT","Austria",1963,0.05
"AT","Austria",1964,0.08
"AT","Austria",1965,0.11
"AT","Austria",1966,0.12
"AT","Austria",1967,0.14
"AT","Austria",1968,0.14
"AT","Austria",1969,0.11
"AT","Austria",1970,0.07
"AT","Austria",1971,0.07
"AT","Austria",1972,0.09
"AT","Austria",1973,0.15
"AT","Austria",1974,0.18
"AT","Austria",1975,0.21
"AT","Austria",1976,0.12
"AT","Austria",1977,0.23
"AT","Austria",1978,0.27
"AT","Austria",1979,0.19
"AT","Austria",1980,0.23
"AT","Austria",1981,0.33
"AT","Austria",1982,0.36
"AT","Austria",1983,0.24
"AT","Austria",1984,0.28
"AT","Austria",1985,0.38
"AT","Austria",1986,0.21
"AT","Austria",1987,0.17
"AT","Austria",1988,0.24
"AT","Austria",1989,0.23
"AT","Austria",1990,0.11
"AT","Austria",1991,0.18
"AT","Austria",1992,0.11
"AT","Austria",1993,0.11
"AT","Austria",1994,0.17
"AT","Austria",1995,0.27
"AT","Austria",1996,0.23
"AT","Austria",1997,0.24
"AT","Austria",1998,0.22
"AT","Austria",1999,0.24
"AT","Austria",2000,0.23
"AT","Austria",2001,0.34
"AT","Austria",2002,0.26
"AT","Austria",2003,0.2
"AT","Austria",2004,0.23
"AT","Austria",2005,0.52
"AT","Austria",2006,0.47
"AT","Austria",2007,0.5
"AT","Austria",2008,0.43
"AT","Austria",2009,0.3
"AT","Austria",2010,0.32
"AT","Austria",2011,0.27
"AT","Austria",2012,0.28
"AT","Austria",2013,0.27
"AT","Austria",2014,0.28
"BE","Belgium",1960,0.88
"BE","Belgium",1961,0.76
"BE","Belgium",1962,0.54
"BE","Belgium",1963,0.57
"BE","Belgium",1964,0.46
"BE","Belgium",1965,0.6
"BE","Belgium",1966,0.42
"BE","Belgium",1967,0.45
"BE","Belgium",1968,0.42
"BE","Belgium",1969,0.5
"BE","Belgium",1970,0.46
"BE","Belgium",1971,0.5
"BE","Belgium",1972,0.55
"BE","Belgium",1973,0.51
"BE","Belgium",1974,0.5
"BE","Belgium",1975,0.6
"BE","Belgium",1976,0.5
"BE","Belgium",1977,0.47
"BE","Belgium",1978,0.55
"BE","Belgium",1979,0.58
"BE","Belgium",1980,0.5
"BE","Belgium",1981,0.59
"BE","Belgium",1982,0.58
"BE","Belgium",1983,0.59
"BE","Belgium",1984,0.57
"BE","Belgium",1985,0.55
"BE","Belgium",1986,0.48
"BE","Belgium",1987,0.48
"BE","Belgium",1988,0.39
"BE","Belgium",1989,0.46
"BE","Belgium",1990,0.46
"BE","Belgium",1991,0.41
"BE","Belgium",1992,0.39
"BE","Belgium",1993,0.39
"BE","Belgium",1994,0.32
"BE","Belgium",1995,0.38
"BE","Belgium",1996,0.34
"BE","Belgium",1997,0.31
"BE","Belgium",1998,0.35
"BE","Belgium",1999,0.3
"BE","Belgium",2000,0.36
"BE","Belgium",2001,0.37
"BE","Belgium",2002,0.43
"BE","Belgium",2003,0.6
"BE","Belgium",2004,0.41
