"series","country-year"
"id","domestic-sectors"
"type","multi"
"parent",
"name","Government expenditure by sector"
"columns","id, year, budget-type,l1,l2,l3,l4,l5,l6,value,value-ncu"
"description","Government expenditure by sector"
"default-scale","lin"
"themes","dpf"
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","constant 2012 US$, NCU"
"uom_display","constant 2012 US$, NCU"
"source","Development Initiatives based on data from the Minist�re de l'�conomie et des finances (Senegal) and The Ministry of Finance, Planning and Economic Development (Uganda)"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
