"id","currency.2000","budget-type.2000","l1.2000","l2.2000","l3.2000","l4.2000","l5.2000","l6.2000","value.2000","value-ncu.2000","currency.2001","budget-type.2001","l1.2001","l2.2001","l3.2001","l4.2001","l5.2001","l6.2001","value.2001","value-ncu.2001","currency.2002","budget-type.2002","l1.2002","l2.2002","l3.2002","l4.2002","l5.2002","l6.2002","value.2002","value-ncu.2002","currency.2003","budget-type.2003","l1.2003","l2.2003","l3.2003","l4.2003","l5.2003","l6.2003","value.2003","value-ncu.2003","currency.2004","budget-type.2004","l1.2004","l2.2004","l3.2004","l4.2004","l5.2004","l6.2004","value.2004","value-ncu.2004","currency.2005","budget-type.2005","l1.2005","l2.2005","l3.2005","l4.2005","l5.2005","l6.2005","value.2005","value-ncu.2005","currency.2006","budget-type.2006","l1.2006","l2.2006","l3.2006","l4.2006","l5.2006","l6.2006","value.2006","value-ncu.2006","currency.2007","budget-type.2007","l1.2007","l2.2007","l3.2007","l4.2007","l5.2007","l6.2007","value.2007","value-ncu.2007","currency.2008","budget-type.2008","l1.2008","l2.2008","l3.2008","l4.2008","l5.2008","l6.2008","value.2008","value-ncu.2008","currency.2009","budget-type.2009","l1.2009","l2.2009","l3.2009","l4.2009","l5.2009","l6.2009","value.2009","value-ncu.2009","currency.2010","budget-type.2010","l1.2010","l2.2010","l3.2010","l4.2010","l5.2010","l6.2010","value.2010","value-ncu.2010","currency.2011","budget-type.2011","l1.2011","l2.2011","l3.2011","l4.2011","l5.2011","l6.2011","value.2011","value-ncu.2011","currency.2012","budget-type.2012","l1.2012","l2.2012","l3.2012","l4.2012","l5.2012","l6.2012","value.2012","value-ncu.2012","currency.2013","budget-type.2013","l1.2013","l2.2013","l3.2013","l4.2013","l5.2013","l6.2013","value.2013","value-ncu.2013","currency.2014","budget-type.2014","l1.2014","l2.2014","l3.2014","l4.2014","l5.2014","l6.2014","value.2014","value-ncu.2014","currency.2015","budget-type.2015","l1.2015","l2.2015","l3.2015","l4.2015","l5.2015","l6.2015","value.2015","value-ncu.2015","currency.2016","budget-type.2016","l1.2016","l2.2016","l3.2016","l4.2016","l5.2016","l6.2016","value.2016","value-ncu.2016","currency.2017","budget-type.2017","l1.2017","l2.2017","l3.2017","l4.2017","l5.2017","l6.2017","value.2017","value-ncu.2017","currency.2018","budget-type.2018","l1.2018","l2.2018","l3.2018","l4.2018","l5.2018","l6.2018","value.2018","value-ncu.2018","currency.2019","budget-type.2019","l1.2019","l2.2019","l3.2019","l4.2019","l5.2019","l6.2019","value.2019","value-ncu.2019","currency.2020","budget-type.2020","l1.2020","l2.2020","l3.2020","l4.2020","l5.2020","l6.2020","value.2020","value-ncu.2020"
"UG","Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2290137412.5,1.575e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2555096405.4,1.914e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2551700740.6,1.969e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,2469532938.4,2.264e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3311627014.85,2.9183e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3410390469.2,3.146e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3241821917.6,3.241e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3594963062.4,3.624e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3455735200,3.8e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3059313891.8,4.546e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3073514908.8,5.136e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3225048796.8,7.221e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3102705411.2,7.771e+12,"Ugandan Shillings","actual","total-revenue-and-grants",,,,,,3023488496.5,8.245e+12,"Ugandan Shillings","budget","total-revenue-and-grants",,,,,,3312474363.87,9.6799e+12,"Ugandan Shillings","budget","total-revenue-and-grants",,,,,,3213173121.65,1.08685e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,3210337200,1.1872e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,3386155857,1.351e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,3634724226.3,1.5537e+13,"Ugandan Shillings","proj","total-revenue-and-grants",,,,,,3897872950.8,1.7726e+13,,,,,,,,,,
"MZ","Meticais","actual","total-revenue-and-grants",,,,,,,,"Meticais","actual","total-revenue-and-grants",,,,,,,,"Meticais","actual","total-revenue-and-grants",,,,,,1882039532.5908,2.2077e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2069054768.904,2.5555e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2133678130.2324,2.6891e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2242350361.0722,3.1393e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2781656370.3635,4.6121e+10,"Meticais","actual","total-revenue-and-grants",,,,,,2871637411.141,5.233e+10,"Meticais","actual","total-revenue-and-grants",,,,,,3262818346.509,6.091e+10,"Meticais","actual","total-revenue-and-grants",,,,,,3352700002.911,7.203e+10,"Meticais","actual","total-revenue-and-grants",,,,,,3069636881.324,8.996e+10,"Meticais","actual","total-revenue-and-grants",,,,,,3745343193.12,1.044e+11,"Meticais","actual","total-revenue-and-grants",,,,,,4089476659.83,1.167e+11,"Meticais","actual","total-revenue-and-grants",,,,,,4768340330.4,1.515e+11,"Meticais","proj","total-revenue-and-grants",,,,,,4654700898.4,1.649e+11,"Meticais","proj","total-revenue-and-grants",,,,,,4517068019.52,1.722e+11,"Meticais","proj","total-revenue-and-grants",,,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,,"Meticais","proj","total-revenue-and-grants",,,,,,,
"BD","Taka","actual","total-revenue-and-grants",,,,,,,,"Taka","actual","total-revenue-and-grants",,,,,,,,"Taka","actual","total-revenue-and-grants",,,,,,9019066851.2,2.768e+11,"Taka","actual","total-revenue-and-grants",,,,,,9623373818.34,3.097e+11,"Taka","actual","total-revenue-and-grants",,,,,,9833053865.4,3.39e+11,"Taka","actual","total-revenue-and-grants",,,,,,9933992213.32,3.892e+11,"Taka","actual","total-revenue-and-grants",,,,,,10095511094.4,4.44e+11,"Taka","actual","total-revenue-and-grants",,,,,,10660257466.6,5.11e+11,"Taka","actual","total-revenue-and-grants",,,,,,11949437331,6.15e+11,"Taka","actual","total-revenue-and-grants",,,,,,12078975202.7,6.67e+11,"Taka","actual","total-revenue-and-grants",,,,,,13223562738.9,7.99e+11,"Taka","actual","total-revenue-and-grants",,,,,,13582960036.1,9.49e+11,"Taka","actual","total-revenue-and-grants",,,,,,14925129800.2,1.187e+12,"Taka","actual","total-revenue-and-grants",,,,,,15941945562,1.34e+12,"Taka","proj","total-revenue-and-grants",,,,,,17524815848.1,1.551e+12,"Taka","proj","total-revenue-and-grants",,,,,,18656959721.4,1.794e+12,"Taka","proj","total-revenue-and-grants",,,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,,"Taka","proj","total-revenue-and-grants",,,,,,,
"KE","Kenyan shillings","actual","total-revenue-and-grants",,,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,,,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,7389042094.94,3.047e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,7756486262.6,3.314e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,9052894948.65,3.885e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,8895936207.15,4.581e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,8017023336,5.08e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,8523058464,5.688e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,8238389672.24,6.863e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,9032270737.35,7.635e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,9474692559.18,8.682e+11,"Kenyan shillings","actual","total-revenue-and-grants",,,,,,10097687503.2,9.944e+11,"Kenyan shillings","budget","total-revenue-and-grants",,,,,,11497307086.08,1.2384e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,11407022996.7,1.3638e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,12300511544.94,1.5558e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,12666216078.88,1.7852e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,13277888542.28,2.0164e+12,"Kenyan shillings","proj","total-revenue-and-grants",,,,,,,
"RW","Rwandan francs","actual","total-revenue-and-grants",,,,,,,,"Rwandan francs","actual","total-revenue-and-grants",,,,,,861748632.42,1.482e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,912590641.13,1.603e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,809601921.65,1.955e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,933905083.24,2.726e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1133352937.86,3.494e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1125402968,3.76e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1067768550.4,3.88e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1258634837.44,5.182e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1437679186.21,6.707e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1603968085.11,8.007e+11,"Rwandan francs","actual","total-revenue-and-grants",,,,,,1505502634.86,8.442e+11,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1707744598.17,1.0491e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1625526068.58,1.1013e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1794295943.96,1.3364e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1719983231.07,1.3947e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1668354530.4,1.4832e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1687461023.9,1.6283e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,1748644547.67,1.8307e+12,"Rwandan francs","proj","total-revenue-and-grants",,,,,,,,"Rwandan francs","proj","total-revenue-and-grants",,,,,,,
"CD","Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,,,"Congo francs","actual","total-revenue-and-grants",,,,,,3788128796.7,8.77e+11,"Congo francs","actual","total-revenue-and-grants",,,,,,4487396155.2,1.356e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,3760534007,2.206e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,5137693200.2,3.929e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,4615094572,3.94e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,5517311484.2,5.069e+12,"Congo francs","actual","total-revenue-and-grants",,,,,,5200621254.4,4.796e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,5514790991.1,5.293e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,6118872002.4,6.186e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,6794121674.5,7.355e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,7053167207.7,8.271e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,7179742516.9,9.209e+12,"Congo francs","proj","total-revenue-and-grants",,,,,,7263495666,1.013e+13,"Congo francs","proj","total-revenue-and-grants",,,,,,,
"LR","US dollars","actual","total-revenue-and-grants",,,,,,178961495.821,85300000,"US dollars","actual","total-revenue-and-grants",,,,,,143906215.446,69500000,"US dollars","actual","total-revenue-and-grants",,,,,,151021367.40733,72700000,"US dollars","actual","total-revenue-and-grants",,,,,,105621997.46404,56600000,"US dollars","actual","total-revenue-and-grants",,,,,,99849104.1702,5.9e+07,"US dollars","actual","total-revenue-and-grants",,,,,,124554678.62244,80300000,"US dollars","actual","total-revenue-and-grants",,,,,,128180235.68744,85600000,"US dollars","actual","total-revenue-and-grants",,,,,,201254858.1138,148300000,"US dollars","actual","total-revenue-and-grants",,,,,,258611674.12963,206900000,"US dollars","actual","total-revenue-and-grants",,,,,,293026521.66255,234900000,"US dollars","actual","total-revenue-and-grants",,,,,,336809387.6352,2.88e+08,"US dollars","actual","total-revenue-and-grants",,,,,,393812690.55809,374900000,"US dollars","actual","total-revenue-and-grants",,,,,,458900000,458900000,"US dollars","actual","total-revenue-and-grants",,,,,,540208873.821,5.55e+08,"US dollars","actual","total-revenue-and-grants",,,,,,512652152.077,5.45e+08,"US dollars","proj","total-revenue-and-grants",,,,,,447089182.9492,4.84e+08,"US dollars","proj","total-revenue-and-grants",,,,,,473990172.9994,5.26e+08,"US dollars","proj","total-revenue-and-grants",,,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,,,"US dollars","proj","total-revenue-and-grants",,,,,,,
"NP","Nepalese rupees","actual","total-revenue-and-grants",,,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,,,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,1796591847.06,6.57e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,1986948210.12,7.18e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2224554472.14,8.33e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2096607393.18,8.46e+10,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2410223994,1.02e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3039228058.3,1.253e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,2898986028.12,1.638e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3403552532.96,2.147e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3588935842.8,2.42e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3517753689,2.85e+11,"Nepalese rupees","actual","total-revenue-and-grants",,,,,,3483715460.7,3.27e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,3595259693.3,4.07e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,3640734333,4.65e+11,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,,"Nepalese rupees","proj","total-revenue-and-grants",,,,,,,
"SN","CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1208615890.45,6.263e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1211205186.4,6.644e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1352160588.87,7.267e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,1768917582.6,7.98e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2121406787.5,8.75e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2265808525.6,9.56e+11,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2380096558,1.036e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3040889707.4,1.277e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3092499778.5,1.293e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,2997595701,1.305e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3015221917.8,1.398e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3311975464,1.526e+12,"CFA franc BCEAO","actual","total-revenue-and-grants",,,,,,3272842453,1.67e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,3724411815.6,1.813e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,3935448409.7,1.891e+12,"CFA franc BCEAO","budget","total-revenue-and-grants",,,,,,3993632636.8,1.978e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,4182420073.3,2.107e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,4457134650.6,2.279e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,4768344529.2,2.478e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,5144041332.5,2.735e+12,"CFA franc BCEAO","proj","total-revenue-and-grants",,,,,,,
"ET","birr","actual","total-revenue-and-grants",,,,,,5609689075.1372,1.1222e+10,"birr","actual","total-revenue-and-grants",,,,,,6581026300.0812,1.2804e+10,"birr","actual","total-revenue-and-grants",,,,,,6687352335.8368,1.2832e+10,"birr","actual","total-revenue-and-grants",,,,,,7229761718.0436,1.5703e+10,"birr","actual","total-revenue-and-grants",,,,,,7764744819.0708,1.7919e+10,"birr","actual","total-revenue-and-grants",,,,,,7979665344.139,2.0147e+10,"birr","actual","total-revenue-and-grants",,,,,,8640792164.1583,2.4251e+10,"birr","actual","total-revenue-and-grants",,,,,,8842404971.4176,2.9381e+10,"birr","actual","total-revenue-and-grants",,,,,,8688604638.9885,3.9705e+10,"birr","actual","total-revenue-and-grants",,,,,,8735868418.4565,5.4627e+10,"birr","actual","total-revenue-and-grants",,,,,,8256117025.041,6.6237e+10,"birr","actual","total-revenue-and-grants",,,,,,7128801379.2234,8.5611e+10,"birr","actual","total-revenue-and-grants",,,,,,6675636950.4258,1.15659e+11,"birr","actual","total-revenue-and-grants",,,,,,7029411387.284,1.37192e+11,"birr","actual","total-revenue-and-grants",,,,,,6861309907.2704,1.56344e+11,"birr","proj","total-revenue-and-grants",,,,,,7028942960.4906,1.88283e+11,"birr","proj","total-revenue-and-grants",,,,,,7060399228.358,2.21185e+11,"birr","proj","total-revenue-and-grants",,,,,,7059175337.7408,2.58074e+11,"birr","proj","total-revenue-and-grants",,,,,,7153144513.34,3.0593e+11,"birr","proj","total-revenue-and-grants",,,,,,7253996684.914,3.62995e+11,"birr","proj","total-revenue-and-grants",,,,,,,
"MW","kwacha","actual","total-revenue-and-grants",,,,,,2297465711.525,2.2375e+10,"kwacha","actual","total-revenue-and-grants",,,,,,2125700645.7473,3.1243e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1271411380.5952,3.2432e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1198832427.9,4.2684e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1456971861.8151,6.5817e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1553853663.0526,8.4926e+10,"kwacha","actual","total-revenue-and-grants",,,,,,1463823372.9735,1.16985e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1631696627.088,1.47632e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1667584525.9762,1.64554e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1985852939.9709,2.13213e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2121545860.2,2.61e+11,"kwacha","actual","total-revenue-and-grants",,,,,,2055019399.2,2.74e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1027350012,2.6e+11,"kwacha","actual","total-revenue-and-grants",,,,,,1012344207.3,4.77e+11,"kwacha","proj","total-revenue-and-grants",,,,,,949175316.6,5.86e+11,"kwacha","proj","total-revenue-and-grants",,,,,,935797482,6.54e+11,"kwacha","proj","total-revenue-and-grants",,,,,,1025808641,7.85e+11,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,,"kwacha","proj","total-revenue-and-grants",,,,,,,
"NG","Nigerian naira","actual","total-revenue-and-grants",,,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,,,"Nigerian naira","actual","total-revenue-and-grants",,,,,,54922816393.4,2.053e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,62766538549,2.795e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,74639366533.7,4.127e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,85922371604.3,5.621e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,82668043180.8,6.336e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,77067099623,5.926e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,99622993162,8.063e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,46110412879.4,4.471e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,55509738950.2,6.883e+12,"Nigerian naira","actual","total-revenue-and-grants",,,,,,81062308178,1.1285e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,66870420268.4,1.0393e+13,"Nigerian naira","actual","total-revenue-and-grants",,,,,,54378859928.8,8.938e+12,"Nigerian naira","proj","total-revenue-and-grants",,,,,,59849570740.6,1.0469e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,63111944574.3,1.2189e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,56603226088.2,1.2401e+13,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,,"Nigerian naira","proj","total-revenue-and-grants",,,,,,,
