"id","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012"
"AD",,,,,,,,,,,,,,,,
"AE",54.5,54.5,60.06666565,,65.6333313,,71.19999695,71.19999695,73.09999847,73.09999847,,,,,,
"AF",,,,,,,,,,,,,,,,
"AG",81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,81.59999847,,,,,,,,
"AL",27.79999924,27.79999924,28.39999962,28.39999962,33.70000076,33.70000076,38.09999847,38.09999847,36.90000153,36.90000153,37.70000076,37.70000076,,,,
"AM",37.79999924,37.79999924,38.20000076,38.20000076,38.90000153,38.90000153,42.5,42.5,43.5,43.5,44,44,44.40000153,44.40000153,,
"AO",,,,,,,,,,,,,,,,
"AR",75.09999847,75.09999847,75.09999847,75.09999847,74.5,74.5,74.30000305,74.30000305,75.19999695,75.19999695,75,75,74.40000153,74.40000153,75.30000305,75.30000305
"AS",,,,,,,,,,,,,,,,
"AT",66.90000153,66.90000153,66.30000305,66.30000305,67,67,68.40000153,68.40000153,69.80000305,69.80000305,69.90000153,69.90000153,68.69999695,68.69999695,68.90000153,68.90000153
"AU",75.09999847,75.09999847,75.09999847,75.09999847,75.30000305,75.30000305,75.09999847,75.09999847,75.5,75.5,,,,,,
"AW",,,,,78.90000153,78.90000153,,,,,,,,,,
"AZ",48.59999847,48.59999847,48.29999924,48.29999924,48.5,48.5,48.90000153,48.90000153,49.20000076,49.20000076,48.09999847,48.09999847,48,48,48,48
"BA",,,48.70000076,48.70000076,47.5,47.5,47,47,47.29999924,47.29999924,49.29999924,49.29999924,51.5,51.5,49,49
"BB",,,,,,,,,,,77.59999847,77.59999847,76.40000153,76.40000153,72.59999847,72.59999847
"BD",37.40000153,37.40000153,,,,,,,,,,,,,,
"BE",73.30000305,73.30000305,73.30000305,73.30000305,73.69999695,73.69999695,73.80000305,73.80000305,75,75,75.30000305,75.30000305,75.5,75.5,77.09999847,77.09999847
"BF",12.19999981,12.19999981,,,,,,,,,,,,,,
"BG",56.59999847,56.59999847,57.20000076,57.20000076,56.90000153,56.90000153,56.09999847,56.09999847,57.59999847,57.59999847,59.90000153,59.90000153,61.70000076,61.70000076,62.20000076,62.20000076
"BH",,,,,,,,,,,62.40000153,62.40000153,,,,
"BI",,,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,
"BN",,,,,,,,,,,,,,,,
"BO",42,42,43,43,44.20000076,44.20000076,46.5,46.5,47.90000153,47.90000153,,,,,,
"BR",57.90000153,57.90000153,59.09999847,59.09999847,59.5,59.5,59.70000076,59.70000076,60.70000076,60.70000076,61.70000076,,62.70000076,62.70000076,,
"BS",78.40000153,78.40000153,79.5,79.5,79.59999847,79.59999847,80.5,80.5,80.80000305,80.80000305,81.900001525,,83,83,,
"BT",39.20000076,39.20000076,29.79999924,29.79999924,29.2666664133,,28.7333335867,,28.20000076,28.20000076,33.79999924,33.79999924,30.60000038,30.60000038,29.10000038,29.10000038
"BW",,,54.90000153,54.90000153,,,,,,,,,,,,
"BY",,,,,,,,,49.90000153,49.90000153,,,,,,
"BZ",61.90000153,61.90000153,,,,,,,,,,,,,,
"CA",75.30000305,75.30000305,75.69999695,75.69999695,76.30000305,76.30000305,76.5,76.5,,,,,,,,
"CD",,,,,,,,,,,,,,,,
"CF",,,,,,,,,,,,,,,,
"CG",42.20000076,42.20000076,,,,,,,,,,,,,,
"CH",72.5,72.5,72.5,72.5,72.40000153,72.40000153,67.90000153,67.90000153,70.59999847,70.59999847,70.90000153,70.90000153,71.09999847,71.09999847,72.5,72.5
"CI",,,,,,,,,,,,,,,,
"CL",63.90000153,63.90000153,63.90000153,63.90000153,64.30000305,64.30000305,64.69999695,64.69999695,65.59999847,65.59999847,66.40000153,66.40000153,66.40000153,66.40000153,,
"CM",30.20000076,30.20000076,30.980000302,,31.759999844,,32.539999386,,33.319998928,,34.09999847,34.09999847,,,,
"CN",31.39999962,31.39999962,32.20000076,32.20000076,32.40000153,32.40000153,33.20000076,33.20000076,34.09999847,34.09999847,34.59999847,34.59999847,35.70000076,35.70000076,,
"CO",58.29999924,58.29999924,59,59,61.09999847,61.09999847,61.90000153,61.90000153,61.70000076,61.70000076,62,62,61.70000076,61.70000076,62.20000076,62.20000076
"CR",59.70000076,59.70000076,60.40000153,60.40000153,60.70000076,60.70000076,62.20000076,62.20000076,62.20000076,62.20000076,64.69999695,64.69999695,65.80000305,65.80000305,66.90000153,66.90000153
"CU",60.59999847,60.59999847,61.79999924,61.79999924,63.20000076,63.20000076,63.29999924,63.29999924,63.90000153,63.90000153,64.5,64.5,63.20000076,63.20000076,,
"CV",,,,,,,,,,,,,,,,
"CW",,,,,,,,,,,,,,,,
"CY",71.19999695,71.19999695,73.09999847,73.09999847,73.09999847,73.09999847,72.69999695,72.69999695,74.19999695,74.19999695,75.80000305,75.80000305,75.30000305,75.30000305,76.90000153,76.90000153
"CZ",56.5,56.5,56.29999924,56.29999924,56.20000076,56.20000076,56.29999924,56.29999924,58.29999924,58.29999924,58.90000153,58.90000153,58.59999847,58.59999847,58.79999924,58.79999924
"DE",67.80000305,67.80000305,68.09999847,68.09999847,67.80000305,67.80000305,68.90000153,68.90000153,69.5,69.5,70,70,70.09999847,70.09999847,70.19999695,70.19999695
"DJ",,,,,,,,,,,,,,,,
"DK",73.5,73.5,73.80000305,73.80000305,74.40000153,74.40000153,74.40000153,74.40000153,77,77,77.90000153,77.90000153,77.59999847,77.59999847,77.5,77.5
"DM",,,,,,,,,,,,,,,,
"DO",58.79999924,58.79999924,59,59,59.79999924,59.79999924,59,59,59.79999924,59.79999924,52.40000153,52.40000153,67.80000305,67.80000305,,
"DZ",,,,,,,56.59999847,56.59999847,56.09999847,56.09999847,55.20000076,55.20000076,58.40000153,58.40000153,,
"EC",51.29999924,51.29999924,50.5,50.5,52.09999847,52.09999847,52.5,52.5,52.5,52.5,53.09999847,53.09999847,54.09999847,54.09999847,54.40000153,54.40000153
"EE",61.09999847,61.09999847,61.90000153,61.90000153,60.40000153,60.40000153,60.5,60.5,64.09999847,64.09999847,65.09999847,65.09999847,62.90000153,62.90000153,64.09999847,64.09999847
"EG",47.5,47.5,46.59999847,46.59999847,46,46,45.29999924,45.29999924,46.20000076,46.20000076,46.29999924,46.29999924,47.09999847,47.09999847,,
"ER",,,,,,,,,,,,,,,,
"ES",65,65,65.69999695,65.69999695,66.19999695,66.19999695,68.09999847,68.09999847,71.09999847,71.09999847,72.59999847,72.59999847,74,74,74.90000153,74.90000153
"ET",13,13,,,,,,,,,,,,,,
"FI",69.5,69.5,69.80000305,69.80000305,69.80000305,69.80000305,70,70,71.09999847,71.09999847,71.90000153,71.90000153,72.40000153,72.40000153,72.69999695,72.69999695
"FJ",,,,,,,,,,,,,,,,
"FM",,,,,,,,,,,,,,,,
"FO",66.69999695,66.69999695,,,,,,,,,,,,,,
"FR",72.30000305,72.30000305,72.30000305,72.30000305,73.09999847,73.09999847,73.59999847,73.59999847,74,74,74.40000153,74.40000153,74.59999847,74.59999847,74.90000153,74.90000153
"GA",64,64,,,,,,,,,,,,,,
"GB",76.30000305,76.30000305,76.40000153,76.40000153,76,76,76.59999847,76.59999847,78.69999695,78.69999695,78.90000153,78.90000153,79,79,78.90000153,78.90000153
"GD",,,,,,,,,,,,,,,,
"GE",36.40000153,36.40000153,35.59999847,35.59999847,36.20000076,36.20000076,,,,,,,,,,
"GH",,,29.10000038,29.10000038,32.5999999025,,36.099999425,,39.5999989475,,43.09999847,43.09999847,,,,
"GL",,,,,,,,,,,,,,,,
"GM",,,,,,,,,,,,,,,,
"GN",,,,,,,,,,,,,,,,
"GQ",,,,,,,,,,,,,,,,
"GR",65.09999847,65.09999847,65.90000153,65.90000153,65.90000153,65.90000153,66.40000153,66.40000153,66.90000153,66.90000153,67.80000305,67.80000305,69.80000305,69.80000305,70.30000305,70.30000305
"GT",,,44,44,44.05000019,,44.10000038,,44.15000057,,44.20000076,44.20000076,42.5,42.5,48.20000076,48.20000076
"GU",,,,,,,,,,,85.69999695,85.69999695,,,,
"GW",,,,,,,,,,,,,,,,
"GY",,,,,,,,,,,,,,,,
"HK",84.69999695,84.69999695,85,85,85.69999695,85.69999695,87,87,87.5,87.5,87.90000153,87.90000153,88,88,87.69999695,87.69999695
"HN",39.70000076,39.70000076,42,42,43.20000076,43.20000076,42.90000153,42.90000153,42.59999847,42.59999847,44.20000076,44.20000076,44.90000153,44.90000153,,
"HR",54,54,56.29999924,56.29999924,56.29999924,56.29999924,55.79999924,55.79999924,57.20000076,57.20000076,57.79999924,57.79999924,57.09999847,57.09999847,58.70000076,58.70000076
"HT",,,,,,,,,,,,,,,,
"HU",62.59999847,62.59999847,62.79999924,62.79999924,62.70000076,62.70000076,63.40000153,63.40000153,64.19999695,64.19999695,64.90000153,64.90000153,64.40000153,64.40000153,64.90000153,64.90000153
"ID",37.20000076,37.20000076,39.29999924,39.29999924,39.90000153,39.90000153,40.79999924,40.79999924,41.5,41.5,42.33254994,42.33254994,40.76400908,40.76400908,43.24336095,43.24336095
"IE",65.5,65.5,66.30000305,66.30000305,66.69999695,66.69999695,69.40000153,69.40000153,73.5,73.5,75.59999847,75.59999847,76.5,76.5,76.90000153,76.90000153
"IL",75.69999695,75.69999695,75.90000153,75.90000153,75.59999847,75.59999847,75.69999695,75.69999695,77.09999847,77.09999847,,,,,,
"IN",25.20000076,25.20000076,25.480000684,,25.760000608,,26.040000532,,26.320000456,,26.60000038,26.60000038,27.35000038,,28.10000038,28.10000038
"IQ",,,52.59999847,52.59999847,59.70000076,59.70000076,58.29999924,58.29999924,,,,,,,,
"IR",44.79999924,44.79999924,45.09999847,45.09999847,45.09999847,45.09999847,46.5,46.5,,,,,,,,
"IS",71.59999847,71.59999847,72.30000305,72.30000305,73.30000305,73.30000305,73.19999695,73.19999695,75.09999847,75.09999847,75.69999695,75.69999695,75.69999695,75.69999695,75.80000305,75.80000305
"IT",65,65,65.59999847,65.59999847,65.90000153,65.90000153,66.40000153,66.40000153,67,67,67.5,67.5,67.80000305,67.80000305,68.5,68.5
"JM",64,64,63.90000153,63.90000153,64.19999695,64.19999695,63.09999847,63.09999847,63.20000076,63.20000076,63.79999924,63.79999924,66.30000305,66.30000305,66.5,66.5
"JO",75.90000153,75.90000153,76.90000153,76.90000153,77.30000305,77.30000305,78.09999847,78.09999847,77.5,77.5,79.19999695,79.19999695,80.09999847,80.09999847,80.5,80.5
"JP",66.40000153,66.40000153,66.59999847,66.59999847,67.19999695,67.19999695,67.80000305,67.80000305,69,69,69.69999695,69.69999695,,,,
"KE",32.20000076,32.20000076,,,,,,,,,,,,,,
"KG",43.90000153,43.90000153,44.29999924,44.29999924,45.20000076,45.20000076,45.29999924,45.29999924,,,,,,,,
"KH",,,,,,,19.20000076,19.20000076,26.5,26.5,29.60000038,29.60000038,27.29999924,27.29999924,30.39999962,30.39999962
"KI",,,,,,,,,,,,,,,,
"KM",,,,,,,,,,,,,,,,
"KN",,,,,,,,,,,,,,,,
"KP",,,,,,,,,,,,,,,,
"KR",65.19999695,65.19999695,66,66,66.90000153,66.90000153,67.90000153,67.90000153,76.59999847,76.59999847,76.40000153,76.40000153,,,,
"KW",76,76,,,,,,,,,,,,,,
"KY",75.5,75.5,76.40000153,76.40000153,76.40000153,76.40000153,78.09999847,78.09999847,,,,,,,,
"KZ",49.59999847,49.59999847,50,50,49.90000153,49.90000153,50.90000153,50.90000153,51.70000076,51.70000076,53,53,54.59999847,54.59999847,55.09999847,55.09999847
"LA",,,,,,,,,,,,,,,,
"LB",,,,,,,,,72.59999847,72.59999847,,,,,,
"LC",,,,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,,,
"LK",38.40000153,38.40000153,38.40000153,38.40000153,38.70000076,38.70000076,38.79999924,38.79999924,39.59999847,39.59999847,40.40000153,40.40000153,40,40,41.5,41.5
"LR",,,,,14.89999962,14.89999962,23.9000002567,,32.9000008933,,41.90000153,41.90000153,,,,
"LS",,,,,,,,,,,,,,,,
"LT",56.90000153,56.90000153,57.90000153,57.90000153,59,59,61.20000076,61.20000076,63.59999847,63.59999847,66.19999695,66.19999695,66.69999695,66.69999695,65.90000153,65.90000153
"LU",80.80000305,80.80000305,81.40000153,81.40000153,81.19999695,81.19999695,83,83,83.69999695,83.69999695,81.09999847,81.09999847,82.69999695,82.69999695,84.09999847,84.09999847
"LV",61.79999924,61.79999924,61.29999924,61.29999924,61.5,61.5,63,63,66.30000305,66.30000305,67.19999695,67.19999695,68.19999695,68.19999695,68.09999847,68.09999847
"LY",,,,,,,,,,,,,,,,
"MA",35,35,36.29999924,36.29999924,36.70000076,36.70000076,37.20000076,37.20000076,37.70000076,37.70000076,37.59999847,37.59999847,38.20000076,38.20000076,39.29999924,39.29999924
"MC",,,,,,,,,,,,,,,,
"MD",37.40000153,37.40000153,41.20000076,41.20000076,41.5,41.5,42.20000076,42.20000076,45.09999847,45.09999847,46.20000076,46.20000076,46,46,54.29999924,54.29999924
"ME",72.09999847,72.09999847,72.95000076,,73.80000305,73.80000305,71,71,72.80000305,72.80000305,73.90000153,73.90000153,75.5,75.5,76.19999695,76.19999695
"MF",,,,,,,,,,,,,,,,
"MG",15.80000019,15.80000019,,,,,,,,,,,,,,
"MH",,,,,,,,,,,,,,,,
"MK",48.20000076,48.20000076,47.29999924,47.29999924,50.40000153,50.40000153,49.09999847,49.09999847,49.7999992333,,50.4999999967,,51.20000076,51.20000076,52.79999924,52.79999924
"ML",,,28.29999924,28.29999924,,,,,,,,,,,,
"MM",,,,,,,,,,,,,,,,
"MN",43.29999924,43.29999924,43.90000153,43.90000153,47.29999924,47.29999924,44.20000076,44.20000076,45,45,50.20000076,50.20000076,49.59999847,49.59999847,,
"MO",74.69999695,74.69999695,76.5,76.5,78.59999847,78.59999847,80.09999847,80.09999847,84,84,,,,,,
"MP",,,,,,,,,,,,,,,,
"MR",,,,,,,,,,,,,,,,
"MT",67.69999695,67.69999695,69.30000305,69.30000305,71.59999847,71.59999847,72.30000305,72.30000305,73.30000305,73.30000305,73.19999695,73.19999695,74.30000305,74.30000305,76.40000153,76.40000153
"MU",57.5,57.5,58,58,58,58,59.09999847,59.09999847,61.29999924,61.29999924,63.09999847,63.09999847,64,64,64.69999695,64.69999695
"MV",,,60,60,,,,,,,,,,,,
"MW",,,,,,,,,,,,,,,,
"MX",59,59,59.40000153,59.40000153,60.09999847,60.09999847,60.59999847,60.59999847,60.09999847,60.09999847,60.59999847,60.59999847,61.90000153,61.90000153,,
"MY",55.59999847,55.59999847,55.09999847,55.09999847,56.70000076,56.70000076,57.40000153,57.40000153,59.5,59.5,59.20000076,59.20000076,59.59999847,59.59999847,59,59
"MZ",,,,,,,,,,,,,,,,
"NA",,,,,,,65.90000153,65.90000153,61.60000102,,57.30000051,,53,53,58.70000076,58.70000076
"NC",42.70000076,42.70000076,43.20000076,43.20000076,42.70000076,42.70000076,43,43,,,,,,,,
"NE",31.10000038,31.10000038,,,,,,,,,,,,,,
"NG",,,,,,,,,,,,,,,,
