"id","year","estimate","value"
"AF",1980,FALSE,
"AO",1980,FALSE,
"AL",1980,FALSE,
"AE",1980,FALSE,
"AR",1980,FALSE,
"AM",1980,FALSE,
"AG",1980,FALSE,
"AU",1980,FALSE,1.43879e+11
"AT",1980,FALSE,
"AZ",1980,FALSE,
"BI",1980,FALSE,
"BE",1980,FALSE,8.8287e+10
"BJ",1980,FALSE,
"BF",1980,FALSE,
"BD",1980,FALSE,3.2224e+11
"BG",1980,FALSE,
"BH",1980,FALSE,
"BS",1980,FALSE,
"BA",1980,FALSE,
"BY",1980,FALSE,
"BZ",1980,FALSE,3.48e+08
"BO",1980,FALSE,
"BR",1980,FALSE,
"BB",1980,FALSE,
"BN",1980,FALSE,
"BT",1980,FALSE,
"BW",1980,FALSE,8.46e+08
"CF",1980,FALSE,
"CA",1980,FALSE,3.20798e+11
"CH",1980,FALSE,1.8857e+11
"CL",1980,FALSE,
"CN",1980,FALSE,
"CI",1980,FALSE,
"CM",1980,FALSE,
"CD",1980,FALSE,
"CG",1980,FALSE,
"CO",1980,FALSE,2.192945e+12
"KM",1980,FALSE,
"CV",1980,FALSE,
"CR",1980,FALSE,
"CY",1980,FALSE,
"CZ",1980,FALSE,
"DE",1980,FALSE,
"DJ",1980,FALSE,
"DM",1980,FALSE,
"DK",1980,FALSE,3.92875e+11
"DO",1980,FALSE,
"DZ",1980,FALSE,
"EC",1980,FALSE,
"EG",1980,FALSE,
"ER",1980,FALSE,
"ES",1980,FALSE,9.6449e+10
"EE",1980,FALSE,
"ET",1980,FALSE,1.5005e+10
"FI",1980,FALSE,3.4519e+10
"FJ",1980,FALSE,
"FR",1980,FALSE,4.53211e+11
"FM",1980,FALSE,
"GA",1980,FALSE,
"GB",1980,FALSE,2.33184e+11
"GE",1980,FALSE,
"GH",1980,FALSE,7e+06
"GN",1980,FALSE,
"GM",1980,FALSE,
"GW",1980,FALSE,
"GQ",1980,FALSE,5.603e+09
"GR",1980,FALSE,6.69e+09
"GD",1980,FALSE,2.73e+08
"GT",1980,FALSE,
"GY",1980,FALSE,
"HK",1980,FALSE,
"HN",1980,FALSE,
"HR",1980,FALSE,
"HT",1980,FALSE,
"HU",1980,FALSE,7.35645e+11
"ID",1980,FALSE,
"IO",1980,FALSE,1.426468e+12
"IE",1980,FALSE,1.3185e+10
"IR",1980,FALSE,
"IQ",1980,FALSE,
"IS",1980,FALSE,1.5982e+10
"IL",1980,FALSE,1.21e+08
"IT",1980,FALSE,
"JM",1980,FALSE,
"JO",1980,FALSE,
"JP",1980,FALSE,2.46464497e+14
"KZ",1980,FALSE,
"KE",1980,FALSE,8.4949e+10
"KG",1980,FALSE,
"KH",1980,FALSE,
"KI",1980,FALSE,
"KN",1980,FALSE,1.56e+08
"KP",1980,FALSE,4.11852e+13
"KW",1980,FALSE,
"LA",1980,FALSE,
"LB",1980,FALSE,
"LR",1980,FALSE,
"LY",1980,FALSE,
"LC",1980,FALSE,4.12e+08
"LK",1980,FALSE,7.2587e+10
"LS",1980,FALSE,
"LT",1980,FALSE,
"LU",1980,FALSE,
"LV",1980,FALSE,
"MA",1980,FALSE,
"MD",1980,FALSE,
"MG",1980,FALSE,1.708e+11
"MV",1980,FALSE,
"MX",1980,FALSE,
"MH",1980,FALSE,
"MK",1980,FALSE,
"ML",1980,FALSE,
"MT",1980,FALSE,1.058e+09
"MM",1980,FALSE,
"ME",1980,FALSE,
"MN",1980,FALSE,
"MZ",1980,FALSE,1.61e+08
"MR",1980,FALSE,
"MU",1980,FALSE,
"MW",1980,FALSE,
"MY",1980,FALSE,5.3478e+10
"NA",1980,FALSE,
