"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AW",20619.56585,20671.54574,20433.65411,20834.93971,22566.68216,23302.83199,24015.42061,25921.28214,27549.34573,24639.93533,24289.14152,25354.78247,,
"AD",17334.27568,18599.41538,20326.9001,25355.26718,29372.16673,31268.96675,34484.70087,39922.89012,46418.41547,,,,,
"AF",,115.3125095,185.9592901,198.2877991,220.0562878,252.4078925,275.3509409,373.5914162,376.9776699,450.659239,561.1976175,613.9791916,687.5813677,664.7645892
"AO",655.6294947,621.1959301,839.5045121,920.1011758,1229.342988,1706.543621,2440.631642,3412.718807,4596.268275,3988.683498,4218.649126,5153.492309,5523.395784,5775.065484
"AL",1193.466223,1335.141008,1458.128756,1863.203835,2476.115886,2798.949517,3076.978417,3638.7107,4422.692728,4175.777679,4175.121638,4556.143981,4406.115339,4659.340601
"AE",34364.80621,32885.24264,34119.43477,36803.39921,40451.99087,43626.20011,45532.49328,44503.11496,46332.83005,32908.72015,33880.08606,38879.13363,40409.96123,43012.46002
"AR",9321.718436,8719.363945,3295.458154,4134.798541,4776.972923,5770.048707,6771.153951,8390.252083,10232.86497,9444.418113,11467.71267,13700.39995,14676.20102,14717.85889
"AM",621.4248262,692.3188254,779.8928416,924.5821549,1182.09736,1625.396904,2126.089566,3079.152187,3916.738107,2913.574143,3124.784854,3421.704509,3353.973125,3504.766758
"AS",,,,,,,,,,,,,,
"AG",10094.75889,9797.968539,10027.85604,10382.63072,10993.36905,12079.86548,13599.90862,15276.068,15786.3578,13979.26269,13017.31039,12817.84157,13525.61622,13342.085
"AU",21667.62387,19471.48818,20049.46212,23422.49967,30455.99531,33979.24961,36090.61789,40955.27089,49884.23094,42689.13916,51743.3891,62220.23277,67329.99177,67442.25257
"AT",24464.63026,24495.50147,26355.00288,32137.22521,36710.87227,38284.70426,40393.57858,46501.60924,51337.86722,47577.63493,46485.1782,51033.83972,48398.62818,50508.71004
"AZ",655.0974326,703.6712505,763.1012122,883.6140089,1045.026415,1578.36733,2472.997476,3851.437869,5574.603802,4950.294791,5842.805784,7189.691229,7393.771877,7811.789819
"BI",130.4238485,128.1980583,117.2814013,108.014551,121.8593036,143.7835295,158.3050232,162.8275093,186.8717488,194.8966661,219.5297994,246.9143272,251.014523,267.1093219
"BE",23119.13181,23039.74989,24969.06691,30743.6306,35504.76306,36932.35472,38964.8878,44420.60288,48552.87684,45014.61725,44321.24035,47792.5629,44840.84913,46895.35761
"BJ",339.4730257,348.3345495,378.6587084,464.0461431,511.2929789,532.6109983,557.2324469,633.0045634,739.2452143,712.5454071,690.0022811,745.3918674,750.5131243,804.6924986
"BF",224.9286471,235.4617988,260.6935797,332.2270756,371.2179868,406.9988043,422.8448175,474.5899781,569.6392934,553.0423743,592.6074699,649.92523,651.6533151,683.9484018
"BD",355.9734341,348.7568929,347.2186123,372.9805204,400.4724749,421.1233114,495.7529663,543.5851601,619.2559213,682.2601003,760.9570789,843.8960388,859.7542494,957.8852224
"BG",1634.424651,1783.454845,2077.063986,2697.15736,3331.090943,3785.65463,4370.639159,5782.99453,7115.911624,6738.100543,6580.813875,7588.808942,7198.045618,7498.831484
"BH",13562.73414,12846.45333,13149.31329,14344.92822,16027.34476,18156.37747,19460.04091,21049.56148,23037.88149,19251.12154,20545.96702,22466.88346,23339.01944,24689.10563
"BS",21250.58185,21506.74411,22514.94472,22017.70778,22005.0031,23416.90369,23733.80768,24321.06511,23674.14021,22060.92098,21941.8693,21649.81943,22096.46199,22312.08297
"BA",1435.957686,1481.945715,1706.501954,2148.484346,2578.738087,2810.377029,3238.623648,3991.315423,4846.132163,4480.37759,4380.604285,4771.269282,4409.59212,4661.764245
"BY",1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.596299,4735.953138,6377.359692,5176.044701,5818.854859,6305.773663,6721.834908,7575.48211
"BZ",3486.164318,3555.660142,3704.536765,3833.424942,3991.284334,4097.538614,4363.82655,4509.296252,4662.419092,4441.482346,4527.336639,4701.547995,4856.715732,4893.926635
"BM",56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,83912.6978,90849.58698,93605.74817,88463.31282,88207.32756,85973.15842,84470.75527,
"BO",988.5332893,939.1453811,893.9468885,896.3721252,954.9220895,1020.790305,1203.254183,1355.887234,1695.562179,1735.14337,1934.666067,2319.595984,2575.683695,2867.639791
"BR",3696.171325,3130.505844,2809.462144,3037.089615,3608.493988,4738.3078,5793.733057,7210.641079,8604.255841,8372.485816,10962.5445,12592.97897,11326.11039,11229.67849
"BB",11675.2124,11600.43385,11756.28144,12077.80124,12893.59123,14224.98245,15691.84826,16335.95992,16358.04693,16460.75712,15812.27978,15503.32855,14917.14951,
"BN",18086.60407,16516.83677,16868.3921,18541.92453,21819.28674,25913.57837,30613.27687,32109.09775,37093.99091,27211.88206,30880.34486,41059.94509,41126.61284,38563.31451
