"id","year","value"
"AW",2000,2171771586
"AD",2000,1782514579
"AF",2000,
"AO",2000,17245698514
"AL",2000,6442279085
"AE",2000,1.39e+11
"AR",2000,2.02e+11
"AM",2000,2754946339
"AS",2000,
"AG",2000,846190664.1
"AU",2000,5.91e+11
"AT",2000,2.89e+11
"AZ",2000,7035249733
"BI",2000,1003173008
"BE",2000,3.55e+11
"BJ",2000,3564714018
"BF",2000,3982851579
"BD",2000,46268661601
"BG",2000,22712754600
"BH",2000,12417139192
"BS",2000,7099130519
"BA",2000,8560717579
"BY",2000,21041101430
"BZ",2000,860020516.5
"BM",2000,4283518863
"BO",2000,8201398323
"BR",2000,7.69e+11
"BB",2000,3687558812
"BN",2000,8602106665
"BT",2000,559604552.6
"BW",2000,8312647242
"CF",2000,1232871264
"CA",2000,1.03e+12
"CH",2000,3.78e+11
"CL",2000,1.01e+11
"CN",2000,1.42e+12
"CI",2000,17085587280
"CM",2000,13827130250
"CG",2000,4988137317
"CO",2000,1.23e+11
"KM",2000,310561432.6
"CV",2000,735999746.1
"CR",2000,16340941962
"CU",2000,33377657730
"CW",2000,
"KY",2000,
"CY",2000,14498299779
"CZ",2000,1.12e+11
"DE",2000,2.78e+12
"DJ",2000,612142706.5
"DM",2000,337750831.9
"DK",2000,2.47e+11
"DO",2000,28565149660
"DZ",2000,78895342484
"EC",2000,32753307083
"EG",2000,75403544184
"ER",2000,967942712.5
"ES",2000,9.8e+11
"EE",2000,9921578744
"ET",2000,9078129786
"FI",2000,1.8e+11
"FJ",2000,2667071319
"FR",2000,2.03e+12
"FO",2000,
"FM",2000,242479653.1
"GA",2000,7951573993
"GB",2000,2.09e+12
"GE",2000,4501184537
"GH",2000,8393646451
"GN",2000,2524527100
"GM",2000,538066029.6
"GW",2000,538205015.5
"GQ",2000,2293189319
"GR",2000,2.05e+11
"GD",2000,556982861.5
"GL",2000,1627666678
"GT",2000,23441934442
"GU",2000,
"GY",2000,796311937.4
"HK",2000,1.48e+11
"HN",2000,7704758600
"HR",2000,36454652841
"HT",2000,4269984676
"HU",2000,91042897048
"ID",2000,2.27e+11
"IN",2000,6.03e+11
"IE",2000,1.66e+11
"IR",2000,1.46e+11
"IQ",2000,48712653630
"IS",2000,13676932441
"IL",2000,1.27e+11
"IT",2000,1.77e+12
"JM",2000,
"JO",2000,9241357060
"JP",2000,4.31e+12
"KZ",2000,34880328744
"KE",2000,15672664145
"KG",2000,2042842031
"KH",2000,4026612205
"KI",2000,97813219.68
"KN",2000,456167435.2
"KR",2000,7.13e+11
"XK",2000,2574593022
"KW",2000,54444297998
"LA",2000,2021232686
"LB",2000,17383441662
"LR",2000,482341824.2
"LY",2000,35929150681
"LC",2000,872009037.6
"LI",2000,3514285118
"LK",2000,20090396639
"LS",2000,1187300143
"LT",2000,17924960438
"LU",2000,31791026215
"LV",2000,10822812606
"MO",2000,6785840351
"MF",2000,
"MA",2000,46686017639
"MC",2000,3927950920
"MD",2000,2122817827
"MG",2000,4503070950
"MV",2000,
"MX",2000,7.99e+11
"MH",2000,123848240
"MK",2000,5537765608
"ML",2000,3901566287
"MT",2000,5721155308
"MM",2000,
"ME",2000,1965064919
"MN",2000,1843267456
"MP",2000,
"MZ",2000,4310941606
"MR",2000,1525081452
"MU",2000,5406113153
"MW",2000,2505954305
"MY",2000,1.14e+11
"NA",2000,5707828950
"NC",2000,
"NE",2000,2802302048
"NG",2000,67850915773
"NI",2000,5413262686
"NL",2000,6.34e+11
"NO",2000,2.73e+11
"NP",2000,6881622155
"NZ",2000,93980935909
"OM",2000,29768732628
"PK",2000,85822303910
"PA",2000,12523684362
"PE",2000,60800068649
"PH",2000,82353669774
"PW",2000,176721528.6
"PG",2000,4521187133
"PL",2000,2.63e+11
"PR",2000,72478965487
"KP",2000,
"PT",2000,1.89e+11
"PY",2000,7946284059
"PF",2000,
"QA",2000,30084361823
"RO",2000,74659324662
"RU",2000,5.67e+11
"RW",2000,1804157124
"SA",2000,2.59e+11
"SD",2000,19452853110
"SN",2000,6933511418
"SG",2000,1e+11
"SB",2000,392920101.1
"SL",2000,1143174686
"SV",2000,15219053495
"SM",2000,1168012513
"SO",2000,
"RS",2000,19424713892
"SS",2000,
"ST",2000,103268067.5
"SR",2000,1357974202
"SK",2000,49013895535
"SI",2000,30461692313
"SE",2000,3.42e+11
"SZ",2000,2328209675
"SX",2000,
"SC",2000,930129484.4
"SY",2000,22681144450
"TC",2000,
"TD",2000,3050372770
"TG",2000,2001173658
"TH",2000,1.38e+11
"TJ",2000,1449651439
"TM",2000,6320368378
"TL",2000,433326984.1
"TO",2000,233999795.3
"TT",2000,10957013663
"TN",2000,26358982267
"TR",2000,3.87e+11
"TV",2000,21707429.45
"TZ",2000,10060678389
"UG",2000,6517689669
"UA",2000,59536498012
"UY",2000,17205113129
"US",2000,1.16e+13
"UZ",2000,10995014210
"VC",2000,443019064.3
"VE",2000,1.28e+11
"VI",2000,
"VN",2000,41288646006
"VU",2000,377655016.4
"PS",2000,3970836427
"WS",2000,364031047.3
"YE",2000,13633617158
"ZA",2000,2.05e+11
"CD",2000,9925276570
"ZM",2000,6167204441
"ZW",2000,8447465997
"AW",2001,2124764472
"AD",2001,1992321406
"AF",2001,
"AO",2001,17973633439
"AL",2001,6893238620
"AE",2001,1.41e+11
"AR",2001,1.93e+11
"AM",2001,3018226684
"AS",2001,
"AG",2001,819161287.5
"AU",2001,6.02e+11
"AT",2001,2.93e+11
"AZ",2001,7731739456
"BI",2001,1023796310
"BE",2001,3.58e+11
"BJ",2001,3787451985
"BF",2001,4245137265
"BD",2001,48708877344
"BG",2001,23575583113
"BH",2001,12726454402
"BS",2001,7285527215
"BA",2001,8937389110
"BY",2001,22035357859
"BZ",2001,903156250.8
"BM",2001,4592893272
"BO",2001,8339493389
"BR",2001,7.79e+11
"BB",2001,3593519264
"BN",2001,8838152034
"BT",2001,605513244.6
