"id","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AD",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
"AE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,116414141129,127792099205,120537331710,114431781364,117768381782,113589174615,96732754299,99443139762,94984649924,108859560803,127616885060,130591657725,135174432492,135398467648,144161468881,153768428494,162487893338,176089263890,176875592577,181374981722,200778700359,203619463621,208574632891,226931525118,248641970027,260712911567,286344928096,295477040451,304908139484,288922564970,293504782607,307988940418,329922652527,345525145369,356166919341,370296255956
"AF",,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,7287040602,8506585718,8662111932,9596514276,10127113783,12957631037,11576536678,14597507590,15906258664,16323267413,18781537884,19173297228,19249143092,19331286549
"AG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,345465163,357317271,353965670,376503215,411683782,444402143,486889224,522997311,550554697,585285611,603242436,618055735,622613611,659884496,698243548,668780952,707047756,748160285,786998545,820910539,997419386,953400945,977283632,1033648823,1067525534,1144512382,1289716385,1380997077,1402379572,1252902648,1145200387,1124194478,1164573482,1182348350,1232476996,1259259259
"AL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4523293185,4455372083,4704827862,4668315612,4602161994,5052927731,5121187486,3330071983,3043268519,3331411770,3646567665,3972174106,5336361191,4793620345,5280785011,5999019019,6287121025,6749790589,6962038380,7377229274,7737313598,8126045782,8576928388,9023427935,9661869191,9960811420,10362304724,10631634227,10783763095,10892127556,11078500585,11398392444
"AM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,37207969953,3904549749,5805571018,3525653437,3249956352,3361107291,3574067801,3684966922,3898738961,4269788829,4901624854,5589734461,6174348954,7047167980,7977053081,9073473686,9703614492,8330463002,8514057431,8914041750,9550152439,9865423313,10220313630,10529182498
"AO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19962375809,21940309976,19979145467,19546036108,25213827612,22116682677,0,0,0,25355478709,18380192703,27287492206,25330909362,26359117890,27186848284,28016575680,29196328764,33186981754,34927541669,38727148743,45799387171,55297086482,67789492338,77156097235,79018245782,81710684638,84912953685,89333921641,95374570230,99956214797,102626929545
"AR",0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,106358375475,126183139029,263720190628,273506455888,188995864374,260283273274,290988206540,291443805206,277103981222,243889850281,256571144657,283662307778,312686515857,332546769039,351486373214,341135018918,360336407271,389597850291,404484583439,390587819713,387406516224,370225245813,321918970027,360020773936,424351092202,463172111149,501365691077,546643553666,566386619471,533232762747,589116322907,629302624654,583679016532,572015763927,578320822747,583168571071
"AS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT",,,,,,,,,,,,,,,,,,,,,196126801328,195736911383,200179964750,205531833091,206068725528,209968248620,216145712633,220346037921,217756691350,226379951704,235926928474,243740643749,249215368190,251073178106,256561208172,263697435651,270223136944,275934597066,285736103526,296027132630,305503016683,310271987106,314567174533,317460869343,326232259094,333099346634,344547528838,356842207483,361153657388,348197407201,355173029293,365446886978,368440775570,369253153392,371735893312,376950249529
"AU",,,,,,,,,,,,,,,,,,,,,378082672972,401562348112,444001888549,420699881189,444849190603,494598672328,491784658053,456407987586,466335236612,545599411015,547482875627,565584880593,591504560547,605984016387,576543741195,629113421237,638541836484,721184720653,774627956963,727585474249,826833734475,818637941720,787629111566,753688651308,846952651348,884410484031,919825770568,904154884945,1029828039835,975890974719,982136242167,1019240228023,1125888408376,1209774128714,1204581517925,1339140527498
"AW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0
"AZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,70581055400,39375862389,15293403827,11446390912,9292126773,10117696826,11143262540,11949195245,12691733598,13510263211,14625129144,16146602889,17791078095,22492494377,30188167256,37768983449,44133713512,45797358297,48056393242,48951603888,49173679778,52020440610,53420166171,53047140347
"BA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4925821996,6243807274,6906738113,7974185316,10159866841,10427038856,10922463545,11301352039,12001319798,13013505005,13835746743,14619883950,15306104154,14871368746,14984976221,15121023965,14981050768,15338769746,15507005916,16191716215
"BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3139892604,3081383323,2928442384,2943423168,3049181182,3082891760,3239823912,3325189948,3441682551,3564844643,3447106347,3313469998,3142276195,3149235017,3212988293,3276999794,3407964351,3568337327,3701835011,3714396679,3901193239,3808866662,3838978377,3922630214,3978415449,4136219188,4370457368,4447380332,4465135785,4285041316,4295659430,4328221037,4341340084,4338268167,4346397124,4385250000
"BD",,,,,,,,,,,,,,,,,,,,,29776973034,35159483119,36254015701,34400617320,33868273072,40214939795,38984209067,40588648250,42118552153,43179334809,47713266348,47261057762,50721113611,52801902349,51717555015,55066789859,67479075391,70636221926,74524679040,77516838315,84269630904,89096155820,90160727279,95378270224,100925340892,110671740699,114473414525,119637942689,128142673411,134526341217,143175964500,158408819885,161413474594,169126656909,181713039854,195078665828
"BE",,,,,,,,,,,,,,,,,,,,,249674175707,248236132405,249570057143,250751186095,257089994766,260108488303,265717624169,272621735755,285276872182,295438549961,304254838299,309495668877,314667422968,311982864653,321692954110,320612515813,325972503355,337724475519,344388476509,356695928525,369060590625,372829249276,378454849188,382003791600,396109695234,404260483554,414708329376,428582619146,430342867293,421434377595,433106995263,441254531130,442203765407,441178188783,447863625596,455085726960
