"id","2009","2010","2011","2012","2013","2014","2015","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008"
"AE",243185779730,268736220677,307602974910,337408750693,362533065170,361758499162,3.70569e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",330623310712,341196216396,354062759897,356280444225,368696476572,368030396149,374138660000,80482661025,84860983164,86679928853,90201311508,95847781396,98908908324,103223008148,105625018220,109440945967,116043988728,124667142970,130378785910,138791155522,145645205150,151548314222,150870743021,157654585089,164230171394,163965713404,171606686133,176033800489,175206736695,179319661281,183777084819,187949097562,193671888535,197271219531,198548661507,205848228731,213942553654,224423825595,228781339685,234767415273,239500677461,247856523591,253989226898,261884205106,264500811807,275231791220,282209163517,292134531175,291538845223,300875787751,304677129785,316200207022,319357450197,329051995441,335246436031,344452465713
"AU",1000089510454,1017721357399,1060408069315,1095194034957,1135012883571,1153063969886,1200091670000,155660803675,153564165276,164351009559,174025313287,187156022061,196475280161,201424522407,213367367077,222972864550,234082536188,248157592807,255528222794,268861667828,281018145354,287269348377,296454080848,309782297524,320776251960,325179386645,335201765056,347588556372,359103683814,361461408032,365940651723,398495459986,425422248305,434493229521,449650655308,475318734637,493206430330,493294781014,482616725014,502982881634,533264101825,568584993002,596217995314,622419311463,645770175965,687614301617,711827287466,739130483836,747969458911,771661836923,798084298252,820586058675,864741076493,883134803301,875243941001,942936285123
"BE",410879171825,419401593417,436629627091,431167199433,428715033582,443447225790,457652800000,103563774603,108496018691,113488914448,119129534492,126679960450,130915332329,135935341094,140728694246,147281274508,157737427423,165885770025,173066007245,179081492598,192623848326,200921401809,198377787848,209344762599,210008326074,216488155866,219432852496,227484872066,223834589815,225539633275,226565944552,230731593970,235236976799,246121203912,252344013686,258390932562,266053362267,278883341233,285300130491,287901981146,277133393454,290123615498,297983861047,307816638010,324784545880,330163710073,342266485142,354730432304,367672549673,361354612376,367450722533,380234565037,388687594229,398859433379,414408911131,419890539452
"BG",,43714517808,46125552356,45072398853,46050833691,48454360920,4.7651e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CA",1307712863890,1350519130100,1382372644257,1441644226606,1474773667165,1519132422808,1529870140000,265061073851,271491144399,289414730147,302400886770,323785345543,343434461823,365274921228,375218409843,392035508679,410673621954,425236413807,446087224827,469410292917,502594710561,521084139942,529268870196,558059472793,574580681067,589846586126,606447497536,613972531437,633417260636,625991713517,648027083187,675843865342,705719307044,736062891955,766928481097,799906484412,824272892094,831960030724,810558222300,805951560198,823257359475,852500402286,870336607466,878447975923,931815372324,964328368747,1012064637480,1079097266296,1140279341030,1163394603115,1192677040246,1220217213290,1263241512117,1296271318977,1337593420604,1346807434871
"CH",580771085131,623299860454,601938388685,625143018154,660675898910,656617423498,686202930000,173740887534,187017209003,196066495688,204607667919,214165970278,222807977281,228466463287,232782613275,243849984140,259242470866,283170731654,297466747676,307807122451,318391535663,323827291797,298520808636,295373105086,304260284969,304175877160,313160242365,327080229264,339075204994,333632804669,339527563327,345645978564,357818935270,369719300467,378173423733,390767054421,407996530306,443926508958,439841940290,438879574715,440308531118,441945672416,448122968882,451631560890,471724951736,485299206431,496655389180,520362480721,514344593273,513774150385,533611087691,546899112034,571682009279,589068146706,571807063705,545043733657
"CY",20206993614,19452362323,19388523018,18369582034,17167962970,16290586197,20342170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15961236588,17089154849,18202286061,19137722765
"CZ",145126062614,148076982160,153650580519,151953577898,152593509750,161338739958,169115910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100816127066,98096357226,100718748024,105289169298,111278911242,110720327354,121493754981,132014321760,139525239106,147441792805,151988193955
"dac-countries-total",37252578759090,38498634018333,38937643246420,40336463495690,40710699176895,41572263702679,43778587760000,6679058264137,7078424625613,7364706997374,7616479626100,8162549713705,8595775490048,9210823808367,9913935062876,10312467723446,11127041081840,11606877261442,12215199800001,12634379005499,13647861917299,13629498222084,13429094857794,14108061179173,14729956785343,15451238006970,15733173794551,16470016730818,17384743523266,17439286447709,18050322305323,19290803005353,20280675485569,20505339783065,20841508194124,21795740328989,22803877979446,22932923537622,23677123280851,24117895076262,25389948306660,26018872009666,26068216956110,27699429428687,29848313917104,31106205101065,31596020807945,33194093559563,34575274151845,34588740480037,34385003093416,35051585988625,35789613634533,37047865178460,37532522712781,37954259422308
"dac-eu-members-total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DE",2970601895273,3056959877816,3125253270868,3182370027728,3240464502463,3372789168629,3429093730000,773929219158,811307468184,852033437437,873582899942,928261549032,982264933625,1011169940904,1005202083924,1063625924296,1147484880119,1198314199910,1244100724515,1287181416018,1359585054106,1356664884826,1343699860680,1419167017042,1457333529637,1506332433882,1571329376682,1588007901490,1590993447903,1568774831470,1594427721573,1645865774538,1676518911004,1724959528088,1755109620443,1814412842853,1889994189332,1966437921133,2347739022733,2399287884655,2354847398415,2402625148340,2440400135548,2470705737715,2525785989748,2587238105623,2625570686855,2716523544897,2726958605289,2760868710782,2735230725586,2811782239377,2863279647005,2960496828263,3051690736719,3131212965466
"DK",280694391136,282978258710,291573840102,289828492759,293314419423,297272728111,302768760000,92480435404,98540445750,72026207338,88048060203,126215341355,87947746292,104938986057,110458504082,114675709082,123153124754,125826570860,129227631232,135607566952,138812171424,137279305755,135618469596,143933497012,146721968550,148987618329,154525500173,152892112911,149876731836,154774326853,159457825484,165235987212,168647250834,179459899353,180943790347,180575717528,181155337054,184494510336,186815410448,188995378792,192119440963,201753985363,210282606632,214562730125,237381678536,242262438678,249292000825,256005096686,259789899631,258373738888,259729463311,267180262709,280915223043,293887943410,297236879281,293041436952
"EE",17448907523,17757759389,18493453497,20146061949,20842620048,21805299020,22000220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15332626739,17037874642,19788799745,20597778851,19363086636
"ES",1154618566441,1173531358609,1173116117831,1137160343308,1131508449822,1175369952693,1196294640000,,,,,,,,,,,,,,,,,,,,,499569370406,497865594356,505906107602,522478299641,535786195817,539753838473,557111691951,580604864021,623369107479,653664393449,670017875639,685969639657,689006400164,683560545474,689602566337,719137573017,730721010991,753799821458,808440071935,862997716809,899964150322,925103805526,959130322365,992409755333,1053163942146,1100959352427,1143247825813,1174220753151,1197815395555
"FI",209857527166,223906873054,227251718323,223010513647,228146394867,230665628750,233972270000,0,49657819668,50993116496,53055481950,56506373037,59145923493,60877366257,60638986321,61286691117,68383717417,76086909075,78105017266,83845399164,88542063460,91413421318,93002763045,93048670166,93267155235,95277806301,102301838421,107472908708,108891720036,112111438345,116108807477,119660478370,122428685518,125179254501,130053080580,135797324794,142424978679,142889692627,132437506810,125901345177,123096761537,131596593576,140211003036,146849358170,157407684707,164949542614,171161344673,183921480685,184482226375,189856473343,192967507410,201444833945,210590056266,222803580761,234748725168,230789741486
"FR",2255928106957,2283557894609,2339221919368,2349214694801,2372863974133,2437699070022,2458662560000,509518103219,539321037849,570539269022,607918782102,646702062842,677366758543,715688187035,750589856334,792895353044,857819433105,865981272928,913241915284,962739343366,1013417096428,1041054188796,1038815909362,1083482252212,1119491856663,1166727049889,1206682404870,1226486302086,1232852961408,1256851950037,1266682067976,1280032814009,1299601460658,1354712365012,1391507626708,1444330515120,1510221761419,1560436237838,1587425685810,1607191748387,1603377917171,1707746052284,1711212979655,1728654596405,1824635252073,1894679419692,1948786575753,2023107761348,2055887532537,2063782626269,2078334545997,2126938227893,2145959072980,2226619337467,2287030652335,2305367695038
"g7-countries-total",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GB",2439498933124,2454059919504,2498624030056,2500553482988,2548856490898,2580818829987,2632539610000,764159671735,788674659474,812680654342,851704269158,896023564863,900730765911,918055286441,940658432280,980016231315,984338866537,998605526143,1039411771126,1073165052689,1149420943919,1140185983768,1136587544957,1177957000514,1188616126509,1228040018825,1268322840156,1228644028398,1229694547686,1238878017649,1282129404790,1302183565621,1365626558927,1389714030918,1447796156798,1523152634801,1541619154650,1528319712404,1500857480552,1515000291202,1552661144023,1672436640437,1705349972025,1726413747670,1802470925100,1889289008228,1971523438349,2012216329248,2112420491892,2204227285880,2261516859038,2333276656636,2388995395532,2437357360865,2494308796105,2584116230652
"GR",243271993411,233690554947,216099496782,202051714765,193156351841,192845545460,195784800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143619565314,149135939875,154555878710,160046014529,168079536509,177312609091,185487583151,194261557509,202365809320,217405031736,227722966202,254221335628,250188273186
"HR",,,,48984871353,50442311527,51237766443,5.5035e+10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HU",103236360403,105033255589,104054406508,103488931458,104113510784,111527333405,116104440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94795406034,98084043328,92621978624,116052473172,112262978895,108414726130
"IE",154086173770,153832884173,149543805969,155554105749,158340646354,188002891834,226163060000,,,,,,,,,,,,,,,34089514923,35821875693,36033005984,38537244592,40674569956,41846510416,43027084248,44150184079,43557822690,42927140798,44154580403,43863455815,44040274411,46727918018,47111516785,48987578430,52422228423,56763663367,58203302898,60465738721,62284191290,70525307800,76669859182,79569379236,89635692116,106451863301,116828504601,123552267939,127313243549,132720094928,143898979736,154264328410,164544851593,171020523197,173446724921
"IL",219707911088,226536839705,239937230304,262176366618,275941012343,283261040018,292017800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161196694895,160623237873,163939618819,172179345133,182488390848,198208888879,207403624578,216962562899
"IS",11677634720,11058540243,12283845794,12888567737,14081753337,15642387052,16641470000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8036046319,8101579950,7884179329,7978037802,8224504068,8410438764,,654860873496,702322150774,10153951155,10444183449,10594529504,10638445139,11274465472,11400547507,12781488383,12958860882,13454555573,9623614278
"IT",1755985928588,1789935814120,1811584047978,1769618646487,1743185834573,1798867885451,1811822370000,397478913517,442468284907,468703231121,494998525292,503951044007,517920918028,547211865892,588071769450,620225812973,672999485473,751454579922,768571832659,799880879414,835680751543,857272072807,829717888804,882176760208,903474181642,933191716733,980996685024,1163480147697,1174647439389,1165480530867,1172108478715,1207522152294,1237195415116,1280657657241,1312188197553,1358340511437,1401758617378,1422718644652,1434795375712,1445086071408,1443708162064,1478304794752,1524195024728,1550329236604,1573685131175,1592356330207,1648490580056,1713246417490,1728290447064,1721501906391,1722793601540,1754616474284,1810395004060,1851296772379,1875410499702,1854253049390
"JP",3932225295436,4100154241369,4106225669528,4176640274382,4276501977326,4281988358744,4313625440000,490405782686,563875461450,597531482605,655528487316,733733515509,769581161667,842331509728,944443297307,1053889781695,1164665486843,1322931188518,1378990464440,1506690657194,1619906341999,1607541240305,1652574094691,1715480556581,1788265775594,1879299844645,1976391815248,2019094706007,2089888773222,2163464417218,2227305260769,2375553153006,2498397452739,2559922800100,2671547234737,2827207426916,3012444576212,3164612275565,3283519010300,3318792095517,3319401470047,3331736318082,3559511930690,3685387427482,3750238183085,3712424270229,3732185956799,3772581009413,3800523540869,3811329384078,3860632347550,3970373898119,4024093374019,4127779274225,4251383438173,4219165364852
"KR",1034230533442,1101499607734,1144470182458,1170831563591,1306494063128,1350643672961,1383852700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,274296618767,305269350628,323799201943,372177350492,410695158257,434057972108,461813963371,500204814412,547077548743,589418896497,619830465078,578064861002,641303305482,699446624015,727351917999,778211181626,793048196246,834484507755,855289329061,893664129047,933194294086,1041668810415
"KZ",,,,,166135174299,151651927058,173349950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LI",3687242050,4028996545,4015523286,3449070726,3956428514,4862837794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3977764026,4145770878
"LT",29536104782,32569672224,34679838107,36290130183,37474733994,39048108194,35712950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26691942873,28934717649,31362229241,37605185741,41369564226,36124838646
"LU",37824921444,37321549056,37295150639,36650327525,37327761844,34373540241,38105770000,,,,,,,,,,,,,,,,,,,,,10470075068,10490241860,12549279414,14117358768,16327491362,16967967604,17738220041,17843294671,18977002303,20425878773,21159831674,22625828983,23339702672,23002100700,22717486066,23769297085,25366543800,27475114481,27922217992,28822076245,32077710126,33815467952,33036595048,32291789212,37727101571,39314263761,36796458044,41326851284,40020783166
"LV",25026355222,23334291291,24059384256,25327095321,26456059047,26596714342,27038950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18109916148,19486876317,21735711954,23613892563,24115439947,25526207362
"MT",7140065159,7221026344,7136616208,7181388710,8056319869,9079921598,9503610000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NL",655324877907,680177731897,697962082015,688109928771,686309197812,735806556757,764747640000,144381472594,150321886830,155215790439,161105259981,174465179956,184425377768,189924917591,200388754340,213533897212,225985714983,235406137574,245574874838,255775030575,268872145762,279061723589,276062245949,291737619993,313037345955,320561214042,327475519765,330068769863,327910883000,324338237081,325602242058,339370208772,347715567425,355397411422,367281619727,373334501784,390074295600,408265738563,421578746486,432589440923,432695282733,445436278824,461228987081,480273151961,496754051395,515027090607,550333656574,580971454019,591899594206,578682057838,573543534102,589915820577,630143356173,658888017143,674158560653,704142563916
"NO",358799701836,351686060428,362415887923,376871674214,376669773670,393424354590,409057330000,59353747089,62852567894,65031296873,67543114060,71887093426,75840770243,79787748681,84778187142,87153654064,90726759337,91358449244,95726665922,99518485175,104271821100,108432747018,114043262283,121420002190,124550029354,129798898171,136422846142,144815682392,147544361433,148267096654,153308268255,159633550149,172491063450,179340886305,181768588191,179945773940,180902137946,185948178272,190128811501,192622908271,197527049390,211820126384,247227604828,262448305216,276475110308,284579914893,289113234571,299270851177,307288001440,314164869584,315053255451,320634783486,332638106007,341052725697,356545520348,361308826568
"non-dac-countries-total",0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",139322407900,141278725723,143585784442,148604590641,153162911359,159773895032,166605740000,0,40131928940,40485911299,42182579471,44719781897,46843488603,51115225054,50428114349,47238261033,52517104598,54005672225,56157923838,54086732177,62079644130,63220188067,65292248120,68191400414,62480850359,61036645395,66346948516,66492832368,67363222143,70348612306,68756394439,76758190855,74232159580,72303397301,73695767342,71723805627,77664372730,78204036006,78241818999,77295028631,79347014254,83403027241,86337732064,88148508143,90428031410,92704698219,95205940264,97860915799,98754197699,111116750394,116922083982,122327183867,125177436366,126894050706,133603690039,130407060928
"PL",377794289119,386287855578,403270325202,408090507393,427586627736,442283878362,460044560000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238394052244,248472373785,258318652390,258511131083,,283545635106,298840878567,319393474499,339325203536,308655876844,363595479290
"PT",182427930518,192251268554,190484291750,186921348531,184027182204,192378191340,194726640000,,,,,,,,,,,,,,,,,,,,,76541392482,76303067728,78312740175,77843717680,78454500359,83800059795,84842467185,90276143831,94845860424,102573873379,109564057209,116720584845,120392816606,133894281698,133534488422,136790142807,141074934608,146796029923,153951230654,157011311711,168847225910,172781410877,174833539924,172678557029,173415048380,182199946785,183157356650,186704111520,186656730308
"RO",189891972150,150419422158,165789880297,150912786028,162833772603,177462349713,173815460000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125876150650
"RU",,1066441204891,1118374639661,1193338796965,1252942664669,1205395554762,1.283796e+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SE",397603555305,428034870971,448424091163,452890570741,460846995537,473682409270,504738470000,101963512591,108693216224,113288884524,119770970451,128012979404,132622446566,137008411391,139757185737,144205325846,151601872344,172780407782,174718634883,179156749848,185634471842,191769583496,196323430868,198407762612,194456127126,198297944963,206046924904,208282835136,206573960700,207490832666,212376363668,218964036155,226094570621,232791398624,239578872403,248423177128,254617146348,252103749681,254167255303,244888696339,240817027702,244083296394,256756144337,256900942589,263474115323,273368757234,298916818306,313750373558,334807271684,342841072522,351868477888,368752176024,379025957419,397536420259,426427990823,424340359056
"SI",39005910722,39983555870,39725572360,39473747163,40034074325,41394634220,42410600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34210015857,37475231833,40245581430,42573038850
"SK",72063274753,74642581022,76413183980,77907984251,76853533909,80811680938,83857490000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44608888548,44235486094,47015918193,58104533019,52400505942,52232067156,,62200709043,69282968529,75133265243
"TH",195094412816,319126187363,307211850431,345587688609,338373991901,337168493950,365013310000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209998345447,181309017580,180728577385
"TR",530944143183,581556687229,625743297175,638677208489,667030740765,690369444565,7.82998e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216379580953,205261599382,223654227229,229315922842,226273222961,243032505321,259601757043,279914353032,293841939117,274765804166,298129977194,282589989559,307406319875,238513949948,350849944887,368886328439,398095435581,561598590846,568399738935
"TW",299306615334,355886240427,361224285174,442906879218,453131322067,490951711833,5.39336e+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370016862550,369627741143,369833570566,360203918296
"US",15384078097472,15879336832213,16168448623903,17236616965245,17671021080499,18003563654720,1.8496e+13,3208606991758,3279111812687,3491026673657,3637959121594,3836077823197,4088141699110,4361805136290,4481392844235,4687767097291,4813255892896,4800484915998,4977096089557,5235988713175,5565657699445,5521229876088,5453241414093,5740052105880,6040551687878,6352338928801,6558254265408,6558163635477,6758181017442,6594897159576,6809289995516,7276475664773,7655286767609,7932297977746,8253147249774,8591141727585,8749900688371,8943275770240,8970978289444,9286031775443,9976288157859,10299180577331,10553486116549,10933760869072,11346140777871,12176806073566,12747218113649,13310736362205,13310826126281,13550870203504,13906556253448,14364095263553,14749839771498,15357985603740,15714490223591,15950110285442
