"id","year","value"
"AW",2000,
"AD",2000,1133644295
"AF",2000,
"AO",2000,7448754814
"AL",2000,3790484795
"AE",2000,
"AR",2000,3.36725e+11
"AM",2000,1964463665
"AS",2000,
"AG",2000,739318949.9
"AU",2000,4.02997e+11
"AT",2000,1.94424e+11
"AZ",2000,4987423599
"BI",2000,884786065.9
"BE",2000,2.43417e+11
"BJ",2000,2346762340
"BF",2000,2605973018
"BD",2000,48856907176
"BG",2000,13030130533
"BH",2000,8839471741
"BS",2000,6216952300
"BA",2000,6095878851
"BY",2000,12690156485
"BZ",2000,898450000
"BM",2000,
"BO",2000,8172390124
"BR",2000,6.26889e+11
"BB",2000,3024350000
"BN",2000,6001153318
"BT",2000,438662463.3
"BW",2000,5436144345
"CF",2000,901436116.3
"CA",2000,7.19914e+11
"CH",2000,2.8976e+11
"CL",2000,76450892762
"CN",2000,1.18381e+12
"CI",2000,9715070921
"CM",2000,8693917983
"CG",2000,2275221208
"CO",2000,97729650050
"KM",2000,202241028.3
"CV",2000,525174110.6
"CR",2000,14694008016
"CU",2000,29943300000
"CW",2000,
"KY",2000,
"CY",2000,8707313149
"CZ",2000,60346491171
"DE",2000,1.93389e+12
"DJ",2000,567019654.4
"DM",2000,296527291.1
"DK",2000,1.608e+11
"DO",2000,22955386676
"DZ",2000,52080059008
"EC",2000,16916109906
"EG",2000,1.0077e+11
"ER",2000,706846470.1
"ES",2000,5.93191e+11
"EE",2000,5496729015
"ET",2000,8182221496
"FI",2000,1.24758e+11
"FJ",2000,1717371042
"FR",2000,1.39405e+12
"FO",2000,1103301951
"FM",2000,239537400
"GA",2000,4289133093
"GB",2000,1.55754e+12
"GE",2000,3174766957
"GH",2000,4835890930
"GN",2000,2922237098
"GM",2000,752679604.6
"GW",2000,357773157.8
"GQ",2000,675806940.6
"GR",2000,1.30822e+11
"GD",2000,486296213.6
"GL",2000,1043282147
"GT",2000,19064941282
"GU",2000,
"GY",2000,660556746.4
"HK",2000,1.73047e+11
"HN",2000,6885329780
"HR",2000,21367779456
"HT",2000,
"HU",2000,44844416225
"ID",2000,1.50317e+11
"IN",2000,4.71633e+11
"IE",2000,86350654137
"IR",2000,1.01335e+11
"IQ",2000,
"IS",2000,8661964486
"IL",2000,1.20539e+11
"IT",2000,1.13766e+12
"JM",2000,8662195221
"JO",2000,8558458345
"JP",2000,4.79133e+12
"KZ",2000,17037936974
"KE",2000,12575570059
"KG",2000,1287697843
"KH",2000,3533900965
"KI",2000,109311183.9
"KN",2000,389948881
"KR",2000,5.57592e+11
"XK",2000,
"KW",2000,44417277983
"LA",2000,1660408279
"LB",2000,17581364842
"LR",2000,514064646.9
"LY",2000,
"LC",2000,736295357.4
"LI",2000,2434744507
"LK",2000,16016130113
"LS",2000,1014434315
"LT",2000,11240400000
"LU",2000,15819329280
"LV",2000,7814107172
"MO",2000,6197684995
"MF",2000,
"MA",2000,36053171466
"MC",2000,2647883820
"MD",2000,1309990220
"MG",2000,3807168179
"MV",2000,594339121.5
"MX",2000,6.68631e+11
"MH",2000,147201583.2
"MK",2000,3516852678
"ML",2000,2392403949
"MT",2000,3858164195
"MM",2000,
"ME",2000,1033933992
"MN",2000,1131697293
"MP",2000,
"MZ",2000,4075478691
"MR",2000,1094988437
"MU",2000,4552733325
"MW",2000,1707156566
"MY",2000,86182105263
"NA",2000,3941859638
"NC",2000,2682347064
"NE",2000,1781941401
"NG",2000,40237918771
"NI",2000,4905529007
"NL",2000,4.21371e+11
"NO",2000,1.66018e+11
"NP",2000,5514252208
"NZ",2000,49017959865
"OM",2000,18754220495
"PK",2000,73025445760
"PA",2000,1.1007e+10
"PE",2000,49527879617
"PH",2000,94969133354
"PW",2000,149607800
"PG",2000,3302791315
"PL",2000,1.73308e+11
"PR",2000,41418575000
"KP",2000,
"PT",2000,1.16104e+11
"PY",2000,7085160260
"PF",2000,3447543138
"QA",2000,
"RO",2000,37024325528
"RU",2000,2.52972e+11
"RW",2000,1719254190
"SA",2000,1.88922e+11
"SD",2000,11548341627
"SN",2000,4589012015
"SG",2000,95248603509
"SB",2000,435501217.2
"SL",2000,616098892.2
"SV",2000,1.2881e+10
"SM",2000,677169187.1
"SO",2000,
"RS",2000,6539544838
"SS",2000,
"ST",2000,
"SR",2000,890664393.9
"SK",2000,28957987839
"SI",2000,20380915093
"SE",2000,2.59837e+11
"SZ",2000,1558692850
"SX",2000,
"SC",2000,583244216.9
"SY",2000,18446494913
"TC",2000,
"TD",2000,1283434521
"TG",2000,1265266265
"TH",2000,1.20809e+11
"TJ",2000,824421571.9
"TM",2000,2727382605
"TL",2000,5.9e+08
"TO",2000,191044071.7
"TT",2000,7525815678
"TN",2000,20524768367
"TR",2000,2.62146e+11
"TV",2000,
"TZ",2000,10113998171
"UG",2000,6085590848
"UA",2000,30319527427
"UY",2000,22757044476
"US",2000,1.03218e+13
"UZ",2000,13541374488
"VC",2000,377087289.6
"VE",2000,1.1576e+11
"VI",2000,
"VN",2000,33193510378
"VU",2000,259014693.1
"PS",2000,4822291137
"WS",2000,269038602
"YE",2000,8862682034
"ZA",2000,1.29702e+11
"CD",2000,18699788397
"ZM",2000,3444515195
"ZW",2000,6328908700
"AW",2001,
"AD",2001,1264760246
"AF",2001,2461666315
"AO",2001,7375079251
"AL",2001,4236568354
"AE",2001,1.08376e+11
"AR",2001,3.17762e+11
"AM",2001,2182923205
"AS",2001,
"AG",2001,748976986.8
"AU",2001,3.67867e+11
"AT",2001,1.94349e+11
"AZ",2001,5371534924
"BI",2001,864477157.8
"BE",2001,2.41711e+11
"BJ",2001,2485900380
"BF",2001,2788422486
"BD",2001,48626334322
"BG",2001,14328710793
"BH",2001,8654895318
"BS",2001,6388750700
"BA",2001,6287487296
"BY",2001,12304020144
"BZ",2001,955340755.4
"BM",2001,
"BO",2001,7930341399
"BR",2001,5.34237e+11
"BB",2001,3002750000
"BN",2001,5601090584
"BT",2001,476123551.6
"BW",2001,5352516581
"CF",2001,924010104.2
"CA",2001,7.11908e+11
"CH",2001,2.89723e+11
"CL",2001,69835951754
"CN",2001,1.30563e+12
"CI",2001,9911757609
"CM",2001,8937271171
"CG",2001,1967707317
"CO",2001,95779460550
"KM",2001,220806717.3
"CV",2001,556963791.2
"CR",2001,15724254954
"CU",2001,31179700000
"CW",2001,
"KY",2001,
"CY",2001,9153388733
"CZ",2001,65537828529
"DE",2001,1.93108e+12
"DJ",2001,584917440.8
"DM",2001,318012327.7
"DK",2001,1.62491e+11
"DO",2001,23803227434
"DZ",2001,53149299937
"EC",2001,23133356700
"EG",2001,98703508071
"ER",2001,750010835.5
"ES",2001,6.19353e+11
"EE",2001,5988810312
"ET",2001,8179995785
"FI",2001,1.29198e+11
"FJ",2001,1646178073
"FR",2001,1.40708e+12
"FO",2001,1185526506
"FM",2001,245274900
"GA",2001,4083685879
"GB",2001,1.54305e+12
"GE",2001,3251966690
"GH",2001,5206790234
"GN",2001,2746252750
"GM",2001,656185803.8
