id,year,value,estimate
AF,2000,,
AF,2001,,
AF,2002,,FALSE
AF,2003,2.6652970506,FALSE
AF,2004,4.1298078876,FALSE
AF,2005,4.1977397795,FALSE
AF,2006,5.9858248727,FALSE
AF,2007,6.7369208997,FALSE
AF,2008,6.4539940368,FALSE
AF,2009,6.8178786516,FALSE
AF,2010,8.9215591232,FALSE
AF,2011,10.9899045947,FALSE
AF,2012,10.1297321668,FALSE
AF,2013,9.4938390211,FALSE
AF,2014,10.3150329593,TRUE
AM,2000,,FALSE
AM,2001,15.4778093287,FALSE
AM,2002,15.3617835816,FALSE
AM,2003,14.5631994229,FALSE
AM,2004,14.8746426129,FALSE
AM,2005,15.2527039999,FALSE
AM,2006,17.5100425798,FALSE
AM,2007,19.3409102961,FALSE
AM,2008,20.0547722847,FALSE
AM,2009,20.1932041465,FALSE
AM,2010,20.4063172016,FALSE
AM,2011,20.5561434706,FALSE
AM,2012,21.8885491169,FALSE
AM,2013,23.8386163586,FALSE
AM,2014,23.0598203614,TRUE
AO,2000,,FALSE
AO,2001,,FALSE
AO,2002,,FALSE
AO,2003,,FALSE
AO,2004,,FALSE
AO,2005,,FALSE
AO,2006,50.1676174267,FALSE
AO,2007,45.8225401521,FALSE
AO,2008,50.9328130175,FALSE
AO,2009,34.5652418941,FALSE
AO,2010,43.4722550042,FALSE
AO,2011,48.8338664909,FALSE
AO,2012,45.897770934,FALSE
AO,2013,41.0546848402,FALSE
AO,2014,37.4765181474,TRUE
BD,2000,,FALSE
BD,2001,,FALSE
BD,2002,8.8280704574,FALSE
BD,2003,8.9776547131,FALSE
BD,2004,8.8709991859,FALSE
BD,2005,9.1479545319,FALSE
BD,2006,9.3058428117,FALSE
BD,2007,8.9073486364,FALSE
BD,2008,9.4344818338,FALSE
BD,2009,9.1555402995,FALSE
BD,2010,9.4851968905,FALSE
BD,2011,10.123020884,FALSE
BD,2012,10.7846444858,FALSE
BD,2013,10.7429733614,FALSE
BD,2014,11.0147126359,TRUE
BF,2000,,FALSE
BF,2001,10.976002511,FALSE
BF,2002,11.6064820905,FALSE
BF,2003,12.31838062,FALSE
BF,2004,13.4818462733,FALSE
BF,2005,12.6708412439,FALSE
BF,2006,12.9055938053,FALSE
BF,2007,13.6017132844,FALSE
BF,2008,12.9335603167,FALSE
BF,2009,13.6779815957,FALSE
BF,2010,15.2968195952,FALSE
BF,2011,16.0755127766,FALSE
BF,2012,17.7476161079,FALSE
BF,2013,18.7877354121,FALSE
BF,2014,19.3097967863,TRUE
BI,2000,,FALSE
BI,2001,,FALSE
BI,2002,,FALSE
BI,2003,,FALSE
BI,2004,14.5888910061,FALSE
BI,2005,14.2419728567,FALSE
BI,2006,13.6498969387,FALSE
BI,2007,13.4675453286,FALSE
BI,2008,13.3791419672,FALSE
BI,2009,13.6999885998,FALSE
BI,2010,14.5259165462,FALSE
BI,2011,15.2845569786,FALSE
BI,2012,14.5472925105,FALSE
BI,2013,13.2011795893,TRUE
BI,2014,13.5584577881,TRUE
BJ,2000,15.8480492373,FALSE
BJ,2001,15.3367536295,FALSE
BJ,2002,16.2620738999,FALSE
BJ,2003,16.9592340055,FALSE
BJ,2004,16.4204609972,FALSE
BJ,2005,16.6788836372,FALSE
BJ,2006,16.945473701,FALSE
BJ,2007,20.7656381739,FALSE
BJ,2008,19.5688062523,FALSE
BJ,2009,18.5196263654,FALSE
BJ,2010,18.5656882067,FALSE
BJ,2011,17.5877791653,FALSE
BJ,2012,18.7611170979,FALSE
BJ,2013,19.3825836948,FALSE
BJ,2014,18.6558564425,TRUE
BO,2000,,FALSE
BO,2001,23.2236475181,FALSE
BO,2002,23.1078649307,FALSE
BO,2003,21.5107262859,FALSE
BO,2004,24.7450664981,FALSE
BO,2005,29.4077170752,FALSE
BO,2006,32.2034267777,FALSE
BO,2007,32.7641274063,FALSE
BO,2008,37.6,FALSE
BO,2009,34.6,FALSE
BO,2010,32.1,FALSE
BO,2011,35.4,FALSE
BO,2012,37.2,FALSE
BO,2013,38.1,FALSE
BO,2014,36.7,TRUE
BT,2000,,FALSE
BT,2001,,FALSE
BT,2002,20.9937018894,FALSE
BT,2003,17.3747276688,FALSE
BT,2004,16.6228214403,FALSE
BT,2005,17.8522028312,FALSE
BT,2006,17.979840075,FALSE
BT,2007,22.3706399219,FALSE
BT,2008,23.6958274155,FALSE
BT,2009,24.2224137931,FALSE
BT,2010,29.7163109961,FALSE
BT,2011,22.3167836759,FALSE
BT,2012,21.9606404557,FALSE
BT,2013,19.891408857,FALSE
BT,2014,18.3701430822,TRUE
BZ,2000,18.7994507126,FALSE
BZ,2001,19.8396843292,FALSE
BZ,2002,22.2015443506,FALSE
BZ,2003,20.7542701092,FALSE
BZ,2004,21.0218283582,FALSE
BZ,2005,22.3777192982,FALSE
BZ,2006,23.2561715904,FALSE
BZ,2007,22.8157191911,FALSE
BZ,2008,25.9177679883,FALSE
BZ,2009,25.5264130033,FALSE
BZ,2010,24.7009148487,FALSE
BZ,2011,25.5298013245,FALSE
BZ,2012,25.3552257657,FALSE
BZ,2013,25.0614250614,FALSE
BZ,2014,25.5869242199,FALSE
CD,2000,,FALSE
CD,2001,,FALSE
CD,2002,,FALSE
CD,2003,,FALSE
CD,2004,,FALSE
CD,2005,,FALSE
CD,2006,,FALSE
CD,2007,8.9994098941,FALSE
CD,2008,11.2178529383,FALSE
CD,2009,10.3320489271,FALSE
CD,2010,12.1179060968,FALSE
CD,2011,12.3853544689,FALSE
CD,2012,14.9030546985,FALSE
CD,2013,13.0416082598,FALSE
CD,2014,13.8484611761,TRUE
CF,2000,,FALSE
CF,2001,9.6077397032,FALSE
CF,2002,11.6794584545,FALSE
CF,2003,8.3241488674,FALSE
CF,2004,11.8226452604,FALSE
CF,2005,12.4749261073,FALSE
CF,2006,23.0845880586,FALSE
CF,2007,14.3807607545,FALSE
CF,2008,15.1508334646,FALSE
CF,2009,16.0620338617,FALSE
CF,2010,17.1507927794,FALSE
CF,2011,13.3297427003,FALSE
CF,2012,16.3673361055,FALSE
CF,2013,8.3979965908,TRUE
CF,2014,9.0781845078,TRUE
CG,2000,26.2857142857,FALSE
CG,2001,30.6595713519,FALSE
CG,2002,27.1746876336,FALSE
CG,2003,29.7273353677,FALSE
CG,2004,30.0513071097,FALSE
