"di_id","entity_name","colour","detail","source_title","source_link"
"DZ","Algeria","orange","Partial","DHIS 2","https://www.dhis2.org/deployments"
"AO","Angola","grey","No information","WHO African Health Observatory","http://www.aho.afro.who.int/profiles_information/index.php/Angola:Health_information,_research,_evidence_and_knowledge"
"BJ","Benin","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"BW","Botswana","grey","No information",,
"BF","Burkina Faso","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"BI","Burundi","orange","Partial","DHIS 2","https://www.dhis2.org/deployments"
"CM","Cameroon","grey","No information",,
"CV","Cape Verde","grey","No information",,
"CF","CAR","grey","No information",,
"TD","Chad","grey","No information",,
"KM","Comoros","grey","No information",,
"CG","Congo","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"CI","Côte d'Ivoire","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"DJ","Djibouti","grey","No information",,
"CD","DRC","orange","Partial","DHIS 2","https://www.dhis2.org/deployments"
"EG","Egypt","grey","No information",,
"GQ","Equatorial Guinea","grey","No information",,
"ER","Eritrea","grey","No information",,
"ET","Ethiopia","grey","No information",,
"GA","Gabon","grey","No information",,
"GM","Gambia","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"GH","Ghana","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"GN","Guinea","grey","No information",,
"GW","Guinea-Bissau","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"KE","Kenya","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"LS","Lesotho","grey","No information",,
"LR","Liberia","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"LY","Libya","grey","No information",,
"MG","Madagascar","grey","No information",,
"MW","Malawi","orange","Partial","DHIS 2","https://www.dhis2.org/deployments"
"ML","Mali","grey","No information",,
"MR","Mauritania","grey","No information",,
"MU","Mauritius","grey","No information",,
"MA","Morocco","grey","No information",,
"MZ","Mozambique","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"NA","Namibia","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"NE","Niger","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"NG","Nigeria","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"RW","Rwanda","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"ST","Sao Tome & Principe","grey","No information",,
"SN","Senegal","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"SC","Seychelles","grey","No information",,
"SL","Sierra Leone","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"SO","Somalia","grey","No information",,
"ZA","South Africa","orange","Partial","DHIS 2","https://www.dhis2.org/deployments"
"SS","South Sudan","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"SD","Sudan","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"SZ","Swaziland","grey","No information",,
"TZ","Tanzania","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"TG","Togo","orange","Pilot","DHIS 2","https://www.dhis2.org/deployments"
"TN","Tunisia","grey","No information",,
"UG","Uganda","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"EH","Western Sahara","grey","No information",,
"ZM","Zambia","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
"ZW","Zimbabwe","green","Functioning","DHIS 2","https://www.dhis2.org/deployments"
