"id","value.2015"
"AF",10
"AL",0.1
"DZ",8
"AO",4.9
"AG",0
"AR",2.1
"AM",0.1
"AU",0.1
"AT",0
"AZ",3.7
"BS",0
"BH",0.6
"BD",6.1
"BB",0
"BY",1.2
"BE",0.1
"BZ",0
"BJ",1.1
"BT",0.1
"BO",2.2
"BA",0.1
"BW",0.2
"BR",6
"BN",0
"BG",1.3
"BF",1.9
"BI",4.6
"CV",0
"KH",3.7
"CM",1.7
"CA",0.7
"CF",10
"TD",5.9
"CL",0.9
"CN",6.3
"CO",7
"KM",0.1
"CG",3.3
"CD",7
"CR",0.1
"CI",3.9
"HR",0
"CU",0.1
"CY",0.1
"CZ",0.1
"DK",0
"DJ",0.4
"DM",0
"DO",1.7
"EC",0.7
"EG",7
"SV",1
"GQ",0.1
"ER",1.6
"EE",0.1
"ET",6.3
"FJ",0
"FI",0
"FR",2.3
"GA",1.7
"GM",0.2
"GE",3.9
"DE",0.2
"GH",1.2
"GR",2.8
"GD",0
"GT",3.7
"GN",4
"GW",2.1
"GY",0
"HT",3.6
"HN",2.2
"HU",0.7
"IS",0
"IN",7
"ID",6.4
"IR",5.2
"IQ",10
"IE",0
"IL",3.2
"IT",2.8
"JM",1.3
"JP",0.9
"JO",1.6
"KZ",2.2
"KE",7
"KI",0
"KP",1.2
"KR",0.2
"KW",2.4
"KG",2.5
"LA",1.6
"LV",0
"LB",3.1
"LS",1.1
"LR",0.9
"LY",8
"LI",0
"LT",0.1
"LU",0
"MK",1
"MG",0.9
"MW",0.4
"MY",2.3
"MV",0
"ML",8
"MT",0
"MH",0
"MR",2.3
"MU",0
"MX",9
"FM",0
"MD",4.2
"MN",0.9
"ME",0
"MA",2.2
"MZ",2.9
"MM",7
"NA",1
"NR",0
"NP",3.8
"NL",0.1
"NZ",0
"NI",2
"NE",4.5
"NG",9
"NO",0
"OM",1.2
"PK",8
"PW",0
"PS",9
"PA",2.2
"PG",1.7
"PY",1.7
"PE",3.9
"PH",7
"PL",1.2
"PT",0.1
"QA",0
"RO",2.4
"RU",7
"RW",1.6
"KN",0
"LC",0
"VC",0
"WS",0
"ST",0
"SA",3.4
"SN",4
"RS",1.9
"SC",0
"SL",2.6
"SG",0
"SK",2.2
"SI",0
"SB",0
"SO",10
"ZA",5
"SS",9
"ES",2
"LK",5.2
"SD",9
"SR",0
"SZ",2.5
"SE",0
"CH",0.1
"SY",10
"TJ",5
"TZ",3.9
"TH",5.2
"TL",0.5
"TG",2.9
"TO",0
"TT",0.1
"TN",2.2
"TR",5.5
"TM",0.9
"TV",0
"UG",8
"UA",9
"AE",0
"GB",3.5
"US",2.8
"UY",0
"UZ",2.8
"VU",0
"VE",4.2
"VN",1.2
"YE",10
"ZM",2
"ZW",4.5
