"series","country-year"
"id","in-oda-and-repayments"
"type","composite"
"parent",
"name","Gross Official Development Assistance received by recipients with capital and interest repayments"
"columns","id, year, in-oda-gross, capital-repayment, interest-repayment"
"description","Gross ODA received by recipients with capital and interest repayments"
"default-scale","lin"
"themes",
"map-theme",
"theme-order",
"global-picture-color-ramp",
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow",
"range",
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription",
"laymans-heading",
"source-link",
