"series","country-year"
"id","in-oda-net"
"type","simple"
"parent",
"name","Net Official Development Assistance receipts"
"columns","id, year, value"
"description","Net ODA received by each recipient country"
"default-scale","lin"
"theme","official"
"uom","USD"
"uom_display","USD"
"source","Development Initiatives based on OECD-DAC data"
"calculation",
"format",
"highorlow","lowisbetter"
"range","250000000, 500000000, 750000000, 1000000000, 3000000000"
"interpolated",
"missing-donor","NR"
"missing-recipient","NA"
"laymans-decription","Net offical development assistance received by a country minus repayments on ODA loans"
"laymans-heading","Net Offical Development Assistanced received "
"theme-order",
