"id","income-share-bottom-20pc.2000","income-share-second-20pc.2000","income-share-third-20pc.2000","income-share-fourth-20pc.2000","income-share-highest-20pc.2000","income-share-bottom-20pc.2001","income-share-second-20pc.2001","income-share-third-20pc.2001","income-share-fourth-20pc.2001","income-share-highest-20pc.2001","income-share-bottom-20pc.2002","income-share-second-20pc.2002","income-share-third-20pc.2002","income-share-fourth-20pc.2002","income-share-highest-20pc.2002","income-share-bottom-20pc.2003","income-share-second-20pc.2003","income-share-third-20pc.2003","income-share-fourth-20pc.2003","income-share-highest-20pc.2003","income-share-bottom-20pc.2004","income-share-second-20pc.2004","income-share-third-20pc.2004","income-share-fourth-20pc.2004","income-share-highest-20pc.2004","income-share-bottom-20pc.2005","income-share-second-20pc.2005","income-share-third-20pc.2005","income-share-fourth-20pc.2005","income-share-highest-20pc.2005","income-share-bottom-20pc.2006","income-share-second-20pc.2006","income-share-third-20pc.2006","income-share-fourth-20pc.2006","income-share-highest-20pc.2006","income-share-bottom-20pc.2007","income-share-second-20pc.2007","income-share-third-20pc.2007","income-share-fourth-20pc.2007","income-share-highest-20pc.2007","income-share-bottom-20pc.2008","income-share-second-20pc.2008","income-share-third-20pc.2008","income-share-fourth-20pc.2008","income-share-highest-20pc.2008","income-share-bottom-20pc.2009","income-share-second-20pc.2009","income-share-third-20pc.2009","income-share-fourth-20pc.2009","income-share-highest-20pc.2009","income-share-bottom-20pc.2010","income-share-second-20pc.2010","income-share-third-20pc.2010","income-share-fourth-20pc.2010","income-share-highest-20pc.2010","income-share-bottom-20pc.2011","income-share-second-20pc.2011","income-share-third-20pc.2011","income-share-fourth-20pc.2011","income-share-highest-20pc.2011","income-share-bottom-20pc.2012","income-share-second-20pc.2012","income-share-third-20pc.2012","income-share-fourth-20pc.2012","income-share-highest-20pc.2012","income-share-bottom-20pc.2013","income-share-second-20pc.2013","income-share-third-20pc.2013","income-share-fourth-20pc.2013","income-share-highest-20pc.2013"
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AO",2,5.66,10.79,19.69,61.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,9.63,14.52,21.81,48.64,,,,,,,,,,,,,,,,,,,,
"AL",,,,,,,,,,,8.35,12.58,16.5,22.21,40.36,,,,,,8.18,12.69,17,22.62,39.51,8.13,12.59,16.75,22.47,40.06,,,,,,,,,,,8.87,13.07,16.84,22.23,38.99,,,,,,,,,,,,,,,,8.85,13.18,17.34,22.81,37.82,,,,,
"AE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AR",3.19,7.57,12.78,21.31,55.15,2.58,7.09,12.27,21.06,57,2.76,6.94,12.18,20.34,57.78,2.72,7.06,12.18,20.94,57.1,3.21,7.74,13.19,21.7,54.16,3.43,8.06,13.45,21.73,53.33,3.58,8.31,13.73,21.99,52.39,3.86,8.51,13.96,22.04,51.63,3.92,8.84,14.22,22.36,50.66,3.93,9.17,14.56,22.62,49.72,4.36,9.29,14.54,22.43,49.38,4.58,9.55,14.78,22.43,48.66,,,,,,,,,,
"AM",,,,,,7.73,11.88,15.63,20.86,43.9,8.05,12.03,15.6,20.81,43.51,8.66,12.45,15.94,20.79,42.16,7.59,11.47,14.98,20.2,45.76,8.09,11.86,15.29,20.24,44.52,8.52,12.61,16.28,21.19,41.4,8.73,13.15,17.15,22.1,38.87,8.88,12.76,16.66,21.99,39.71,9.11,13.11,16.83,22.05,38.9,8.94,12.79,16.58,21.38,40.31,8.77,12.84,16.45,21.55,40.39,8.77,12.93,17.01,22.07,39.22,,,,,
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AU",,,,,,6.94,12.16,16.51,23.24,41.15,,,,,,7.03,12.15,16.5,23.21,41.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",8.55,13.43,17.52,22.97,37.53,,,,,,,,,,,,,,,,8.46,13.19,17.17,22.48,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ",,,,,,7.47,11.37,15.48,21.26,44.42,12.86,16.28,18.78,21.75,30.33,12.21,15.89,18.72,22.16,31.02,13.32,16.57,18.83,21.57,29.71,13.37,16.4,18.52,21.52,30.19,,,,,,,,,,,8.13,12.32,16.22,21.9,41.43,,,,,,,,,,,,,,,,,,,,,,,,,
"BI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,11.86,15.43,21,42.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BE",8.35,12.89,16.26,20.81,41.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BJ",,,,,,,,,,,,,,,,6.99,10.84,15.03,21.03,46.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,9.38,13.58,20.44,50.46,,,,,
"BF",,,,,,,,,,,,,,,,5.81,9.51,14.02,20.96,49.7,,,,,,,,,,,,,,,,,,,,,,,,,,6.72,10.58,14.79,20.88,47.03,,,,,,,,,,,,,,,,,,,,
"BD",8.66,12,15.7,21.07,42.57,,,,,,,,,,,,,,,,,,,,,8.79,12.07,15.71,20.97,42.46,,,,,,,,,,,,,,,,,,,,,8.88,12.37,16.07,21.27,41.41,,,,,,,,,,,,,,,
"BG",,,,,,6.58,12.55,17.18,23.02,40.67,,,,,,8.75,13.72,17.33,22.19,38.01,,,,,,,,,,,,,,,,8.5,13.85,17.92,23,36.73,6.94,12.63,16.86,22.55,41.02,,,,,,6.21,12.07,16.72,22.72,42.28,6.41,12.72,17.08,22.68,41.11,,,,,,,,,,
"BH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BA",,,,,,8.79,13.3,16.99,22.13,38.79,,,,,,,,,,,7.4,12.08,16.27,22.45,41.8,,,,,,,,,,,7.47,12.26,16.61,22.98,40.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BY",8.88,13.75,17.78,22.95,36.64,8.89,13.6,17.47,22.7,37.34,8.36,13.19,17.3,22.57,38.58,8.49,13.46,17.52,22.89,37.64,9.44,14.05,17.89,22.85,35.77,8.92,13.83,17.87,23.03,36.35,8.79,13.56,17.71,22.92,37.02,8.8,13.43,17.46,22.57,37.74,9.19,13.76,17.76,23,36.29,9.06,13.84,17.69,22.43,36.98,9.04,13.65,17.67,22.79,36.85,9.37,14.04,17.9,22.82,35.87,,,,,,,,,,
"BZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
