"id","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012"
"AD",,,,,,,,
"AE",,,,,,,,
"AF",,,,23.21,,,,
"AG",,,,,,,,
"AL",26.05,,,28.99,,,,
"AM",30.8,27.6,24.62,25.4,,26.37,,
"AO",,,,,32.37,,,
"AR",36.08,34.59,34.7,33.59,33.29,32.3,,
"AS",,,,,,,,
"AT",,,,,,,,
"AU",,,,,,,,
"AW",,,,,,,,
"AZ",,,,27.37,,,,
"BA",,,27.25,,,,,
"BB",,,,,,,,
"BD",28.12,,,,,27.03,,
"BE",,,,,,,,
"BF",,,,,32.16,,,
"BG",,,22.17,,,,,
"BH",,,,,,,,
"BI",,28.04,,,,,,
"BJ",,,,,,,,
"BM",,,,,,,,
"BN",,,,,,,,
"BO",44.33,43.3,45.37,43.28,,,,
"BR",45.47,44.66,43.82,43.33,42.93,,,
"BS",,,,,,,,
"BT",,,29.36,,,,,30.75
"BW",,,,,,,,
"BY",22.13,22.62,23.14,21.9,22.65,22.29,21.43,
"BZ",,,,,,,,
"CA",,,,,,,,
"CD",,34.69,,,,,,
"CF",,,,46.13,,,,
"CG",37.05,,,,,,,
"CH",,,,,,,,
"CI",,,,31.75,,,,
"CL",,41.98,,,42.77,,,
"CM",,,30.36,,,,,
"CN",31.97,,,31.05,29.98,,,
"CO",44.97,47.16,47.84,45.24,44.98,44.43,,
"CR",35.8,37.88,38.72,38.04,39.5,,,
"CU",,,,,,,,
"CV",,,,,,,,
"CW",,,,,,,,
"CY",,,,,,,,
"CZ",,,,,,,,
"DE",,,,,,,,
"DJ",,,,,,,,
"DK",,,,,,,,
"DM",,,,,,,,
"DO",39.7,41.18,38.35,38.83,38.68,36.41,,
"DZ",,,,,,,,
"EC",42.55,42.45,43.25,39.28,38.28,38.32,,
"EE",,,,,,,,
"EG",27.62,,,26.58,,,,
"ER",,,,,,,,
"ES",,,,,,,,
"ET",25.63,,,,,,27.51,
"FI",,,,,,,,
"FJ",,,,,34.87,,,
"FM",,,,,,,,
"FO",,,,,,,,
"FR",,,,,,,,
"GA",32.95,,,,,,,
"GB",,,,,,,,
"GD",,,,,,,,
"GE",31.03,31.51,30,31.31,31.77,31.34,,
"GH",,32.75,,,,,,
"GL",,,,,,,,
"GM",,,,,,,,
"GN",,,30.34,,,,,
"GQ",,,,,,,,
"GR",,,,,,,,
"GT",,44.92,,,,,,
"GU",,,,,,,,
"GW",,,,,,,,
"GY",,,,,,,,
"HK",,,,,,,,
"HN",46.35,44.06,43.81,47.67,42.4,,,
"HR",,,,27.48,,,,
"HT",,,,,,,,
"HU",,,25.44,,,,,
"ID",28.51,,,27.84,,28.18,30.62662806,
"IE",,,,,,,,
"IL",,,,,,,,
"IN",28.26,,,,,28.79,,
"IQ",,,25.24,,,,,
"IR",29.63,,,,,,,
"IS",,,,,,,,
"IT",,,,,,,,
"JM",,,,,,,,
"JO",,30.77,,27.4,,28.7,,
"JP",,,,,,,,
"KE",37.99,,,,,,,
"KG",29.61,32.82,27.87,28.4,27.79,28.2,26.36,
"KH",,,37.25,31.36,29.81,,,
"KI",,,,,,,,
"KM",,,,,,,,
"KN",,,,,,,,
"KP",,,,,,,,
"KR",,,,,,,,
"KW",,,,,,,,
"KY",,,,,,,,
"KZ",,25.38,25.23,24.37,23.75,,,
"LA",,,,30.33,,,,
"LB",,,,,,,,
"LC",,,,,,,,
"LI",,,,,,,,
"LK",,,32.94,,,30.03,,
"LR",,,30.1,,,,,
"LS",,,,,,,,
"LT",,,,29.1,,,,
"LU",,,,,,,,
"LV",,,27.89,28.1,26.68,,,
"LY",,,,,,,,
"MA",,,33.22,,,,,
"MC",,,,,,,,
"MD",28.52,27.9,27.41,27.71,25.76,25.97,,
"ME",23.99,23.1,23.88,24.12,24.36,22.56,,
"MF",,,,,,,,
"MG",41.54,,,,,34.68,,
"MH",,,,,,,,
"MK",28.93,32.68,,34.48,32.4,31.93,,
"ML",,30.54,,,,25.83,,
"MM",,,,,,,,
"MN",,,,28.38,,,,
"MO",,,,,,,,
"MP",,,,,,,,
"MR",,,,31.62,,,,
"MT",,,,,,,,
"MU",,,,,,,,
"MV",,,,,,,,
"MW",,,,,,34.9,,
"MX",40.22,38.28,,38.68,,37.51,,
"MY",,,34.76,,34.65,,,
"MZ",,,,36.73,,,,
"NA",,,,,,,,
"NC",,,,,,,,
"NE",35.67,,,28.51,,,,
"NG",,,,,,38.23,,
"NI",31.51,,,,,,,
"NL",,,,,,,,
"NO",,,,,,,,
"NP",,,,,,26.52,,
"NZ",,,,,,,,
"OM",,,,,,,,
"PA",40.52,41.61,,,40.49,40.08,,
"PE",39.68,39.18,39.34,36.85,36.78,36.11,,
"PF",,,,,,,,
"PG",,,,,,,,
"PH",,33.9,,,33.62,,,
"PK",26.71,28.29,,26.05,,,,
"PL",27.2,26.72,26.89,27.15,27.05,26.67,25.88,
"PR",,,,,,,,
"PS",,,30.16,,28.18,,,
"PT",,,,,,,,
"PW",,,,,,,,
"PY",40.71,43.61,42.21,40.81,38.95,41.11,,
"QA",,,35.9,,,,,
"RO",25.2,25.48,25.63,24.47,23.5,19.46,21.44,
"RS",26.13,23.56,23.53,22.81,22.2,23.33,,
"RU",28.59,32.41,34.45,33.5,31.68,,,
"RW",,45.15,,,,,43.22,
"SA",,,,,,,,
"SB",,,,,,,,
"SC",,,60.16,,,,,
"SD",,,,,26.72,,,
"SE",,,,,,,,
"SG",,,,,,,,
"SI",,,,,,,,
"SK",24.65,23.74,24.27,23.23,22.41,,,
"SL",,,,,,,28.74,
"SM",,,,,,,,
"SN",30.14,,,,,,31.1,
"SO",,,,,,,,
"SR",,,,,,,,
"SS",,,,,,,,
"ST",,,,,,,,
"SV",37.5,35.94,36.13,35.77,37,,,
"SX",,,,,,,,
"SY",,,,,,,,
"SZ",,,,,,40.12,,
"TC",,,,,,,,
"TD",,,,,,,,
"TG",,27.06,,,,,29.41,
"TH",,33.3,,31.81,31.45,30.99,,
"TJ",,,25.44,,24.31,,,
"TL",,,,,,,,
"TM",,,,,,,,
"TN",32.45,,,,,27.59,,
"TO",,,,,,,,
"TR",32.6,30.42,29.44,29.35,29,30.1,,
"TT",,,,,,,,
"TV",,,,,,,,
"TZ",,,29.61,,,,,
"UA",22.73,23.94,23.88,22.55,22.04,21.5,,
"UG",,34.07,,,36.1,,,
"US",,,,,,,,
"UY",34.32,35.92,36.31,35.08,35.24,34.36,,
"UZ",,,,,,,,
"VC",,,,,,,,
"VE",36.26,33.17,,,,,,
"VI",,,,,,,,
"VN",,27.79,,28.21,,,,
"VU",,,,,,,,
"WS",,,,,,,,
"XK",,,,,,,,
"YE",30.82,,,,,,,
"ZA",,57.54,,,51.69,,,
"ZM",,43.14,,,,47.39,,
"ZW",,,,,,,,
