"district_id","district_name","year","value"
"d18974","Baringo",2013,3.33515582285402
"d18974","Baringo",2016,5.4
"d18975","Bomet",2013,3.14917127071823
"d18975","Bomet",2016,2.4
"d18987","Bungoma",2013,3.03074778014236
"d18987","Bungoma",2016,3.3
"d18988","Busia",2013,3.7037037037037
"d18988","Busia",2016,5.1
"d18976","Elgeyo-Marakwet",2013,3.97928590896702
"d18976","Elgeyo-Marakwet",2016,4.1
"d18955","Embu",2013,5.19174041297935
"d18955","Embu",2016,6.6
"d18965","Garissa",2013,2.33425190468471
"d18965","Garissa",2016,2.6
"d18968","Homa Bay",2013,3.70603015075377
"d18968","Homa Bay",2016,2.9
"d18956","Isiolo",2013,3.73027259684362
"d18956","Isiolo",2016,3.5
"d18991","Kajiado",2013,2.25997045790251
"d18991","Kajiado",2016,2.3
"d18989","Kakamega",2013,3.61826129188927
"d18989","Kakamega",2016,4.1
"d18977","Kericho",2013,2.98406697272482
"d18977","Kericho",2016,3.2
"d18943","Kiambu",2013,3.61731320942996
"d18943","Kiambu",2016,3.5
"d18949","Kilifi",2013,3.54964958587421
"d18949","Kilifi",2016,3
"d18944","Kirinyaga",2013,5.39243907119555
"d18944","Kirinyaga",2016,7.2
"d18969","Kisii",2013,3.41476228001051
"d18969","Kisii",2016,3.8
"d18970","Kisumu",2013,3.27421555252387
"d18970","Kisumu",2016,3.1
"d18957","Kitui",2013,5.28161956303869
"d18957","Kitui",2016,6.4
"d18950","Kwale",2013,3.35873114601151
"d18950","Kwale",2016,3.3
"d18978","Laikipia",2013,4.03472931562819
"d18978","Laikipia",2016,3.6
"d18951","Lamu",2013,3.51758793969849
"d18951","Lamu",2016,4.3
"d18958","Machakos",2013,5.00184229918939
"d18958","Machakos",2016,5.2
"d18959","Makueni",2013,5.18069533394328
"d18959","Makueni",2016,5
"d18966","Mandera",2013,1.86687518326654
"d18966","Mandera",2016,3.4
"d18960","Marsabit",2013,4.19556171983356
"d18960","Marsabit",2016,3.8
"d18961","Meru",2013,4.41055543096359
"d18961","Meru",2016,4.6
"d18971","Migori",2013,2.82031508207558
"d18971","Migori",2016,3.9
"d18952","Mombasa",2013,1.67282207256137
"d18952","Mombasa",2016,1.7
"d18946","Murang'a",2013,6.86190679777683
"d18946","Murang'a",2016,8.3
"d18964","Nairobi",2013,1.11078631978954
"d18964","Nairobi",2016,1.1
"d18979","Nakuru",2013,3.02662665219335
"d18979","Nakuru",2016,3.8
"d18980","Nandi",2013,3.63489499192246
"d18980","Nandi",2016,2.7
"d18981","Narok",2013,2.47148288973384
"d18981","Narok",2016,2.2
"d18962","Nithi",2013,5.33037201554692
"d18962","Nithi",2016,6.2
"d18972","Nyamira",2013,3.51173391862232
"d18972","Nyamira",2016,3.7
"d18947","Nyandarua",2013,4.47761194029851
"d18947","Nyandarua",2016,5.5
"d18948","Nyeri",2013,6.58030325334904
"d18948","Nyeri",2016,8
"d18982","Samburu",2013,2.98237686398554
"d18982","Samburu",2016,2.9
"d18973","Siaya",2013,5.33573141486811
"d18973","Siaya",2016,5.8
"d18953","Taita Taveta",2013,5.20189159694434
"d18953","Taita Taveta",2016,5.2
"d18954","Tana River",2013,2.93009627459188
"d18954","Tana River",2016,3.8
"d18983","Trans-Nzoia",2013,2.76679841897233
"d18983","Trans-Nzoia",2016,3.6
"d18984","Turkana",2013,2.34559170202735
"d18984","Turkana",2016,4.2
"d18985","Uasin Gishu",2013,2.86631506535198
"d18985","Uasin Gishu",2016,3.6
"d18990","Vihiga",2013,6.10200364298725
"d18990","Vihiga",2016,7.1
"d18967","Wajir",2013,2.18811730740009
"d18967","Wajir",2016,3.4
"d18986","West Pokot",2013,2.6883830455259
"d18986","West Pokot",2016,2.7
