"district_id","district_name","year","value"
"d18974","Baringo",2009,3.09
"d18974","Baringo",2016,3.2
"d18975","Bomet",2009,2.38
"d18975","Bomet",2016,0.7
"d18987","Bungoma",2009,4.68
"d18987","Bungoma",2016,2.1
"d18988","Busia",2009,5.3
"d18988","Busia",2016,3.3
"d18976","Elgeyo-Marakwet",2009,2.79
"d18976","Elgeyo-Marakwet",2016,2
"d18955","Embu",2009,3.05
"d18955","Embu",2016,4
"d18965","Garissa",2009,2.75
"d18965","Garissa",2016,0.9
"d18968","Homa Bay",2009,7.66
"d18968","Homa Bay",2016,2.9
"d18956","Isiolo",2009,2.8
"d18956","Isiolo",2016,1.7
"d18991","Kajiado",2009,2.56
"d18991","Kajiado",2016,0.7
"d18989","Kakamega",2009,4.8
"d18989","Kakamega",2016,2.1
"d18977","Kericho",2009,2.41
"d18977","Kericho",2016,2.1
"d18943","Kiambu",2009,2.31
"d18943","Kiambu",2016,1.1
"d18949","Kilifi",2009,3.08
"d18949","Kilifi",2016,2.7
"d18944","Kirinyaga",2009,2.75
"d18944","Kirinyaga",2016,5.8
"d18969","Kisii",2009,3.32
"d18969","Kisii",2016,2.4
"d18970","Kisumu",2009,5.47
"d18970","Kisumu",2016,2.7
"d18957","Kitui",2009,3.85
"d18957","Kitui",2016,4.6
"d18950","Kwale",2009,3.4
"d18950","Kwale",2016,4.1
"d18978","Laikipia",2009,2.88
"d18978","Laikipia",2016,1.6
"d18951","Lamu",2009,3.16
"d18951","Lamu",2016,2.9
"d18958","Machakos",2009,4.08
"d18958","Machakos",2016,3.9
"d18959","Makueni",2009,3.95
"d18959","Makueni",2016,3.9
"d18966","Mandera",2009,3.39
"d18966","Mandera",2016,3.7
"d18960","Marsabit",2009,3.36
"d18960","Marsabit",2016,3.6
"d18961","Meru",2009,3.24
"d18961","Meru",2016,8.5
"d18971","Migori",2009,6.16
"d18971","Migori",2016,5.1
"d18952","Mombasa",2009,1.96
"d18952","Mombasa",2016,0.5
"d18946","Murang'a",2009,2.72
"d18946","Murang'a",2016,3.3
"d18964","Nairobi",2009,2.13
"d18964","Nairobi",2016,1.2
"d18979","Nakuru",2009,2.6
"d18979","Nakuru",2016,1.9
"d18980","Nandi",2009,2.51
"d18980","Nandi",2016,1.1
"d18981","Narok",2009,1.98
"d18981","Narok",2016,1.9
"d18962","Nithi",2009,4.44
"d18962","Nithi",2016,4.4
"d18972","Nyamira",2009,3.52
"d18972","Nyamira",2016,5.2
"d18947","Nyandarua",2009,2.85
"d18947","Nyandarua",2016,1.7
"d18948","Nyeri",2009,3
"d18948","Nyeri",2016,2.1
"d18982","Samburu",2009,3.25
"d18982","Samburu",2016,1.9
"d18973","Siaya",2009,7.27
"d18973","Siaya",2016,5.3
"d18953","Taita Taveta",2009,5.05
"d18953","Taita Taveta",2016,3
"d18954","Tana River",2009,3.13
"d18954","Tana River",2016,2.8
"d18983","Trans-Nzoia",2009,3.28
"d18983","Trans-Nzoia",2016,2.1
"d18984","Turkana",2009,3
"d18984","Turkana",2016,4
"d18985","Uasin Gishu",2009,2.26
"d18985","Uasin Gishu",2016,3.6
"d18990","Vihiga",2009,5.32
"d18990","Vihiga",2016,6.3
"d18967","Wajir",2009,2.39
"d18967","Wajir",2016,1.5
"d18986","West Pokot",2009,2.97
"d18986","West Pokot",2016,2.2
