"id","entity-name","2009"
"d18974","Baringo",57
"d18975","Bomet",94.9
"d18987","Bungoma",96.6
"d18988","Busia",92
"d18976","Elgeyo-Marakwet",81.2
"d18955","Embu",98.2
"d18965","Garissa",51.5
"d18968","Homa Bay",61.4
"d18956","Isiolo",55.7
"d18991","Kajiado",74.2
"d18989","Kakamega",122.1
"d18977","Kericho",91.9
"d18943","Kiambu",99.6
"d18949","Kilifi",65.5
"d18944","Kirinyaga",99.2
"d18969","Kisii",99.2
"d18970","Kisumu",87.4
"d18957","Kitui",69.1
"d18950","Kwale",48.6
"d18978","Laikipia",88.6
"d18951","Lamu",77.5
"d18958","Machakos",97
"d18959","Makueni",97.9
"d18966","Mandera",33.9
"d18960","Marsabit",35.4
"d18961","Meru",97.6
"d18971","Migori",66.8
"d18952","Mombasa",96.6
"d18946","Murang'a",237.1
"d18964","Nairobi",98.7
"d18979","Nakuru",97
"d18980","Nandi",84.4
"d18981","Narok",70.9
"d18962","Nithi",90.6
"d18972","Nyamira",99.4
"d18947","Nyandarua",99.7
"d18948","Nyeri",99.6
"d18982","Samburu",26.5
"d18973","Siaya",82.7
"d18953","Taita Taveta",94.3
"d18954","Tana River",29.3
"d18983","Trans-Nzoia",96
"d18984","Turkana",17.8
"d18985","Uasin Gishu",98
"d18990","Vihiga",99.1
"d18967","Wajir",13.3
"d18986","West Pokot",32.8
