"district_id","district_name","year","budget_type","value"
"d18974","Baringo",2014,"estimated",10.1454408676
"d18975","Bomet",2015,"estimated",100
"d18975","Bomet",2016,"estimated",4.6809699976
"d18987","Bungoma",2014,"estimated",31.642532616
"d18988","Busia",2016,"estimated",8.6607434081
"d18976","Elgeyo-Marakwet",2014,"estimated",16.6113498202
"d18976","Elgeyo-Marakwet",2015,"actual",4.4063813141
"d18976","Elgeyo-Marakwet",2016,"actual",4.091722276
"d18976","Elgeyo-Marakwet",2017,"estimated",4.0966975658
"d18968","Homa Bay",2015,"estimated",88.7435335693
"d18989","Kakamega",2015,"estimated",8.4702955583
"d18989","Kakamega",2016,"estimated",8.1781253478
"d18943","Kiambu",2014,"estimated",32.3818968311
"d18949","Kilifi",2014,"estimated",25.7065236399
"d18944","Kirinyaga",2014,"estimated",22.5309581194
"d18969","Kisii",2014,"estimated",16.3708941074
"d18970","Kisumu",2015,"estimated",24.8693523114
"d18970","Kisumu",2016,"estimated",19.388462097
"d18950","Kwale",2016,"estimated",3.7919544509
"d18951","Lamu",2016,"estimated",2.0309920532
"d18960","Marsabit",2015,"estimated",0.957256361
"d18979","Nakuru",2015,"estimated",26.7491082025
"d18979","Nakuru",2016,"estimated",24.4976074616
"d18962","Nithi",2016,"estimated",13.0494595824
"d18947","Nyandarua",2015,"estimated",5.7164722398
"d18948","Nyeri",2017,"estimated",15.4400338897
"d18982","Samburu",2016,"estimated",16.1449995251
"d18973","Siaya",2016,"estimated",5.4859585012
"d18973","Siaya",2017,"estimated",4.4906523695
"d18953","Taita Taveta",2015,"estimated",9.9358812149
"d18953","Taita Taveta",2016,"estimated",11.6671969386
"d18953","Taita Taveta",2017,"estimated",9.7012480296
"d18983","Trans-Nzoia",2016,"estimated",6.1825128878
"d18983","Trans-Nzoia",2017,"estimated",7.2769505862
"d18985","Uasin Gishu",2015,"estimated",16.7620038776
"d18985","Uasin Gishu",2017,"estimated",15.5847466268
"d18986","West Pokot",2015,"actual",2.7438492654
"d18986","West Pokot",2016,"estimated",100
"d18986","West Pokot",2017,"estimated",2.4248811858
