"district_id","district_name","year","value"
"d18974","Baringo",2016,78.5
"d18975","Bomet",2016,73.9
"d18987","Bungoma",2016,78.4
"d18988","Busia",2016,86.4
"d18976","Elgeyo-Marakwet",2016,78.1
"d18955","Embu",2016,83.6
"d18965","Garissa",2016,62.3
"d18968","Homa Bay",2016,70.8
"d18956","Isiolo",2016,78.2
"d18991","Kajiado",2016,74.1
"d18989","Kakamega",2016,73.8
"d18977","Kericho",2016,81.6
"d18943","Kiambu",2016,78.4
"d18949","Kilifi",2016,66.3
"d18944","Kirinyaga",2016,83.6
"d18969","Kisii",2016,81.8
"d18970","Kisumu",2016,81.2
"d18957","Kitui",2016,71.9
"d18950","Kwale",2016,79.1
"d18978","Laikipia",2016,87
"d18951","Lamu",2016,79.2
"d18958","Machakos",2016,71.6
"d18959","Makueni",2016,74.8
"d18966","Mandera",2016,79.1
"d18960","Marsabit",2016,68.4
"d18961","Meru",2016,74.8
"d18971","Migori",2016,78.3
"d18952","Mombasa",2016,83.1
"d18946","Murang'a",2016,87.8
"d18964","Nairobi",2016,77.7
"d18979","Nakuru",2016,78.7
"d18980","Nandi",2016,84.9
"d18981","Narok",2016,91.6
"d18962","Nithi",2016,74.7
"d18972","Nyamira",2016,88
"d18947","Nyandarua",2016,76.3
"d18948","Nyeri",2016,86.4
"d18982","Samburu",2016,81.4
"d18973","Siaya",2016,83.4
"d18953","Taita Taveta",2016,78.1
"d18954","Tana River",2016,76
"d18983","Trans-Nzoia",2016,78.4
"d18984","Turkana",2016,65.4
"d18985","Uasin Gishu",2016,74
"d18990","Vihiga",2016,79.1
"d18967","Wajir",2016,74.2
"d18986","West Pokot",2016,60.2
