"district_id","district_name","year","value"
"d18974","Baringo",2014,82.5
"d18975","Bomet",2014,92.1
"d18987","Bungoma",2014,84.3
"d18988","Busia",2014,92.2
"d18976","Elgeyo-Marakwet",2014,86.6
"d18955","Embu",2014,92.8
"d18965","Garissa",2014,81.2
"d18968","Homa Bay",2014,80.3
"d18956","Isiolo",2014,86.5
"d18991","Kajiado",2014,80.9
"d18989","Kakamega",2014,80.1
"d18977","Kericho",2014,82.9
"d18943","Kiambu",2014,99
"d18949","Kilifi",2014,83.7
"d18944","Kirinyaga",2014,100
"d18969","Kisii",2014,86.5
"d18970","Kisumu",2014,89.5
"d18957","Kitui",2014,84.9
"d18950","Kwale",2014,90.7
"d18978","Laikipia",2014,92.3
"d18951","Lamu",2014,83.2
"d18958","Machakos",2014,97.2
"d18959","Makueni",2014,96.8
"d18966","Mandera",2014,61.7
"d18960","Marsabit",2014,76.8
"d18961","Meru",2014,91.3
"d18971","Migori",2014,82
"d18952","Mombasa",2014,89.1
"d18946","Murang'a",2014,97.3
"d18964","Nairobi",2014,92.5
"d18979","Nakuru",2014,86.4
"d18980","Nandi",2014,97.5
"d18981","Narok",2014,74.5
"d18962","Nithi",2014,98.5
"d18972","Nyamira",2014,98
"d18947","Nyandarua",2014,95.1
"d18948","Nyeri",2014,92.7
"d18982","Samburu",2014,71.7
"d18973","Siaya",2014,84.8
"d18953","Taita Taveta",2014,93
"d18954","Tana River",2014,77.6
"d18983","Trans-Nzoia",2014,84.5
"d18984","Turkana",2014,71.9
"d18985","Uasin Gishu",2014,91.3
"d18990","Vihiga",2014,98.3
"d18967","Wajir",2014,64.5
"d18986","West Pokot",2014,58.2
