"id","entity-name","year","value"
"d18974","Baringo",2012,6.9
"d18975","Bomet",2012,0.3
"d18987","Bungoma",2012,0.7
"d18988","Busia",2012,0.5
"d18976","Elgeyo-Marakwet",2012,1.2
"d18955","Embu",2012,2.1
"d18965","Garissa",2012,0.1
"d18968","Homa Bay",2012,0.2
"d18956","Isiolo",2012,0.1
"d18991","Kajiado",2012,0.5
"d18989","Kakamega",2012,0.4
"d18977","Kericho",2012,4.7
"d18943","Kiambu",2012,7
"d18949","Kilifi",2012,1.5
"d18944","Kirinyaga",2012,1
"d18969","Kisii",2012,0.7
"d18970","Kisumu",2012,4.9
"d18957","Kitui",2012,0.3
"d18950","Kwale",2012,0.7
"d18978","Laikipia",2012,2.6
"d18951","Lamu",2012,
"d18958","Machakos",2012,1.8
"d18959","Makueni",2012,0.9
"d18966","Mandera",2012,
"d18960","Marsabit",2012,
"d18961","Meru",2012,2.1
"d18971","Migori",2012,0.5
"d18952","Mombasa",2012,24.7
"d18946","Murang'a",2012,4.9
"d18964","Nairobi",2012,44.1
"d18979","Nakuru",2012,3.1
"d18980","Nandi",2012,2.9
"d18981","Narok",2012,0.2
"d18962","Nithi",2012,0.3
"d18972","Nyamira",2012,4.5
"d18947","Nyandarua",2012,0.8
"d18948","Nyeri",2012,4.4
"d18982","Samburu",2012,0.1
"d18973","Siaya",2012,0.7
"d18953","Taita Taveta",2012,1.5
"d18954","Tana River",2012,0.2
"d18983","Trans-Nzoia",2012,2.3
"d18984","Turkana",2012,2
"d18985","Uasin Gishu",2012,1.5
"d18990","Vihiga",2012,6.3
"d18967","Wajir",2012,0.2
"d18986","West Pokot",2012,2.1
