"id","entity-name","2009"
"d18974","Baringo",51.5
"d18975","Bomet",53
"d18987","Bungoma",44.4
"d18988","Busia",50
"d18976","Elgeyo-Marakwet",51.3
"d18955","Embu",51.4
"d18965","Garissa",27.3
"d18968","Homa Bay",70.9
"d18956","Isiolo",45.5
"d18991","Kajiado",53
"d18989","Kakamega",44.4
"d18977","Kericho",59.1
"d18943","Kiambu",51.6
"d18949","Kilifi",53.9
"d18944","Kirinyaga",56.6
"d18969","Kisii",51.4
"d18970","Kisumu",62.1
"d18957","Kitui",56.2
"d18950","Kwale",51.8
"d18978","Laikipia",50.2
"d18951","Lamu",45.3
"d18958","Machakos",55.4
"d18959","Makueni",52.3
"d18966","Mandera",8.1
"d18960","Marsabit",34.2
"d18961","Meru",45.3
"d18971","Migori",64.5
"d18952","Mombasa",57.8
"d18946","Murang'a",51.5
"d18964","Nairobi",60.4
"d18979","Nakuru",50.3
"d18980","Nandi",53.3
"d18981","Narok",55.6
"d18962","Nithi",51.6
"d18972","Nyamira",50.6
"d18947","Nyandarua",54.5
"d18948","Nyeri",54.5
"d18982","Samburu",45
"d18973","Siaya",57.5
"d18953","Taita Taveta",51.4
"d18954","Tana River",41.6
"d18983","Trans-Nzoia",43.1
"d18984","Turkana",42.4
"d18985","Uasin Gishu",63.5
"d18990","Vihiga",44.8
"d18967","Wajir",21.1
"d18986","West Pokot",34.1
