"id","entity-name","2009"
"d18974","Baringo",96.2
"d18975","Bomet",96.3
"d18987","Bungoma",96.8
"d18988","Busia",93.7
"d18976","Elgeyo-Marakwet",100
"d18955","Embu",94
"d18965","Garissa",96.5
"d18968","Homa Bay",97.2
"d18956","Isiolo",99.1
"d18991","Kajiado",97.1
"d18989","Kakamega",97.7
"d18977","Kericho",97.3
"d18943","Kiambu",97.3
"d18949","Kilifi",99.2
"d18944","Kirinyaga",96.2
"d18969","Kisii",99.1
"d18970","Kisumu",98.3
"d18957","Kitui",96
"d18950","Kwale",87.8
"d18978","Laikipia",96.3
"d18951","Lamu",94.2
"d18958","Machakos",96.6
"d18959","Makueni",98
"d18966","Mandera",40.8
"d18960","Marsabit",96.5
"d18961","Meru",91.3
"d18971","Migori",97
"d18952","Mombasa",98.6
"d18946","Murang'a",96.1
"d18964","Nairobi",98.8
"d18979","Nakuru",96.9
"d18980","Nandi",98.6
"d18981","Narok",94.2
"d18962","Nithi",95.3
"d18972","Nyamira",98.1
"d18947","Nyandarua",95.1
"d18948","Nyeri",96.9
"d18982","Samburu",96.9
"d18973","Siaya",98.8
"d18953","Taita Taveta",100
"d18954","Tana River",95.3
"d18983","Trans-Nzoia",90.9
"d18984","Turkana",81.8
"d18985","Uasin Gishu",97.8
"d18990","Vihiga",92
"d18967","Wajir",73.5
"d18986","West Pokot",88.1
