"id","entity-name","2009"
"d18974","Baringo",8.3
"d18975","Bomet",4.4
"d18987","Bungoma",1.6
"d18988","Busia",0.9
"d18976","Elgeyo-Marakwet",11.6
"d18955","Embu",3.4
"d18965","Garissa",0
"d18968","Homa Bay",1.2
"d18956","Isiolo",0.7
"d18991","Kajiado",9.3
"d18989","Kakamega",1.7
"d18977","Kericho",6.1
"d18943","Kiambu",6.3
"d18949","Kilifi",1.3
"d18944","Kirinyaga",5.4
"d18969","Kisii",3.4
"d18970","Kisumu",3.1
"d18957","Kitui",2.2
"d18950","Kwale",3.3
"d18978","Laikipia",7.8
"d18951","Lamu",2.6
"d18958","Machakos",8.3
"d18959","Makueni",15.3
"d18966","Mandera",0
"d18960","Marsabit",0.8
"d18961","Meru",5
"d18971","Migori",0.7
"d18952","Mombasa",11.4
"d18946","Murang'a",5.5
"d18964","Nairobi",4.4
"d18979","Nakuru",3.2
"d18980","Nandi",5.4
"d18981","Narok",9.7
"d18962","Nithi",6.8
"d18972","Nyamira",3.7
"d18947","Nyandarua",5.2
"d18948","Nyeri",6
"d18982","Samburu",2.7
"d18973","Siaya",4
"d18953","Taita Taveta",6.6
"d18954","Tana River",8.2
"d18983","Trans-Nzoia",7.5
"d18984","Turkana",0.3
"d18985","Uasin Gishu",6.6
"d18990","Vihiga",2.9
"d18967","Wajir",0
"d18986","West Pokot",0.9
