"id","entity-name","year","value"
"d18974","Baringo",2009,49.8
"d18975","Bomet",2009,50.3
"d18987","Bungoma",2009,51.2
"d18988","Busia",2009,52.1
"d18976","Elgeyo-Marakwet",2009,50.3
"d18955","Embu",2009,50.7
"d18965","Garissa",2009,46.2
"d18968","Homa Bay",2009,52
"d18956","Isiolo",2009,48.6
"d18991","Kajiado",2009,49.8
"d18989","Kakamega",2009,51.8
"d18977","Kericho",2009,49.6
"d18943","Kiambu",2009,50.6
"d18949","Kilifi",2009,51.7
"d18944","Kirinyaga",2009,50.6
"d18969","Kisii",2009,52.2
"d18970","Kisumu",2009,51
"d18957","Kitui",2009,52.5
"d18950","Kwale",2009,51.4
"d18978","Laikipia",2009,50.2
"d18951","Lamu",2009,47.8
"d18958","Machakos",2009,50.6
"d18959","Makueni",2009,51.3
"d18966","Mandera",2009,45.4
"d18960","Marsabit",2009,48.1
"d18961","Meru",2009,50.6
"d18971","Migori",2009,51.6
"d18952","Mombasa",2009,48.2
"d18946","Murang'a",2009,51.4
"d18964","Nairobi",2009,48.9
"d18979","Nakuru",2009,49.8
"d18980","Nandi",2009,50
"d18981","Narok",2009,49.6
"d18962","Nithi",2009,51.2
"d18972","Nyamira",2009,52
"d18947","Nyandarua",2009,51
"d18948","Nyeri",2009,51
"d18982","Samburu",2009,50
"d18973","Siaya",2009,52.7
"d18953","Taita Taveta",2009,48.9
"d18954","Tana River",2009,50.1
"d18983","Trans-Nzoia",2009,50.3
"d18984","Turkana",2009,48
"d18985","Uasin Gishu",2009,49.8
"d18990","Vihiga",2009,52.6
"d18967","Wajir",2009,45
"d18986","West Pokot",2009,50.3
