"id","entity-name","year","value"
"d18974","Baringo",2009,555561
"d18975","Bomet",2009,724186
"d18987","Bungoma",2009,1375063
"d18988","Busia",2009,743946
"d18976","Elgeyo-Marakwet",2009,369998
"d18955","Embu",2009,516212
"d18965","Garissa",2009,623060
"d18968","Homa Bay",2009,963794
"d18956","Isiolo",2009,143294
"d18991","Kajiado",2009,687312
"d18989","Kakamega",2009,1660651
"d18977","Kericho",2009,758339
"d18943","Kiambu",2009,1623282
"d18949","Kilifi",2009,1109735
"d18944","Kirinyaga",2009,528054
"d18969","Kisii",2009,1152282
"d18970","Kisumu",2009,968909
"d18957","Kitui",2009,1012709
"d18950","Kwale",2009,649931
"d18978","Laikipia",2009,399227
"d18951","Lamu",2009,101539
"d18958","Machakos",2009,1098584
"d18959","Makueni",2009,884527
"d18966","Mandera",2009,1025756
"d18960","Marsabit",2009,291166
"d18961","Meru",2009,1356301
"d18971","Migori",2009,917170
"d18952","Mombasa",2009,939370
"d18946","Murang'a",2009,942581
"d18964","Nairobi",2009,3138369
"d18979","Nakuru",2009,1603325
"d18980","Nandi",2009,752965
"d18981","Narok",2009,850920
"d18962","Nithi",2009,365330
"d18972","Nyamira",2009,598252
"d18947","Nyandarua",2009,596268
"d18948","Nyeri",2009,693558
"d18982","Samburu",2009,223947
"d18973","Siaya",2009,842304
"d18953","Taita Taveta",2009,284657
"d18954","Tana River",2009,240075
"d18983","Trans-Nzoia",2009,818757
"d18984","Turkana",2009,855399
"d18985","Uasin Gishu",2009,894179
"d18990","Vihiga",2009,554622
"d18967","Wajir",2009,661941
"d18986","West Pokot",2009,512690
