"district_id","district_name","year","value_rural","value_urban"
"d18974","Baringo",2014,494449,61112
"d18975","Bomet",2014,593833,130353
"d18987","Bungoma",2014,1072549,302514
"d18988","Busia",2014,624915,119031
"d18976","Elgeyo-Marakwet",2014,318198,51800
"d18955","Embu",2014,433618,82594
"d18965","Garissa",2014,473526,149534
"d18968","Homa Bay",2014,828863,134931
"d18956","Isiolo",2014,80245,63049
"d18991","Kajiado",2014,405514,281798
"d18989","Kakamega",2014,1411553,249098
"d18977","Kericho",2014,546004,212335
"d18943","Kiambu",2014,633080,990202
"d18949","Kilifi",2014,821204,288531
"d18944","Kirinyaga",2014,443565,84489
"d18969","Kisii",2014,898780,253502
"d18970","Kisumu",2014,465076,503833
"d18957","Kitui",2014,870930,141779
"d18950","Kwale",2014,532943,116988
"d18978","Laikipia",2014,299420,99807
"d18951","Lamu",2014,81231,20308
"d18958","Machakos",2014,527320,571264
"d18959","Makueni",2014,778384,106143
"d18966","Mandera",2014,841120,184636
"d18960","Marsabit",2014,227109,64057
"d18961","Meru",2014,1193545,162756
"d18971","Migori",2014,605332,311838
"d18952","Mombasa",2014,0,939370
"d18946","Murang'a",2014,791768,150813
"d18964","Nairobi",2014,0,3138369
"d18979","Nakuru",2014,865796,737530
"d18980","Nandi",2014,647550,105415
"d18981","Narok",2014,791356,59564
"d18962","Nithi",2014,339757,25573
"d18972","Nyamira",2014,514497,83755
"d18947","Nyandarua",2014,482977,113291
"d18948","Nyeri",2014,527104,166454
"d18982","Samburu",2014,185876,38071
"d18973","Siaya",2014,749651,92653
"d18953","Taita Taveta",2014,219186,65471
"d18954","Tana River",2014,204064,36011
"d18983","Trans-Nzoia",2014,655006,163751
"d18984","Turkana",2014,735643,119756
"d18985","Uasin Gishu",2014,545449,348730
"d18990","Vihiga",2014,382689,171933
"d18967","Wajir",2014,562650,99291
"d18986","West Pokot",2014,471675,41015
