"district_id","district_name","year","value"
"d18974","Baringo",2014,22.5
"d18975","Bomet",2014,28.2
"d18987","Bungoma",2014,43
"d18988","Busia",2014,39
"d18976","Elgeyo-Marakwet",2014,25.3
"d18955","Embu",2014,23.2
"d18965","Garissa",2014,47.7
"d18968","Homa Bay",2014,32.1
"d18956","Isiolo",2014,27.2
"d18991","Kajiado",2014,26.7
"d18989","Kakamega",2014,38.4
"d18977","Kericho",2014,28.4
"d18943","Kiambu",2014,26.2
"d18949","Kilifi",2014,36.3
"d18944","Kirinyaga",2014,26.1
"d18969","Kisii",2014,28.1
"d18970","Kisumu",2014,32.1
"d18957","Kitui",2014,27.8
"d18950","Kwale",2014,36.4
"d18978","Laikipia",2014,28.3
"d18951","Lamu",2014,24.7
"d18958","Machakos",2014,27.2
"d18959","Makueni",2014,29.3
"d18966","Mandera",2014,59
"d18960","Marsabit",2014,36.3
"d18961","Meru",2014,27.8
"d18971","Migori",2014,36.5
"d18952","Mombasa",2014,26.5
"d18946","Murang'a",2014,27.8
"d18964","Nairobi",2014,28.7
"d18979","Nakuru",2014,33.6
"d18980","Nandi",2014,27.5
"d18981","Narok",2014,35.9
"d18962","Nithi",2014,20.3
"d18972","Nyamira",2014,26.2
"d18947","Nyandarua",2014,28.2
"d18948","Nyeri",2014,22.9
"d18982","Samburu",2014,39
"d18973","Siaya",2014,34.6
"d18953","Taita Taveta",2014,26.6
"d18954","Tana River",2014,36
"d18983","Trans-Nzoia",2014,39
"d18984","Turkana",2014,71.4
"d18985","Uasin Gishu",2014,28
"d18990","Vihiga",2014,32.8
"d18967","Wajir",2014,45.4
"d18986","West Pokot",2014,36.4
