"id","entity-name","year","value"
"d18974","Baringo",2009,65
"d18975","Bomet",2009,61.8
"d18987","Bungoma",2009,49.1
"d18988","Busia",2009,83.9
"d18976","Elgeyo-Marakwet",2009,93.7
"d18955","Embu",2009,
"d18965","Garissa",2009,
"d18968","Homa Bay",2009,67.3
"d18956","Isiolo",2009,63.9
"d18991","Kajiado",2009,61.4
"d18989","Kakamega",2009,57.8
"d18977","Kericho",2009,64.7
"d18943","Kiambu",2009,
"d18949","Kilifi",2009,60.5
"d18944","Kirinyaga",2009,
"d18969","Kisii",2009,64.2
"d18970","Kisumu",2009,
"d18957","Kitui",2009,57.4
"d18950","Kwale",2009,62.4
"d18978","Laikipia",2009,73.1
"d18951","Lamu",2009,68.6
"d18958","Machakos",2009,54.5
"d18959","Makueni",2009,64.5
"d18966","Mandera",2009,
"d18960","Marsabit",2009,66.8
"d18961","Meru",2009,
"d18971","Migori",2009,75.2
"d18952","Mombasa",2009,
"d18946","Murang'a",2009,77.9
"d18964","Nairobi",2009,65.2
"d18979","Nakuru",2009,76.2
"d18980","Nandi",2009,65.7
"d18981","Narok",2009,68.5
"d18962","Nithi",2009,67.1
"d18972","Nyamira",2009,
"d18947","Nyandarua",2009,
"d18948","Nyeri",2009,72.9
"d18982","Samburu",2009,
"d18973","Siaya",2009,79.2
"d18953","Taita Taveta",2009,79.9
"d18954","Tana River",2009,73.2
"d18983","Trans-Nzoia",2009,70.3
"d18984","Turkana",2009,
"d18985","Uasin Gishu",2009,54.9
"d18990","Vihiga",2009,61.6
"d18967","Wajir",2009,33.6
"d18986","West Pokot",2009,77.5
