"id","value.2000","original-value.2000","value.2001","original-value.2001","value.2002","original-value.2002","value.2003","original-value.2003","value.2004","original-value.2004","value.2005","original-value.2005","value.2006","original-value.2006","value.2007","original-value.2007","value.2008","original-value.2008","value.2009","original-value.2009","value.2010","original-value.2010","value.2011","original-value.2011","value.2012","original-value.2012","value.2013","original-value.2013"
"AD",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE",11,11,10.4,,9.8,,9.2,,8.6,,8,8,8,,8,,8,,8,,8,8,8,,8,,8,8
"AF",1100,1100,1026,,952,,878,,804,,730,730,684,,638,,592,,546,,500,500,466.6666666667,,433.3333333333,,400,400
"AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL",28,28,27.2,,26.4,,25.6,,24.8,,24,24,23.4,,22.8,,22.2,,21.6,,21,21,21,,21,,21,21
"AM",43,43,41.8,,40.6,,39.4,,38.2,,37,37,35.8,,34.6,,33.4,,32.2,,31,31,30.3333333333,,29.6666666667,,29,29
"AO",1100,1100,1030,,960,,890,,820,,750,750,706,,662,,618,,574,,530,530,506.6666666667,,483.3333333333,,460,460
"AR",63,63,64.4,,65.8,,67.2,,68.6,,70,70,71.2,,72.4,,73.6,,74.8,,76,76,73.6666666667,,71.3333333333,,69,69
"AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AT",5,5,5,,5,,5,,5,,5,5,4.6,,4.2,,3.8,,3.4,,3,3,3.3333333333,,3.6666666667,,4,4
"AU",9,9,8.4,,7.8,,7.2,,6.6,,6,6,5.8,,5.6,,5.4,,5.2,,5,5,5.3333333333,,5.6666666667,,6,6
"AW",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AZ",57,57,52.8,,48.6,,44.4,,40.2,,36,36,34.2,,32.4,,30.6,,28.8,,27,27,26.6666666667,,26.3333333333,,26,26
"BA",11,11,10.8,,10.6,,10.4,,10.2,,10,10,9.8,,9.6,,9.4,,9.2,,9,9,8.6666666667,,8.3333333333,,8,8
"BB",42,42,40.2,,38.4,,36.6,,34.8,,33,33,43,,53,,63,,73,,83,83,72.6666666667,,62.3333333333,,52,52
"BD",340,340,324,,308,,292,,276,,260,260,248,,236,,224,,212,,200,200,190,,180,,170,170
"BE",9,9,8.6,,8.2,,7.8,,7.4,,7,7,7,,7,,7,,7,,7,7,6.6666666667,,6.3333333333,,6,6
"BF",580,580,564,,548,,532,,516,,500,500,488,,476,,464,,452,,440,440,426.6666666667,,413.3333333333,,400,400
"BG",29,29,26,,23,,20,,17,,14,14,12.8,,11.6,,10.4,,9.2,,8,8,7,,6,,5,5
"BH",27,27,24.8,,22.6,,20.4,,18.2,,16,16,17.6,,19.2,,20.8,,22.4,,24,24,23.3333333333,,22.6666666667,,22,22
"BI",1000,1000,982,,964,,946,,928,,910,910,892,,874,,856,,838,,820,820,793.3333333333,,766.6666666667,,740,740
"BJ",490,490,476,,462,,448,,434,,420,420,410,,400,,390,,380,,370,370,360,,350,,340,340
"BM",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BN",24,24,24.2,,24.4,,24.6,,24.8,,25,25,25.4,,25.8,,26.2,,26.6,,27,27,27,,27,,27,27
"BO",330,330,318,,306,,294,,282,,270,270,262,,254,,246,,238,,230,230,220,,210,,200,200
"BR",85,85,82.6,,80.2,,77.8,,75.4,,73,73,72,,71,,70,,69,,68,68,68.3333333333,,68.6666666667,,69,69
"BS",44,44,43.2,,42.4,,41.6,,40.8,,40,40,39.6,,39.2,,38.8,,38.4,,38,38,37.6666666667,,37.3333333333,,37,37
"BT",390,390,360,,330,,300,,270,,240,240,220,,200,,180,,160,,140,140,133.3333333333,,126.6666666667,,120,120
"BW",390,390,380,,370,,360,,350,,340,340,314,,288,,262,,236,,210,210,196.6666666667,,183.3333333333,,170,170
"BY",32,32,29.8,,27.6,,25.4,,23.2,,21,21,17.2,,13.4,,9.6,,5.8,,2,2,1.6666666667,,1.3333333333,,1,1
"BZ",110,110,103.8,,97.6,,91.4,,85.2,,79,79,75.2,,71.4,,67.6,,63.8,,60,60,55,,50,,45,45
"CA",7,7,7.8,,8.6,,9.4,,10.2,,11,11,11.4,,11.8,,12.2,,12.6,,13,13,12.3333333333,,11.6666666667,,11,11
