"id","year","value","original-value"
"AD",2000,,
"AD",2001,,
"AD",2002,,
"AD",2003,,
"AD",2004,,
"AD",2005,,
"AD",2006,,
"AD",2007,,
"AD",2008,,
"AD",2009,,
"AD",2010,,
"AD",2011,,
"AD",2012,,
"AD",2013,,
"AE",2000,11,11
"AE",2001,10.4,
"AE",2002,9.8,
"AE",2003,9.2,
"AE",2004,8.6,
"AE",2005,8,8
"AE",2006,8,
"AE",2007,8,
"AE",2008,8,
"AE",2009,8,
"AE",2010,8,8
"AE",2011,8,
"AE",2012,8,
"AE",2013,8,8
"AF",2000,1100,1100
"AF",2001,1026,
"AF",2002,952,
"AF",2003,878,
"AF",2004,804,
"AF",2005,730,730
"AF",2006,684,
"AF",2007,638,
"AF",2008,592,
"AF",2009,546,
"AF",2010,500,500
"AF",2011,466.6666666667,
"AF",2012,433.3333333333,
"AF",2013,400,400
"AG",2000,,
"AG",2001,,
"AG",2002,,
"AG",2003,,
"AG",2004,,
"AG",2005,,
"AG",2006,,
"AG",2007,,
"AG",2008,,
"AG",2009,,
"AG",2010,,
"AG",2011,,
"AG",2012,,
"AG",2013,,
"AL",2000,28,28
"AL",2001,27.2,
"AL",2002,26.4,
"AL",2003,25.6,
"AL",2004,24.8,
"AL",2005,24,24
"AL",2006,23.4,
"AL",2007,22.8,
"AL",2008,22.2,
"AL",2009,21.6,
"AL",2010,21,21
"AL",2011,21,
"AL",2012,21,
"AL",2013,21,21
"AM",2000,43,43
"AM",2001,41.8,
"AM",2002,40.6,
"AM",2003,39.4,
"AM",2004,38.2,
"AM",2005,37,37
"AM",2006,35.8,
"AM",2007,34.6,
"AM",2008,33.4,
"AM",2009,32.2,
"AM",2010,31,31
"AM",2011,30.3333333333,
"AM",2012,29.6666666667,
"AM",2013,29,29
"AO",2000,1100,1100
"AO",2001,1030,
"AO",2002,960,
"AO",2003,890,
"AO",2004,820,
"AO",2005,750,750
"AO",2006,706,
"AO",2007,662,
"AO",2008,618,
"AO",2009,574,
"AO",2010,530,530
"AO",2011,506.6666666667,
"AO",2012,483.3333333333,
"AO",2013,460,460
"AR",2000,63,63
"AR",2001,64.4,
"AR",2002,65.8,
"AR",2003,67.2,
"AR",2004,68.6,
"AR",2005,70,70
"AR",2006,71.2,
"AR",2007,72.4,
"AR",2008,73.6,
"AR",2009,74.8,
"AR",2010,76,76
"AR",2011,73.6666666667,
"AR",2012,71.3333333333,
"AR",2013,69,69
"AS",2000,,
"AS",2001,,
"AS",2002,,
"AS",2003,,
"AS",2004,,
"AS",2005,,
"AS",2006,,
"AS",2007,,
"AS",2008,,
"AS",2009,,
"AS",2010,,
"AS",2011,,
"AS",2012,,
"AS",2013,,
"AT",2000,5,5
"AT",2001,5,
"AT",2002,5,
"AT",2003,5,
"AT",2004,5,
"AT",2005,5,5
"AT",2006,4.6,
"AT",2007,4.2,
"AT",2008,3.8,
"AT",2009,3.4,
"AT",2010,3,3
"AT",2011,3.3333333333,
"AT",2012,3.6666666667,
"AT",2013,4,4
"AU",2000,9,9
"AU",2001,8.4,
"AU",2002,7.8,
"AU",2003,7.2,
"AU",2004,6.6,
"AU",2005,6,6
"AU",2006,5.8,
"AU",2007,5.6,
"AU",2008,5.4,
"AU",2009,5.2,
"AU",2010,5,5
"AU",2011,5.3333333333,
"AU",2012,5.6666666667,
"AU",2013,6,6
"AW",2000,,
"AW",2001,,
"AW",2002,,
"AW",2003,,
"AW",2004,,
"AW",2005,,
"AW",2006,,
"AW",2007,,
"AW",2008,,
"AW",2009,,
"AW",2010,,
"AW",2011,,
"AW",2012,,
"AW",2013,,
"AZ",2000,57,57
"AZ",2001,52.8,
"AZ",2002,48.6,
"AZ",2003,44.4,
"AZ",2004,40.2,
"AZ",2005,36,36
"AZ",2006,34.2,
"AZ",2007,32.4,
"AZ",2008,30.6,
"AZ",2009,28.8,
"AZ",2010,27,27
"AZ",2011,26.6666666667,
"AZ",2012,26.3333333333,
"AZ",2013,26,26
"BA",2000,11,11
"BA",2001,10.8,
"BA",2002,10.6,
"BA",2003,10.4,
"BA",2004,10.2,
"BA",2005,10,10
"BA",2006,9.8,
"BA",2007,9.6,
"BA",2008,9.4,
"BA",2009,9.2,
"BA",2010,9,9
"BA",2011,8.6666666667,
"BA",2012,8.3333333333,
"BA",2013,8,8
"BB",2000,42,42
"BB",2001,40.2,
"BB",2002,38.4,
"BB",2003,36.6,
"BB",2004,34.8,
"BB",2005,33,33
"BB",2006,43,
"BB",2007,53,
"BB",2008,63,
"BB",2009,73,
"BB",2010,83,83
"BB",2011,72.6666666667,
"BB",2012,62.3333333333,
"BB",2013,52,52
"BD",2000,340,340
"BD",2001,324,
"BD",2002,308,
"BD",2003,292,
"BD",2004,276,
"BD",2005,260,260
"BD",2006,248,
"BD",2007,236,
"BD",2008,224,
"BD",2009,212,
"BD",2010,200,200
"BD",2011,190,
"BD",2012,180,
"BD",2013,170,170
"BE",2000,9,9
"BE",2001,8.6,
"BE",2002,8.2,
"BE",2003,7.8,
"BE",2004,7.4,
"BE",2005,7,7
"BE",2006,7,
"BE",2007,7,
"BE",2008,7,
"BE",2009,7,
"BE",2010,7,7
"BE",2011,6.6666666667,
"BE",2012,6.3333333333,
"BE",2013,6,6
"BF",2000,580,580
"BF",2001,564,
"BF",2002,548,
"BF",2003,532,
"BF",2004,516,
"BF",2005,500,500
"BF",2006,488,
"BF",2007,476,
"BF",2008,464,
"BF",2009,452,
"BF",2010,440,440
"BF",2011,426.6666666667,
"BF",2012,413.3333333333,
"BF",2013,400,400
"BG",2000,29,29
"BG",2001,26,
"BG",2002,23,
"BG",2003,20,
"BG",2004,17,
"BG",2005,14,14
"BG",2006,12.8,
"BG",2007,11.6,
"BG",2008,10.4,
"BG",2009,9.2,
"BG",2010,8,8
"BG",2011,7,
"BG",2012,6,
"BG",2013,5,5
"BH",2000,27,27
"BH",2001,24.8,
"BH",2002,22.6,
"BH",2003,20.4,
"BH",2004,18.2,
"BH",2005,16,16
"BH",2006,17.6,
"BH",2007,19.2,
"BH",2008,20.8,
"BH",2009,22.4,
"BH",2010,24,24
"BH",2011,23.3333333333,
"BH",2012,22.6666666667,
"BH",2013,22,22
"BI",2000,1000,1000
"BI",2001,982,
"BI",2002,964,
"BI",2003,946,
"BI",2004,928,
"BI",2005,910,910
"BI",2006,892,
"BI",2007,874,
"BI",2008,856,
"BI",2009,838,
"BI",2010,820,820
"BI",2011,793.3333333333,
"BI",2012,766.6666666667,
"BI",2013,740,740
"BJ",2000,490,490
"BJ",2001,476,
"BJ",2002,462,
"BJ",2003,448,
"BJ",2004,434,
"BJ",2005,420,420
"BJ",2006,410,
"BJ",2007,400,
"BJ",2008,390,
"BJ",2009,380,
"BJ",2010,370,370
"BJ",2011,360,
"BJ",2012,350,
"BJ",2013,340,340
"BM",2000,,
"BM",2001,,
"BM",2002,,
"BM",2003,,
"BM",2004,,
"BM",2005,,
"BM",2006,,
"BM",2007,,
"BM",2008,,
"BM",2009,,
"BM",2010,,
"BM",2011,,
"BM",2012,,
"BM",2013,,
"BN",2000,24,24
"BN",2001,24.2,
"BN",2002,24.4,
"BN",2003,24.6,
"BN",2004,24.8,
"BN",2005,25,25
"BN",2006,25.4,
"BN",2007,25.8,
"BN",2008,26.2,
"BN",2009,26.6,
"BN",2010,27,27
"BN",2011,27,
"BN",2012,27,
"BN",2013,27,27
"BO",2000,330,330
"BO",2001,318,
"BO",2002,306,
"BO",2003,294,
"BO",2004,282,
"BO",2005,270,270
"BO",2006,262,
"BO",2007,254,
"BO",2008,246,
"BO",2009,238,
"BO",2010,230,230
"BO",2011,220,
"BO",2012,210,
"BO",2013,200,200
"BR",2000,85,85
"BR",2001,82.6,
"BR",2002,80.2,
"BR",2003,77.8,
"BR",2004,75.4,
"BR",2005,73,73
"BR",2006,72,
"BR",2007,71,
"BR",2008,70,
"BR",2009,69,
"BR",2010,68,68
"BR",2011,68.3333333333,
"BR",2012,68.6666666667,
"BR",2013,69,69
"BS",2000,44,44
"BS",2001,43.2,
"BS",2002,42.4,
"BS",2003,41.6,
"BS",2004,40.8,
"BS",2005,40,40
"BS",2006,39.6,
"BS",2007,39.2,
"BS",2008,38.8,
"BS",2009,38.4,
"BS",2010,38,38
"BS",2011,37.6666666667,
"BS",2012,37.3333333333,
"BS",2013,37,37
"BT",2000,390,390
"BT",2001,360,
"BT",2002,330,
"BT",2003,300,
"BT",2004,270,
"BT",2005,240,240
"BT",2006,220,
"BT",2007,200,
"BT",2008,180,
"BT",2009,160,
"BT",2010,140,140
"BT",2011,133.3333333333,
"BT",2012,126.6666666667,
"BT",2013,120,120
"BW",2000,390,390
"BW",2001,380,
"BW",2002,370,
"BW",2003,360,
"BW",2004,350,
"BW",2005,340,340
"BW",2006,314,
"BW",2007,288,
"BW",2008,262,
"BW",2009,236,
"BW",2010,210,210
"BW",2011,196.6666666667,
"BW",2012,183.3333333333,
"BW",2013,170,170
"BY",2000,32,32
"BY",2001,29.8,
"BY",2002,27.6,
"BY",2003,25.4,
"BY",2004,23.2,
"BY",2005,21,21
"BY",2006,17.2,
"BY",2007,13.4,
"BY",2008,9.6,
"BY",2009,5.8,
"BY",2010,2,2
"BY",2011,1.6666666667,
"BY",2012,1.3333333333,
"BY",2013,1,1
"BZ",2000,110,110
"BZ",2001,103.8,
"BZ",2002,97.6,
"BZ",2003,91.4,
"BZ",2004,85.2,
"BZ",2005,79,79
"BZ",2006,75.2,
"BZ",2007,71.4,
"BZ",2008,67.6,
