"id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AF",,,,96.52,92.47,89.7,90.71,95.89,95.16,95.42,90.76,95.05,93.94,91.63,93.11,89.48
"AG",11.1,6.24,13.67,3.09,3.05,3.4,1.06,1.58,3.63,4.09,13.28,11.83,1.79,1.89,1.72,1.24
"AL",29.2,22.9,26.5,23.19,16.56,13.46,15.03,12.22,9.26,11.87,12.05,12.27,12.09,8.62,11.24,11.66
"AM",49.84,53.97,41.14,35.18,27.53,13.5,12.65,10.94,8.84,15.24,8.64,9.59,7.84,5.55,6.64,10.35
"AO",14.1,8.29,12.46,8.45,18.45,8.05,,6.13,5.78,4.87,6.85,5,5.32,4.25,2.45,3.61
"AR",0.49,3.41,3.01,1.66,1.19,0.4,0.86,0.79,0.9,1.2,0.76,0.42,0.82,0.27,0.33,0.32
"AZ",19,36.97,17.31,6.33,4.29,7.48,13.66,9.94,10.48,9.85,4.09,6.01,4.29,5.2,3.03,1.69
"BA",27.81,26.92,20.25,17.72,16.82,11.43,10.98,7.45,7.64,10.18,16.87,17.8,15.45,14.52,19.47,15.44
"BD",37.92,35.03,27.95,32.78,32.54,24,21.6,21.7,23.35,13.21,13.66,14.02,15.07,13.96,13.69,13.15
"BF",78.69,85.59,86.69,86.35,84.75,89.3,92.02,64.73,81.64,84.66,81.37,74.14,69.11,58.07,57.2,63.07
"BI",,89.79,,,99.27,99.84,99.47,99.58,96.49,97.94,93.69,92.28,87.46,87.25,80.75,85.27
"BJ",63.52,68.98,72.99,76.81,75.19,64.98,82.39,44.69,62.97,64.19,59.65,57.46,52.16,49.7,42.51,41.81
"BO",28.67,42.53,47,56.96,67.26,43.46,61.47,43.62,17.96,27.87,28.53,23.4,17.95,15.29,18.32,24.12
"BR",0.5,0.68,0.9,0.97,0.79,0.78,0.44,0.32,0.51,0.47,0.26,0.45,1,0.78,0.49,0.68
"BT",,,45.55,44.24,44.64,55.33,46.99,62.21,74.81,55.94,39.58,36.31,26.45,33.95,26.95,25.82
"BW",25.21,38.91,10.59,7.97,11.18,9.9,11.75,15.19,53.12,18.09,26.42,6.23,13.53,19.43,15.39,15.66
"BY",,,,,,3.33,3.36,1.02,1.8,1.7,1.61,1.03,1.69,1.04,1.42,1.79
"BZ",9.22,12.8,13.72,5.73,3.7,4.53,4.98,3.4,7.39,10.82,11.68,11.74,9.87,14.89,12.09,11.84
"CD",59.62,70.15,88.4,58.66,78.36,84.32,84.44,44.2,51.76,78.42,66.07,77.67,44.67,49.07,55.54,57.65
"CF",96.2,93.47,,,,,64.37,,70.57,,,76.75,,,,
"CG",22.2,22.95,35.95,11,50.39,48.02,42.12,8.77,,18.96,53.03,,6.77,4.56,,6.14
"CI",54.24,42.82,64.13,54.4,42.61,30.15,20.84,31.7,41.1,61.75,44.17,47.17,60.67,44.06,38.18,31.26
"CK",,,,,,,72.77,,,99.84,,,71.68,65.74,99.68,93.86
"CL",1.6,2.1,3.01,1.88,1.41,1.98,1.46,0.97,0.7,0.73,1.05,0.84,0.39,0.38,1.09,0.39
"CM",58.91,79.54,42.16,66.54,68.89,55.22,92.71,74.54,79.98,39.62,67.8,48.07,31.58,30.16,39.16,24.17
"CN",3.49,2.06,2.74,2.14,2.2,1.71,1.36,1.41,1.52,1.2,1.11,0.26,0.77,0.31,0.27,0.42
"CO",3.48,4.13,6.11,6.95,4.79,3.42,5.08,3.23,4.3,4.16,2.54,2.57,1.87,1.98,2.81,3.62
"CR",5.01,4.88,4,4,3.79,2.48,2.25,3.17,2.77,4.29,3.86,1.42,0.94,0.78,1.01,1.54
"CU",,,,,,,,,,,,,,,,
"CV",43.46,44.02,43.81,50.99,45.95,42.68,36.51,35.61,39.04,36.8,47.95,38.39,42.14,43.17,34.91,32.4
"DJ",59.7,79.79,78.86,66.81,39.38,43.66,37.63,30.69,35.66,44.64,56.85,53.83,48.94,32.16,33.79,27.84
"DM",18.43,27.28,27.76,12.51,38.17,29.92,31.77,26.33,24.67,34.64,29.92,30.83,24.3,30.44,25.74,22.68
"DO",4.02,4.01,4.03,2.92,3.44,3.07,3.37,3.22,2.98,2.89,2.82,3.45,3.3,2.04,1.96,2.41
"DZ",10.09,7.73,5.94,6.26,6.49,8.61,10.15,9.59,6.96,6.97,5.19,6.35,6.75,7.8,5.86,8.6
"EC",8.49,5.75,5.3,5.65,4.9,5.51,4.17,4.11,5.63,6.67,4.28,3.73,4.11,2.92,1.91,3.47
"EG",25.34,22.61,28.99,26.61,22.52,10.04,8.06,7.11,10.65,9.75,5.62,7.47,7.76,16.68,14.47,9.6
"ER",80.65,93.12,86.02,,,,,,,,,,,,,
"ET",79.1,75.29,80.73,71.52,70.42,76.88,89.28,79.56,85.65,65.54,62.11,60.17,56.3,54.84,35.5,32.83
"FJ",34.03,17.91,18.63,20.03,13.15,12.91,6.44,8.17,8.13,15.14,11.69,7.1,14.02,14.75,12.76,14.56
"FM",,99.99,,,,99.6,99.03,87.05,99.26,86.86,76.71,85.53,86.08,86.08,82.59,77.56
"GA",58.03,31.36,45.87,35.74,23.1,13.15,19.46,6.43,10.17,12.17,11.62,7.65,7.34,3.32,7.41,6.23
"GD",11.73,8.72,6.11,8.69,9.27,30.4,15.26,11.29,16.07,26.12,27.9,20.07,9.7,11.72,32.9,21.75
"GE",26.54,41.52,43.07,29.39,26.64,24.23,14.33,12.06,19.03,24.23,16.82,11.79,13.68,15.16,11.86,9.34
"GH",70.45,58.24,66.9,74.76,87.92,73.94,81.98,35.98,43.06,25.64,29.22,20.82,21.69,13.34,12.58,19.37
"GM",,61.82,50.48,48.72,37.13,31.93,36,70.43,80.53,53.05,44.24,43.31,36.55,34.8,32.17,36.44
"GN",85.98,96.18,73.51,61.48,52.43,39.91,59.2,42.08,50.81,56.16,51.81,26.34,66.8,73.78,78.95,73.42
"GQ",,,,,,5.18,4.93,2.8,,,3.15,1.44,2.02,1.39,2.87,3.29
"GT",22.74,14.23,12.51,8.53,6.8,5.64,7.63,6.66,8.55,7.19,6.09,5.69,4.38,4.73,3,4.15
"GW",88.51,86.7,71.71,84.85,67.18,73.54,70.82,66.59,72.58,69.41,78.14,82.35,60.45,55.22,55.58,45.44
"GY",60.91,63.02,47.09,50.01,49.56,39.63,52.44,52.7,21.95,20.69,21.47,12.41,11.91,9.81,16.79,11.67
"HN",31.82,39.51,26.03,23.59,25.63,33.88,37.21,30.59,13.58,11.25,13,11.6,10.22,9.28,11.54,8.88
"HT",27.63,20.38,19.6,22.79,25.44,32.89,31.15,36.91,36.82,56.45,67.61,46.13,37.64,33.25,30.6,29.82
"ID",21.86,21.69,18.61,15.55,7.73,9.37,8.18,6.56,8.08,7.39,5.04,3.62,2.49,2.97,2,2.22
"IN",8.02,9.43,9.39,4.52,6.03,5.24,2.71,1.75,2.74,3.02,2.82,3.27,2.08,2.4,2.09,2.88
"IQ",,77.04,,,93.91,70.01,91.08,88.16,67.87,60.76,52.91,42.22,25.3,21.98,21.43,23.21
"IR",5.69,3.38,1.82,1.4,1.54,1.48,2.34,2.24,2.72,1.73,1.73,2.23,2.45,3.09,3.83,2.33
"JM",4.5,5.07,5.22,3.15,4.8,3.93,2.79,1.91,3.66,5.22,3.96,3.07,1.75,3.63,2.97,1.51
"JO",8.59,15.35,16.67,30.93,15.58,13.3,8.57,10.07,9.98,12.87,13.98,16.68,17.73,12.1,22,19.85
"KE",72.27,81.72,52.43,57.91,60.95,62.47,59.25,46.82,64.72,66.39,63.58,58.92,52.73,52.59,28.09,32.7
"KG",67.62,85.05,64,54.01,30.06,38.19,28.44,20.15,13.77,16.88,15.69,15.83,14.16,13.41,17.31,23.88
"KH",60.01,59.75,63.4,69.39,59.95,48.96,47.11,39.58,36.75,32.95,28.01,28.5,16.22,20.65,20.05,14.79
"KI",,,98.4,,88.69,90.89,66.22,65.66,66.7,58.02,60.12,78.63,78.9,77.74,77.02,78.51
"KM",,,,,,33.61,35.92,38.32,32.16,34.62,43.17,32.11,49.26,59.97,37.29,34.31
"KP",86.07,80.32,96.73,,70.79,99.31,97.05,82.72,55.4,84.64,84.3,41.87,31.07,54.74,70.86,61.63
"KZ",3.57,1.8,2.22,2.46,1.31,0.95,0.35,0.48,0.65,0.73,0.42,0.54,0.4,0.31,0.29,0.33
"LA",89.09,75,62.08,77.75,46.39,37.75,37.26,23.17,38.83,33.59,39.32,24.59,28.27,15.38,18.17,14.42
"LB",5.79,3.72,2.31,4.93,2.01,2.03,6.3,6.61,7.44,3.94,3.79,4.02,4.98,5.43,7.54,7.79
"LC",12.04,15.39,26.33,10.15,8.73,9.39,9,6.39,4.62,18.95,13.27,25.21,23.15,17.1,12.43,14.07
"LK",23.22,28.21,23.24,33.09,24.76,32.39,27.34,16.88,17.03,16.62,13.24,10.41,5.54,6.66,5.28,6.43
"LR",74.34,,,,30.88,66.31,58.3,79.2,82.56,60.12,79.13,45.74,27.03,27.17,46.76,48.65
"LS",7.08,14.04,17.62,12.77,13.49,10.92,11.47,16.65,17.14,18.44,29.62,25.64,29.52,36.08,19.47,15.11
"LY",,,,,,2.23,1.77,,,,,,9.36,17.06,75.3,
"MA",14.49,8.82,10.32,9.51,14.14,11.5,11.17,11.53,12.44,10.5,10.1,11.72,12.03,12.21,11.7,10.87
"MD",11.97,21.66,20.11,14.72,9.42,10.52,10.4,8.99,8.44,13.45,18.53,14.36,14.76,9.83,17.31,15.61
"ME",,,,,,,,14.17,6.75,2.88,5.16,6.93,6.89,9.99,9.35,6.77
"MG",78.11,78.94,81.1,79.13,81.72,83.45,87,35.41,23.91,16.53,21.91,24.63,24.3,39.67,45.1,40.14
"MH",,22.63,97.66,29.22,,15.12,68.08,14.66,10.74,8.55,23.88,32.96,78.72,34.94,47.47,69.55
"MK",37.79,26.79,46.95,37.51,15.27,26.34,15.16,8.32,10.23,10.74,14.38,9.55,14.31,13.6,12.92,15.59
"ML",71.86,65.88,51.27,67.5,71.09,62.87,89.82,68.94,61.9,41.5,53.38,46.18,43.23,53.46,53.39,50.17
"MM",30.23,49.27,52.72,6.35,13.33,35.57,15.66,70.62,45.2,81.32,5.55,24.67,23.69,75.85,30.29,15.58
"MN",77.31,71.68,57.3,34.76,47.52,39.94,33.54,28.16,15.64,22.97,5.69,4.46,4.12,6.54,9.57,9.93
"MR",78.95,,79,68.77,40.78,21.09,79.15,60.26,49.7,67.74,49.9,37.67,19.64,19.51,30.53,31.89
"MS",,,,,,,,,,,,,,,,
"MU",7.15,14.98,11.54,9.95,17.39,14.94,13.9,12.2,17.38,7.28,1.54,1.85,3.11,2.21,1.78,3.28
"MV",40.4,33.1,36.9,25.06,27.26,32.33,17.39,14.7,8.72,9.21,27.29,10.55,17.82,7.39,5.7,10.31
"MW",90.85,91.37,81.49,87.83,80.4,80.14,96.43,91.97,78.51,85.98,87.48,72.41,86.27,82.1,83.25,83.55
"MX",0.25,0.21,0.34,0.38,0.3,0.36,0.39,0.26,0.33,0.36,0.52,0.96,0.3,0.45,0.77,0.45
"MY",1.69,1.46,1.63,1.82,1.72,1.29,1.79,1.24,0.82,1.42,0.71,0.65,0.41,0.62,0.44,0.34
"MZ",75.51,70.06,76.91,73.1,55.68,88.29,93.61,40.17,72.11,62.6,59.44,34.73,25.81,23.16,26.53,27.61
"NA",40,21.99,41.49,44.85,41.5,22.84,27.83,21.74,22.12,36.85,21.82,21.04,20.16,26.62,34.15,13.25
"NE",88.06,82.78,92.41,76.37,71.27,83.94,92.85,56.18,57.31,30.87,36.05,26.83,47.5,46.84,49.12,51.32
"NG",4.77,6.03,4.42,6.85,7.83,19.62,32.14,6.65,4.9,5.65,6.9,5.3,4.96,7.15,7.05,8.14
"NI",38.84,56.67,45.45,50.05,64.19,46.89,65.39,46.54,25.78,29.92,19.95,18.38,15.25,15.74,13.8,14.5
"NP",76.43,69.53,37.58,39.89,37,28.14,29.89,29.03,25.1,24.37,21.07,19.33,15.67,15.12,14.82,16.58
"NR",,,,,92.91,88.42,91.2,88.9,94.91,92.89,,,,,,
"NU",,,,,,,,,,,,,,,,
"PA",3.46,2.47,2.79,3.39,2.47,1.49,1.5,1.54,0.13,1.29,1.98,1.01,0.71,0.43,0.28,0.19
