"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AU",0.08,0.06,0.06,0.06,0.06,0.06,0.07,0.08,0.08,0.08,0.1,0.09,0.11,0.09
"AT",0.06,0.08,0.09,0.07,0.06,0.08,0.08,0.07,0.07,0.09,0.12,0.07,0.06,0.08
"BE",0.11,0.14,0.15,0.36,0.19,0.16,0.18,0.17,0.19,0.2,0.31,0.2,0.14,0.16
"CA",0.05,0.04,0.06,0.08,0.08,0.1,0.1,0.11,0.13,0.11,0.15,0.11,0.11,0.1
"CZ",0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.05,0.04,0.04,0.03,0.03,0.03
"DK",0.36,0.36,0.33,0.34,0.33,0.32,0.32,0.34,0.32,0.35,0.35,0.32,0.31,0.27
"FI",0.1,0.1,0.12,0.12,0.12,0.13,0.14,0.15,0.15,0.19,0.2,0.17,0.18,0.19
"FR",0.09,0.09,0.13,0.17,0.17,0.11,0.12,0.11,0.11,0.12,0.14,0.13,0.1,0.12
"DE",0.07,0.07,0.07,0.11,0.09,0.07,0.09,0.09,0.1,0.1,0.11,0.1,0.11,0.09
"GR",0.03,0.03,0.04,0.03,0.03,0.04,0.04,0.04,0.05,0.04,0.04,0.02,0.02,0.02
"IS",0.04,0.07,0.05,0.05,0.05,0.07,0.12,0.11,0.19,0.14,0.14,0.1,0.1,0.12
"IE",0.15,0.18,0.23,0.22,0.22,0.21,0.28,0.28,0.3,0.28,0.29,0.27,0.24,0.23
"IT",0.05,0.05,0.1,0.08,0.05,0.08,0.04,0.06,0.07,0.05,0.06,0.07,0.04,0.05
"JP",0.06,0.05,0.05,0.05,0.04,0.05,0.08,0.06,0.05,0.06,0.08,0.07,0.08,0.14
"KR",0.01,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.03,0.03,0.04,0.04,0.05,0.05
"LU",0.22,0.24,0.28,0.27,0.26,0.28,0.34,0.36,0.38,0.39,0.4,0.36,0.37,0.38
"NL",0.22,0.26,0.3,0.29,0.3,0.27,0.2,0.24,0.24,0.21,0.24,0.17,0.15,0.17
"NZ",0.07,0.07,0.06,0.07,0.08,0.07,0.08,0.07,0.09,0.09,0.08,0.08,0.09,0.09
"NO",0.27,0.28,0.35,0.38,0.37,0.35,0.35,0.34,0.33,0.33,0.34,0.31,0.27,0.3
"PL",0.01,0.01,,0,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.03
"PT",0.15,0.15,0.16,0.11,0.52,0.09,0.1,0.1,0.1,0.1,0.13,0.15,0.09,0.07
"SK",0,0,0,0.01,0.02,,0.05,0.05,0.05,0.02,0.02,0.02,0.02,0.02
"SI",,,,,,0,0,0,0.03,0.03,0.03,0.02,0.02,0.02
"ES",0.03,0.05,0.05,0.05,0.05,0.07,0.06,0.08,0.1,0.12,0.12,0.07,0.04,0.03
"SE",0.24,0.23,0.27,0.28,0.24,0.31,0.29,0.3,0.32,0.35,0.3,0.35,0.29,0.31
"CH",0.1,0.1,0.09,0.12,0.1,0.1,0.1,0.11,0.1,0.13,0.11,0.12,0.11,0.12
"GB",0.11,0.12,0.09,0.13,0.14,0.12,0.16,0.15,0.16,0.18,0.2,0.21,0.19,0.24
"US",0.02,0.02,0.03,0.04,0.04,0.05,0.05,0.04,0.06,0.07,0.07,0.08,0.07,0.06
"BG",,,,,,,,,,,0,0.03,0.02,0.03
"HR",,,,,,,,,,,,,0,0.01
"CY",,,,,,0.02,0.02,0.03,0.03,0.04,0.05,0.02,0.02,0.02
"EE",,,,,0.01,0.02,0.03,0.03,0,0,0.03,0.03,0.03,0.03
"HU",,,,0,0.01,0.04,0.02,0.04,0.02,0.03,0.03,0.03,0.02,0.02
"IL",,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0
"KW",,,,,,,,,,,,,,
"LV",,,,0,0,0.02,0.02,0.02,0,0,0,0,0.02,0.02
"LI",,,,,,,,0.01,0,0,0,0,0,
"LT",,,,0,0.01,0.02,0.03,0.06,0.05,0.04,0.06,0.05,0.06,0.04
"MT",,,,,,,,,,0,0,0,0.02,0.02
"RO",,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01
"RU",,,,,,,,,,,0,0.01,0,0.01
"TH",,,,,,,0.03,0.03,0.07,0.01,0,0,0,0.01
"TR",0,0.01,0,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.02,0.04,0.05,0.05
"AE",,,,,,,,,,0.08,0.05,0.04,0.08,0.04
