"id","entity-name","year","out-oda-gross","capital-repayment","interest-repayment"
"AU","Australia",2000,2654330000,0,0
"AU","Australia",2001,2544700000,0,0
"AU","Australia",2002,2660620000,0,0
"AU","Australia",2003,2678470000,0,0
"AU","Australia",2004,2728330000,0,0
"AU","Australia",2005,2902570000,0,0
"AU","Australia",2006,3532970000,0,0
"AU","Australia",2007,3843080000,0,0
"AU","Australia",2008,4048860000,0,0
"AU","Australia",2009,3992960000,0,0
"AU","Australia",2010,4459300000,0,0
"AU","Australia",2011,4967350000,0,12710000
"AU","Australia",2012,5514610000,111880000,0
"AU","Australia",2013,5235820000,79430000,0
"AT","Austria",2000,751360000,1480000,2330000
"AT","Austria",2001,1103840000,11830000,2850000
"AT","Austria",2002,846440000,6260000,3130000
"AT","Austria",2003,724440000,50950000,2440000
"AT","Austria",2004,841850000,33090000,1560000
"AT","Austria",2005,1854650000,14010000,1020000
"AT","Austria",2006,1713880000,10110000,5e+06
"AT","Austria",2007,1876020000,26950000,730000
"AT","Austria",2008,1676800000,43770000,270000
"AT","Austria",2009,1122640000,9930000,210000
"AT","Austria",2010,1222150000,4550000,140000
"AT","Austria",2011,1049970000,4260000,90000
"AT","Austria",2012,1113480000,7680000,140000
"AT","Austria",2013,1117840000,4730000,1e+05
"BE","Belgium",2000,1497030000,38190000,3380000
"BE","Belgium",2001,1587620000,31140000,4050000
"BE","Belgium",2002,1855340000,63980000,4510000
"BE","Belgium",2003,2579050000,45160000,3850000
"BE","Belgium",2004,1878080000,96540000,4440000
"BE","Belgium",2005,2387590000,53660000,1700000
"BE","Belgium",2006,2322840000,49100000,3600000
"BE","Belgium",2007,2074920000,65510000,2990000
"BE","Belgium",2008,2332710000,49230000,2490000
"BE","Belgium",2009,2604350000,47620000,2390000
"BE","Belgium",2010,3080730000,48120000,0
"BE","Belgium",2011,2844980000,199220000,2870000
"BE","Belgium",2012,2359230000,44320000,20000
"BE","Belgium",2013,2246250000,55620000,-20000
"BG","Bulgaria",2000,0,0,0
"BG","Bulgaria",2001,0,0,0
"BG","Bulgaria",2002,0,0,0
"BG","Bulgaria",2003,0,0,0
"BG","Bulgaria",2004,0,0,0
"BG","Bulgaria",2005,0,0,0
"BG","Bulgaria",2006,0,0,0
"BG","Bulgaria",2007,0,0,0
"BG","Bulgaria",2008,0,0,0
"BG","Bulgaria",2009,0,0,0
"BG","Bulgaria",2010,42050000,0,0
"BG","Bulgaria",2011,47230000,0,0
"BG","Bulgaria",2012,39950000,0,0
"BG","Bulgaria",2013,49600000,0,0
"CA","Canada",2000,3458270000,47810000,3270000
"CA","Canada",2001,3120980000,45560000,3130000
"CA","Canada",2002,4087390000,58940000,2990000
"CA","Canada",2003,4107050000,584400000,2850000
"CA","Canada",2004,4105990000,48860000,2780000
"CA","Canada",2005,5319220000,28570000,43010000
"CA","Canada",2006,4781870000,53900000,0
"CA","Canada",2007,4850880000,46520000,0
"CA","Canada",2008,5484100000,44090000,0
"CA","Canada",2009,4971550000,50260000,2420000
"CA","Canada",2010,5689420000,46500000,2360000
"CA","Canada",2011,5540640000,47080000,2290000
"CA","Canada",2012,5697890000,52480000,2250000
"CA","Canada",2013,5087680000,43620000,2230000
"HR","Croatia",2000,0,0,0
"HR","Croatia",2001,0,0,0
"HR","Croatia",2002,0,0,0
"HR","Croatia",2003,0,0,0
"HR","Croatia",2004,0,0,0
"HR","Croatia",2005,0,0,0
"HR","Croatia",2006,0,0,0
"HR","Croatia",2007,0,0,0
"HR","Croatia",2008,0,0,0
"HR","Croatia",2009,0,0,0
"HR","Croatia",2010,0,0,0
"HR","Croatia",2011,0,0,0
"HR","Croatia",2012,21360000,0,0
"HR","Croatia",2013,45040000,0,0
"CY","Cyprus",2000,0,0,0
"CY","Cyprus",2001,0,0,0
"CY","Cyprus",2002,0,0,0
"CY","Cyprus",2003,0,0,0
"CY","Cyprus",2004,0,0,0
"CY","Cyprus",2005,17870000,0,0
"CY","Cyprus",2006,30080000,0,0
"CY","Cyprus",2007,37250000,0,0
"CY","Cyprus",2008,38070000,0,0
"CY","Cyprus",2009,47670000,0,0
"CY","Cyprus",2010,53140000,0,0
"CY","Cyprus",2011,36720000,0,0
"CY","Cyprus",2012,25080000,0,0
"CY","Cyprus",2013,20370000,0,0
"CZ","Czech Republic",2000,38520000,0,0
"CZ","Czech Republic",2001,59340000,0,0
"CZ","Czech Republic",2002,85490000,0,0
"CZ","Czech Republic",2003,145020000,0,0
"CZ","Czech Republic",2004,152190000,0,0
"CZ","Czech Republic",2005,177730000,0,0
"CZ","Czech Republic",2006,198450000,0,0
"CZ","Czech Republic",2007,191820000,0,0
"CZ","Czech Republic",2008,224190000,0,0
"CZ","Czech Republic",2009,206770000,0,0
"CZ","Czech Republic",2010,223800000,0,0
