id,year,value
AU,2000,2654330000
AT,2000,751360000
BE,2000,1497030000
CA,2000,3458270000
CZ,2000,38520000
DK,2000,3102620000
FI,2000,634020000
FR,2000,8447640000
DE,2000,9198840000
GR,2000,416200000
IS,2000,10430000
IE,2000,388750000
IT,2000,2871590000
JP,2000,18777030000
KR,2000,287640000
LU,2000,255270000
NL,2000,5665650000
NZ,2000,271000000
NO,2000,3119400000
PL,2000,52980000
PT,2000,734980000
SK,2000,15740000
SI,2000,0
ES,2000,2624270000
SE,2000,2964280000
CH,2000,1803750000
GB,2000,6337790000
US,2000,13909600000
BG,2000,0
HR,2000,0
CY,2000,0
EE,2000,1280000
HU,2000,0
IL,2000,215910000
KW,2000,655050000
LV,2000,0
LI,2000,0
LT,2000,0
MT,2000,0
RO,2000,0
RU,2000,0
SA,2000,647790000
TW,2000,0
TH,2000,0
TR,2000,149200000
AE,2000,651180000
AU,2001,2544700000
AT,2001,1103840000
BE,2001,1587620000
CA,2001,3120980000
CZ,2001,59340000
DK,2001,3116670000
FI,2001,666470000
FR,2001,8690520000
DE,2001,9446180000
GR,2001,374740000
IS,2001,13460000
IE,2001,462270000
IT,2001,3258210000
JP,2001,16590750000
KR,2001,401200000
LU,2001,296620000
NL,2001,5744040000
NZ,2001,276650000
NO,2001,3334040000
PL,2001,59450000
PT,2001,471380000
SK,2001,22130000
SI,2001,0
ES,2001,3458920000
SE,2001,3027220000
CH,2001,1820910000
GB,2001,6706780000
US,2001,15410930000
BG,2001,0
HR,2001,0
CY,2001,0
EE,2001,1160000
HU,2001,0
IL,2001,123130000
KW,2001,608810000
LV,2001,0
LI,2001,0
LT,2001,2770000
MT,2001,0
RO,2001,0
RU,2001,0
SA,2001,772980000
TW,2001,0
TH,2001,0
TR,2001,150300000
AE,2001,820680000
AU,2002,2660620000
AT,2002,846440000
BE,2002,1855340000
CA,2002,4087390000
CZ,2002,85490000
DK,2002,2916550000
FI,2002,736540000
FR,2002,10659520000
DE,2002,10076760000
GR,2002,471860000
IS,2002,15530000
IE,2002,577900000
IT,2002,4187460000
JP,2002,16821500000
KR,2002,399710000
LU,2002,291710000
NL,2002,5478070000
NZ,2002,271340000
NO,2002,3797060000
PL,2002,23260000
PT,2002,518890000
SK,2002,16070000
SI,2002,0
ES,2002,3183030000
SE,2002,3386630000
CH,2002,1724940000
GB,2002,6752580000
US,2002,17480240000
BG,2002,0
HR,2002,0
CY,2002,0
EE,2002,2680000
HU,2002,0
IL,2002,188520000
KW,2002,489440000
LV,2002,2300000
LI,2002,0
LT,2002,2500000
MT,2002,0
RO,2002,0
RU,2002,0
SA,2002,3979980000
TW,2002,0
TH,2002,0
TR,2002,153280000
AE,2002,904460000
AU,2003,2678470000
AT,2003,724440000
BE,2003,2579050000
CA,2003,4107050000
CZ,2003,145020000
DK,2003,2659320000
FI,2003,740540000
FR,2003,11919380000
DE,2003,10008670000
GR,2003,496700000
IS,2003,18040000
IE,2003,588480000
IT,2003,3571930000
JP,2003,16804070000
KR,2003,479900000
LU,2003,303470000
NL,2003,5284330000
NZ,2003,289090000
NO,2003,3943390000
PL,2003,42100000
PT,2003,418590000
SK,2003,28030000
SI,2003,0
ES,2003,3018930000
SE,2003,3299590000
CH,2003,2045020000
