"id","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"AE",0,0,0,0,0,0,0,0,0,13420000,29620000,23970000,60820000,7890000
"afdb",766930000,969130000,1032810000,1289640000,1191190000,1008960000,955580000,1495250000,1139660000,3803070000,2120970000,2977940000,3510110000,2302030000
"arab-fund-afesd",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"asdb",4372280000,4497470000,4661280000,3576380000,3052380000,4148170000,5119390000,5597310000,6582520000,8282310000,5474940000,5491840000,6899660000,6157160000
"AT",270870000,188140000,251160000,216560000,164270000,659210000,169470000,101590000,269460000,183810000,154200000,227120000,147710000,617750000
"AU",1576950000,168360000,142970000,248090000,179100000,179090000,316090000,387630000,200920000,540650000,318970000,260910000,326860000,492930000
"badea",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE",92130000,71700000,229050000,1367570000,29210000,548810000,33950000,31850000,49930000,126160000,19360000,9990000,146760000,187040000
"CA",2364870000,2519900000,2018320000,1251520000,1018850000,1843840000,2836590000,1944780000,3448810000,1828010000,3586720000,10580610000,3996690000,3228360000
"cardb",99040000,79520000,164580000,99270000,193310000,41180000,97180000,109420000,103100000,119780000,256690000,81130000,3.6e+07,54330000
"CH",15190000,12800000,5870000,90000,0,0,24370000,0,0,0,0,0,0,0
"DE",1783150000,954360000,8017480000,-1362510000,1035860000,12171020000,126600000,1430370000,2554590000,1557360000,1308280000,1389870000,1288400000,1160050000
"DK",16200000,12200000,15110000,71490000,58910000,31560000,55470000,30830000,48340000,36750000,39450000,43160000,37110000,44530000
"ebrd",665340000,866110000,952900000,1136390000,2066390000,1834490000,1562570000,2381610000,2806300000,3781980000,3769120000,3937660000,3336320000,3823230000
"ES",6210000,273290000,92490000,109320000,29750000,76150000,0,6060000,0,3210000,0,3780000,2480000,13930000
"EU",1047470000,1144160000,2299690000,2023810000,2790820000,2998580000,3660720000,5986670000,5758930000,6365600000,8217370000,919540000,762060000,1366230000
"FI",3610000,14090000,7210000,27800000,17560000,0,0,100380000,36790000,142950000,52090000,1068330000,14210000,23790000
"FR",607950000,640380000,1430030000,5609830000,485370000,2197030000,350870000,226300000,896490000,927170000,801790000,1199310000,1272330000,1437130000
"GB",247930000,354330000,240540000,292910000,71840000,54360000,10910000,16940000,14380000,8360000,29150000,19990000,63740000,187200000
"GR",4640000,0,0,0,4300000,0,9420000,3610000,0,0,0,0,0,0
"ibrd",17870590000,16991560000,14680840000,13839480000,11415560000,9878120000,13357610000,10684010000,13621280000,22450110000,27534370000,15589690000,15136130000,16218620000
"idb",10105110000,9500270000,8372490000,11187800000,4580370000,5803600000,7042280000,7181710000,7279280000,11971220000,10567600000,7015850000,6446510000,9818310000
"ifad",50260000,52590000,30560000,30820000,37340000,31610000,45330000,42880000,54140000,39550000,45900000,47700000,63390000,57450000
"ifc",1936130000,1675180000,2141350000,2828890000,2800760000,2938400000,4364090000,4622270000,5107480000,4688730000,4345450000,4619840000,6414080000,6736730000
"islamic-dev-bank",0,0,0,0,0,0,0,0,0,0,1548800000,1643650000,1304530000,0
"IT",185040000,111070000,417540000,550360000,2402380000,106940000,181190000,140180000,973680000,41440000,56280000,169390000,197600000,153530000
"JP",5506300000,9340220000,9018720000,11539770000,7951620000,1.0098e+10,16268670000,12028220000,6800700000,13828490000,9754570000,9897090000,12236270000,8695310000
"KR",746830000,850970000,1028500000,935660000,1257540000,1504870000,1876330000,2347800000,3852950000,3098220000,4614790000,5114810000,4530060000,6062330000
"KW",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LU",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL",233110000,522880000,360110000,1757170000,174930000,172540000,378200000,0,0,0,0,0,0,0
"NO",0,0,0,440000,460000,7030000,6890000,6250000,660000,150000,750000,0,0,310000
"nordic-dev-fund",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NZ",0,0,4920000,5160000,7760000,9580000,10620000,9970000,10270000,10380000,9500000,9810000,11270000,10700000
"ofid",0,0,0,0,0,0,0,0,0,379330000,510460000,598550000,447930000,678020000
"PT",138780000,0,0,0,0,0,0,2053450000,0,0,0,0,2060000,3010000
"SA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SE",8530000,4430000,6160000,93680000,39730000,50940000,98580000,41970000,66110000,89640000,50000,50720000,49220000,44310000
"TR",0,0,0,69210000,1131630000,624220000,8440000,7280000,32710000,29240000,6530000,37150000,70090000,2590000
"US",2084520000,2329490000,2024510000,3713280000,1092140000,850830000,588090000,404850000,436500000,2231670000,1297350000,4779860000,3455130000,2.791e+09
