"id","value.2011"
"AD",
"AE",
"AF",
"AG",
"AL",0.58
"AM",5.03
"AO",51.66
"AR",1.75
"AS",
"AT",
"AU",
"AW",
"AZ",0.56
"BA",0.06
"BB",
"BD",52.81
"BE",
"BF",51.14
"BG",2.57
"BH",
"BI",85.88
"BJ",60.43
"BM",
"BN",
"BO",8.31
"BR",5.43
"BS",
"BT",6.56
"BW",14.57
"BY",0
"BZ",13.82
"CA",
"CD",88.25
"CF",63.86
"CG",40.88
"CH",
"CI",45.69
"CL",1.16
"CM",33.43
"CN",9.89
"CO",6.78
"CR",1.91
"CU",
"CV",18
"CW",
"CY",
"CZ",0.05
"DE",
"DJ",15.35
"DK",
"DM",
"DO",4.21
"DZ",2.56
"EC",5.19
"EE",1.21
"EG",3.75
"ER",
"ES",
"ET",49.55
"FI",
"FJ",6.42
"FM",20.43
"FO",
"FR",
"GA",9.26
"GB",
"GD",
"GE",21.4
"GH",24.12
"GL",
"GM",41.73
"GN",52.3
"GQ",
"GR",
"GT",18.39
"GU",
"GW",59.65
"GY",7.26
"HK",
"HN",20.72
"HR",0
"HT",58.52
"HU",0.14
"ID",25.05
"IE",
"IL",
"IN",37.2
"IQ",7.22
"IR",1.45
"IS",
"IT",
"JM",0.14
"JO",0.16
"JP",
"KE",46.3
"KG",8.8
"KH",19.35
"KI",
"KM",55.04
"KN",
"KP",
"KR",
"KW",
"KY",
"KZ",0.1
"LA",42.26
"LB",
"LC",16.05
"LI",
"LK",6.66
"LR",79.25
"LS",52.09
"LT",0.86
"LU",
"LV",1.29
"LY",
"MA",3.63
"MC",
"MD",0.66
"ME",0.37
"MF",
"MG",91.1
"MH",
"MK",0.66
"ML",62.03
"MM",
"MN",
"MO",
"MP",
"MR",31.51
"MT",
"MU",0.62
"MV",0.12
"MW",78.65
"MX",1.85
"MY",0
"MZ",63.94
"NA",28.96
"NC",
"NE",54.19
"NG",68.42
"NI",9.33
"NL",
"NO",
"NP",36.25
"NZ",
"OM",
"PA",5.13
"PE",4.54
"PF",
"PG",11.93
"PH",26.2
"PK",24.46
"PL",0.03
"PR",
"PS",0.27
"PT",
"PW",
"PY",6.7
"QA",
"RO",0
"RS",0.1
"RU",0.04
"RW",70.9
"SA",
"SB",
"SC",0.35
"SD",24.35
"SE",
"SG",
"SI",0
"SK",0.43
"SL",67.47
"SM",
"SN",43.07
"SO",
"SR",13.4
"SS",
"ST",53.2
"SV",4.55
"SX",
"SY",1.36
"SZ",46.92
"TC",
"TD",44.68
"TG",60.12
"TH",0.72
"TJ",9.78
"TL",46.37
"TM",10.14
"TN",1.34
"TO",
"TR",0.61
"TT",1.96
"TV",
"TZ",54.75
"UA",0
"UG",46.26
"US",
"UY",0.42
"UZ",
"VC",
"VE",7.07
"VI",
"VN",9.58
"VU",
"WS",
"XK",
"YE",9.8
"ZA",15.32
"ZM",78.33
"ZW",
