"id","value.2011"
"AW",
"AD",
"AF",
"AO",10424988
"AL",18270
"AE",
"AR",712775
"AM",148888
"AS",
"AG",
"AU",
"AT",
"AZ",51352
"BI",8192952
"BE",
"BJ",5910054
"BF",8182400
"BD",80725366
"BG",188852
"BH",
"BS",
"BA",2304
"BY",0
"BZ",44224
"BM",
"BO",857592
"BR",10693842
"BB",
"BN",
"BT",47888
"BW",289943
"CF",2835384
"CA",
"CH",
"CL",200796
"CN",132934457
"CI",8859291
"CM",7073788
"CG",1729224
"CO",3192024
"KM",385280
"CV",88200
"CR",90534
"CU",
"CW",
"KY",
"CY",
"CZ",5248
"DE",
"DJ",130475
"DM",
"DK",
"DO",427315
"DZ",966656
"EC",791475
"EG",2977125
"ER",
"ES",
"EE",16062
"ET",44292745
"FI",
"FJ",55854
"FR",
"FO",
"FM",20430
"GA",147234
"GB",
"GE",958720
"GH",5986584
"GN",5836680
"GM",721929
"GW",966330
"GQ",
"GR",
"GD",
"GL",
"GT",2705169
"GU",
"GY",57354
"HK",
"HN",1612016
"HR",0
"HT",5869556
"HU",13960.4
"ID",61071900
"IN",454271520
"IE",
"IR",1093590
"IQ",2293072
"IS",
"IL",
"IT",
"JM",3780
"JO",10000
"JP",
"KZ",16560
"KE",19459890
"KG",484880
"KH",2827035
"KI",
"KN",
"KR",
"XK",
"KW",
"LA",2755352
"LB",
"LR",3233400
"LY",
"LC",28890
"LI",
"LK",1389942
"LS",1057427
"LT",26041.8
"LU",
"LV",26570.2
"MO",
"MF",
"MA",1163778
"MC",
"MD",23496
"MG",19750480
"MV",396
"MX",2208160
"MH",
"MK",13860
"ML",8944726
"MT",
"MM",
"ME",2294
"MN",
"MP",
"MZ",15716452
"MR",1165870
"MU",7998
"MW",12159290
"MY",0
"NA",642912
"NC",
"NE",8946769
"NG",112338798
"NI",551403
"NL",
"NO",
"NP",9845500
"NZ",
"OM",
"PK",43091182
"PA",191862
"PE",1344294
"PH",24903100
"PW",
"PG",836293
"PL",11560.2
"PR",
"KP",
"PT",
"PY",440190
"PF",
"QA",
"RO",0
"RU",57182.6
"RW",7898260
"SA",
"SD",8870705
"SN",5741231
"SG",
"SB",
"SL",3960489
"SV",284830
"SM",
"SO",
"RS",7260
"SS",
"ST",95760
"SR",71020
"SK",23213.1
"SI",0
"SE",
"SZ",567732
"SX",
"SC",315
"SY",298656
"TC",
"TD",5397344
"TG",3889764
"TH",479376
"TJ",763818
"TM",518154
"TL",547166
"TO",
"TT",26128.4
"TN",142978
"TR",445666
"TV",
"TZ",25376625
"UG",16260390
"UA",0
"UY",14196
"US",
"UZ",
"VC",
"VE",2085650
"VI",
"VN",8415072
"VU",
"PS",10611
"WS",
"YE",2283400
"ZA",7902056
"CD",56418225
"ZM",10676379
"ZW",
