"id","value.2000","value.2001","value.2002","value.2003","value.2004","value.2005","value.2006","value.2007","value.2008","value.2009","value.2010","value.2011","value.2012","value.2013"
"AD",,,,,,,,,,,,,,
"AE",97.70000005,96.79999995,96.79999995,97.29999995,96.9000001,96.9000001,96.70000005,96.59999991,96,95.80000019,95.80000019,95.9000001,96,96.20000005
"AF",95.30000019,95.4000001,95.4000001,95.09999991,95.5,91.5,91.69999981,91.5,91.69999981,91.19999981,91.5,91.60000038,91.30000019,92
"AG",,,,,,,,,,,,,,
"AL",86.5,77.29999924,86.60000038,87.30000019,87.39999962,87.5,87.60000038,86.5,87,86.19999981,85.80000019,86,86.10000038,84
"AM",81.10000038,64.09999847,72.20000076,71.39999962,66.40000153,72.20000076,71.39999962,71.60000038,83.60000038,81.29999924,81,81.60000038,82.70000076,83.79999924
"AO",93.09999991,93,93.19999981,93,93.09999991,93.19999981,93.19999981,93.19999981,93.19999981,93,93.09999991,93.09999991,93.09999991,93.19999981
"AR",85,81.70000076,82.10000038,83.89999962,87.39999962,89.39999962,89.89999962,91.5,92.19999981,91.39999962,92.30000019,92.80000019,92.80000019,92.5
"AS",,,,,,,,,,,,,,
"AT",96.5,96.4000001,96,95.69999981,95.09999991,94.80000019,95.30000019,95.59999991,96.20000005,95.19999981,95.59999991,95.9000001,95.69999981,95.09999991
"AU",93.69999981,93.19999981,93.59999991,94.09999991,94.59999991,95,95.19999981,95.59999991,95.80000019,94.4000001,94.80000019,94.9000001,94.80000019,94.30000019
"AW",,,,,,,,,,,,,,
"AZ",88.19999981,89.10000038,90,90.80000019,92,92.69999981,93.4000001,93.69999981,94.09999991,94.30000019,94.4000001,94.59999991,94.80000019,94.5
"BA",75.10000038,73.20000076,75.5,74.5,71.70000076,74.39999962,68.20000076,70.29999924,76.10000038,75.89999962,72.79999924,72.39999962,71.89999962,71.60000038
"BB",90.69999981,90.19999981,89.69999981,89,90.19999981,90.89999962,91.30000019,92.59999991,91.89999962,90,89.19999981,88.80000019,88.39999962,87.80000019
"BD",96.70000005,96.59999991,96.59999991,95.69999981,95.5,95.69999981,95.80000019,95.69999981,95.59999991,95,95.5,95.5,95.5,95.69999981
"BE",93.4000001,93.80000019,92.5,91.80000019,91.60000038,91.60000038,91.80000019,92.5,93,92.09999991,91.69999981,92.9000001,92.5,91.60000038
"BF",97,97.70000005,97,97.20000005,97.20000005,97.29999995,97.70000005,96.70000005,96.70000005,96.70000005,96.70000005,96.70000005,96.70000005,96.9000001
"BG",83.79999924,80.10000038,81.89999962,86.30000019,88,89.89999962,91.10000038,93.09999991,94.4000001,93.19999981,89.80000019,88.69999981,87.69999981,87.10000038
"BH",93.9000001,94.5,93.5,92.5,91,91.19999981,91.5,91.80000019,92.19999981,92.4000001,92.59999991,92.59999991,92.59999991,92.59999991
"BI",92.69999981,92.69999981,92.69999981,92.69999981,92.69999981,92.69999981,92.80000019,92.80000019,92.80000019,92.9000001,92.9000001,92.9000001,93,93.09999991
"BJ",99.19999999,99.30000001,99.30000001,99.10000002,98.70000005,98.70000005,98.89999998,98.89999998,98.89999998,98.79999995,99,99,99,99
"BM",,,,,,,,,,,,,,
"BN",96,96.20000005,96.09999991,96.09999991,96.70000005,96.79999995,96.79999995,96.79999995,96.79999995,96.5,96.29999995,96.29999995,96.20000005,96.20000005
"BO",95.19999981,94.59999991,94.59999991,94.59999991,95.69999981,94.59999991,94.69999981,94.80000019,97.09999991,96.59999991,96.70000005,97.29999995,97.29999995,97.4000001
"BR",90.5,90.69999981,90.89999962,90.30000019,91.10000038,90.69999981,91.60000038,91.89999962,92.9000001,91.69999981,92.09999991,93.30000019,93.9000001,94.09999991
"BS",92.80000019,93.09999991,91,89.19999981,89.69999981,89.80000019,92.4000001,92.09999991,91.30000019,85.80000019,85.30000019,86.30000019,86,86.39999962
"BT",98.29999995,98.10000002,98.10000002,98.20000005,97.5,96.9000001,96.9000001,96.29999995,96.20000005,96,96.70000005,96.9000001,97.9000001,97.9000001
"BW",77.89999962,76.79999924,79.79999924,76.20000076,77.10000038,78,82.39999962,81.5,78.10000038,81.60000038,82.10000038,82.20000076,82.29999924,81.60000038
"BY",93.59999991,93.59999991,93.5,93.59999991,93.59999991,93.69999981,93.80000019,93.80000019,94,93.9000001,93.9000001,94,94.09999991,94.19999981
"BZ",89.10000038,90.89999962,90,89.69999981,89.5,89,90.60000038,91.5,91.80000019,89.10000038,89.30000019,87.69999981,85.60000038,85.39999962
"CA",93.19999981,92.80000019,92.30000019,92.4000001,92.80000019,93.30000019,93.69999981,94,93.9000001,91.69999981,92,92.59999991,92.80000019,92.9000001
"CD",91.69999981,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,91.80000019,92
"CF",93,93,93,92.9000001,93,93,93,93,93,93,93.09999991,93.09999991,93.09999991,92.4000001
"CG",93.30000019,93.30000019,93.30000019,93.30000019,93.4000001,93.4000001,93.4000001,93.4000001,93.4000001,93.4000001,93.5,93.4000001,93.4000001,93.5
"CH",97.29999995,97.5,97.09999991,95.9000001,95.69999981,95.59999991,96,96.4000001,96.59999991,95.9000001,95.5,96,95.80000019,95.59999991
"CI",95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,95.9000001,96,95.9000001,96
"CL",90.80000019,90.89999962,91.10000038,91.5,91.19999981,92,92.30000019,92.9000001,92.19999981,90.30000019,91.89999962,92.9000001,93.59999991,94
"CM",94.09999991,92.5,94.59999991,94.5,95.59999991,95.59999991,96.20000005,96,95.5,95.30000019,96.20000005,96.20000005,96.20000005,96
"CN",95.5,95.5,95.59999991,95.69999981,95.69999981,95.9000001,96,96.20000005,95.59999991,95.59999991,95.80000019,95.69999981,95.5,95.4000001
"CO",83.39999962,84.89999962,84.19999981,85.89999962,85.69999981,88,88.30000019,88.80000019,88.89999962,88.19999981,88,88.89999962,89.39999962,89.5
"CR",94.9000001,94,93.59999991,93.4000001,93.59999991,93.4000001,94.09999991,95.4000001,95.09999991,92.19999981,92.69999981,92.30000019,92.19999981,92.4000001
"CU",94.59999991,95.9000001,96.70000005,97.70000005,98.10000002,98.10000002,98.10000002,98.20000005,98.39999998,98.29999995,97.5,96.79999995,96.79999995,96.79999995
"CV",92.80000019,92.80000019,92.80000019,92.80000019,92.80000019,92.80000019,92.9000001,92.9000001,92.9000001,92.9000001,93,93,93,93
"CW",,,,,,,,,,,,,,
"CY",95,96,96.70000005,95.9000001,95.69999981,94.69999981,95.5,96.09999991,96.4000001,94.59999991,93.69999981,92.09999991,88.19999981,84.19999981
"CZ",91.19999981,91.89999962,92.69999981,92.19999981,91.69999981,92.09999991,92.9000001,94.69999981,95.59999991,93.30000019,92.69999981,93.30000019,93,93.09999991
"DE",92.30000019,92.19999981,91.39999962,90.69999981,89.69999981,88.89999962,89.69999981,91.39999962,92.5,92.30000019,92.9000001,94.09999991,94.59999991,94.69999981
"DJ",,,,,,,,,,,,,,
"DK",95.5,95.80000019,95.4000001,94.59999991,94.5,95.19999981,96.09999991,96.20000005,96.59999991,94,92.5,92.4000001,92.5,93
"DM",,,,,,,,,,,,,,
"DO",85.80000019,84.30000019,83.89999962,83.29999924,81.60000038,82,83.60000038,84.30000019,85.80000019,85.10000038,87.60000038,85.30000019,85.30000019,85.10000038
"DZ",70.20000076,72.70000076,74.10000038,76.29999924,79.89999962,84.69999981,87.69999981,86.19999981,88.69999981,89.80000019,90,90,89,90.19999981
"EC",92.80000019,91.60000038,91.60000038,90.69999981,93.30000019,93.4000001,93.69999981,95,94,93.5,95,95.80000019,95.9000001,95.80000019
"EE",86.89999962,87.60000038,90.60000038,89.30000019,90,92.09999991,94.09999991,95.30000019,94.5,86.19999981,83.10000038,87.5,89.89999962,91.19999981
"EG",91,90.60000038,89.80000019,89.60000038,89.30000019,88.80000019,89.39999962,91.10000038,91.30000019,90.60000038,91,88,87.30000019,87.30000019
"ER",92.30000019,92.59999991,92.5,92.4000001,92.5,92.5,92.5,92.59999991,92.5,92.69999981,92.69999981,92.80000019,92.9000001,92.80000019
"ES",85.80000019,89.30000019,88.39999962,88.5,88.80000019,90.69999981,91.39999962,91.60000038,88.5,81.89999962,79.79999924,78.29999924,74.79999924,73.39999962
"ET",92.09999991,92.4000001,93,93.59999991,94.09999991,94.59999991,94.59999991,94.59999991,94.59999991,94.59999991,94.59999991,94.59999991,94.59999991,94.30000019
"FI",90.30000019,90.89999962,91,91,91.19999981,91.60000038,92.4000001,93.19999981,93.69999981,91.80000019,91.60000038,92.30000019,92.4000001,91.80000019
"FJ",92.30000019,93.9000001,94.19999981,91.5,95.30000019,95.4000001,93.5,91.39999962,91,91.30000019,91.60000038,91.60000038,91.5,91.89999962
"FM",,,,,,,,,,,,,,
"FO",,,,,,,,,,,,,,
"FR",89.80000019,91.39999962,91.30000019,91.39999962,90.80000019,91.10000038,91.19999981,92,92.59999991,90.89999962,90.69999981,90.80000019,90.10000038,89.60000038
"GA",79.29999924,79.29999924,79.20000076,79.20000076,79.10000038,79,79,78.89999962,78.79999924,78.70000076,79.60000038,79.60000038,79.70000076,80.39999962
"GB",94.4000001,95.19999981,94.80000019,95.09999991,95.30000019,95.19999981,94.5,94.59999991,94.59999991,92.19999981,92.09999991,92.19999981,92,92.5
"GD",,,,,,,,,,,,,,
"GE",89.19999981,88.80000019,87.39999962,88.5,87.39999962,86.19999981,86.39999962,86.69999981,83.5,83.10000038,83.70000076,84.89999962,85,85.69999981
"GH",89.60000038,90,90.19999981,91.60000038,93.4000001,96.20000005,96.4000001,96.29999995,96,95.9000001,95.80000019,95.80000019,95.80000019,95.4000001
"GL",,,,,,,,,,,,,,
"GM",92.80000019,92.80000019,92.69999981,92.9000001,92.9000001,92.80000019,92.9000001,92.9000001,92.9000001,93,93,92.80000019,93,93
"GN",98.10000002,98.10000002,98.10000002,98.10000002,98.10000002,98.10000002,98.10000002,98.10000002,98.10000002,98.39999998,98.39999998,98.29999995,98.29999995,98.20000005
"GQ",93.5,93.69999981,93.4000001,93.30000019,93.4000001,93.19999981,93.09999991,93.19999981,93.19999981,93,93,93.09999991,93.09999991,92
"GR",88.89999962,89.80000019,89.69999981,90.30000019,89.5,90.19999981,91.10000038,91.69999981,92.30000019,90.5,87.5,82.29999924,75.79999924,72.70000076
"GT",98.60000002,98.70000005,96.9000001,97.20000005,96.9000001,97.5,98.20000005,97.5,97.20000005,96.9000001,96.29999995,95.9000001,97.09999991,97.20000005
"GU",,,,,,,,,,,,,,
"GW",93.19999981,93.19999981,93.09999991,93.09999991,93.09999991,93.09999991,93.09999991,93.09999991,93.19999981,93.19999981,93.19999981,93.19999981,93.09999991,92.9000001
"GY",88.5,88.30000019,88.10000038,87.69999981,88.10000038,87.39999962,88.80000019,89.10000038,88.19999981,88.39999962,88.60000038,88.80000019,88.69999981,88.89999962
"HK",95.09999991,94.9000001,92.69999981,92.09999991,93.30000019,94.4000001,95.19999981,96,96.4000001,94.80000019,95.69999981,96.59999991,96.70000005,96.70000005
"HN",96.09999991,95.9000001,96.09999991,94.80000019,94,95.80000019,96.9000001,97.09999991,96.9000001,96.70000005,95.19999981,95.59999991,95.59999991,95.80000019
"HR",83.89999962,79.5,84.89999962,86.10000038,86.30000019,87.39999962,88.89999962,90.39999962,91.60000038,90.89999962,88.19999981,86.60000038,84.19999981,82.29999924
"HT",92.59999991,92.4000001,92.4000001,92.5,92,92.59999991,92.69999981,92.80000019,92.59999991,92.9000001,92,93.19999981,93,93
"HU",93.59999991,94.30000019,94.19999981,94.09999991,93.9000001,92.80000019,92.5,92.59999991,92.19999981,90,88.80000019,89.10000038,89.10000038,89.80000019
"ID",93.9000001,91.89999962,90.89999962,90.5,90.10000038,88.80000019,89.69999981,90.89999962,91.60000038,92.09999991,92.9000001,93.4000001,93.9000001,93.69999981
"IE",95.69999981,96.29999995,95.80000019,95.5,95.5,95.69999981,95.59999991,95.4000001,94,88,86.10000038,85.39999962,85.30000019,86.89999962
"IL",91.19999981,90.69999981,89.69999981,89.30000019,89.60000038,91,91.60000038,92.69999981,93.9000001,92.5,93.4000001,94.4000001,93.09999991,93.69999981
"IN",95.69999981,96,95.69999981,96.09999991,96.09999991,95.59999991,95.69999981,96.29999995,95.9000001,96.09999991,96.5,96.5,96.4000001,96.4000001
"IQ",81.70000076,81.60000038,81.39999962,70.10000038,71.29999924,82,82.5,83.10000038,84.69999981,84.80000019,84.80000019,84.80000019,84.89999962,84
"IR",87,87.80000019,87.19999981,87.80000019,89.69999981,87.89999962,88.39999962,89.39999962,89.5,88,86.5,86.69999981,86.89999962,86.80000019
"IS",97.70000005,97.70000005,96.70000005,96.59999991,96.9000001,97.4000001,97,97.70000005,97,92.80000019,92.4000001,92.9000001,94,94.4000001
"IT",89.19999981,90.39999962,90.80000019,91.10000038,92.09999991,92.30000019,93.19999981,93.9000001,93.30000019,92.19999981,91.60000038,91.60000038,89.30000019,87.80000019
"JM",84.5,85,85.69999981,88.30000019,88.60000038,89.10000038,90.39999962,90.60000038,89.39999962,88.60000038,87.60000038,87.30000019,86.30000019,85
"JO",86.30000019,84.19999981,83.79999924,84.60000038,87.60000038,85.10000038,86,86.89999962,87.30000019,87.10000038,87.5,87.10000038,87.80000019,87.39999962
"JP",95.19999981,95,94.59999991,94.80000019,95.30000019,95.59999991,95.9000001,96.09999991,96,95,95,95.5,95.69999981,96
"KE",90.19999981,90.30000019,90.30000019,90.39999962,90.39999962,90.5,90.5,90.5,90.60000038,90.60000038,90.69999981,90.69999981,90.80000019,90.80000019
"KG",92.5,92.19999981,87.5,90.10000038,91.5,91.89999962,91.69999981,91.80000019,91.80000019,91.60000038,91.39999962,91.5,91.60000038,92
"KH",97.5,98.29999995,97.9000001,97.5,98.10000002,98.70000005,99.19999999,99.5,99.8,,99.59999999,99.69999999,99.8,99.69999999
"KI",,,,,,,,,,,,,,
"KM",93.19999981,93.30000019,93.30000019,93.30000019,93.30000019,93.30000019,93.30000019,93.4000001,93.4000001,93.4000001,93.5,93.5,93.5,93.5
"KN",,,,,,,,,,,,,,
"KP",95.4000001,95.19999981,95.30000019,95.30000019,95.4000001,95.4000001,95.4000001,95.5,95.30000019,95.09999991,95.5,95.5,95.4000001,95.4000001
"KR",95.59999991,96,96.70000005,96.4000001,96.29999995,96.29999995,96.59999991,96.79999995,96.79999995,96.4000001,96.29999995,96.59999991,96.79999995,96.9000001
"KW",99.19999999,99.19999999,98.89999998,98.70000005,98.29999995,98,98.70000005,98.5,98.20000005,98.39999998,98.20000005,96.4000001,96.59999991,96.9000001
"KY",,,,,,,,,,,,,,
"KZ",87.19999981,89.60000038,90.69999981,91.19999981,91.60000038,91.89999962,92.19999981,92.69999981,93.4000001,93.4000001,94.19999981,94.59999991,94.69999981,94.80000019
"LA",98.10000002,98.10000002,98.20000005,97.9000001,97.59999991,98.60000002,98.60000002,98.60000002,98.60000002,98.60000002,98.60000002,98.60000002,98.60000002,98.60000002
"LB",91.10000038,91.80000019,91.80000019,91.5,92.09999991,91.80000019,91.60000038,91,92.80000019,93.80000019,93.80000019,93.80000019,93.80000019,93.5
"LC",,,,,,,,,,,,,,
"LI",,,,,,,,,,,,,,
"LK",92.30000019,92.09999991,91.19999981,91.80000019,91.60000038,92.30000019,93.5,94,94.80000019,94.09999991,95.09999991,95.80000019,96,95.80000019
"LR",96.09999991,96.29999995,95.69999981,95.80000019,95.9000001,95,95.80000019,94.4000001,94.9000001,95.4000001,96.29999995,96.29999995,96.29999995,96.29999995
"LS",63.09999847,63.09999847,67,61.40000153,64,63.59999847,67.5,73.60000038,74.70000076,74,75.29999924,73.79999924,75.89999962,75.29999924
