"id","entity-name","year","budget-type","value"
"d314","Abim",2012,"budget",11.8733461862
"d314","Abim",2013,"budget",8.8922098912
"d314","Abim",2014,"budget",5.9528841129
"d314","Abim",2015,"budget",2.9559526605
"d314","Abim",2016,"budget",2.6291486883
"d301","Adjumani",2012,"budget",8.188506523
"d301","Adjumani",2013,"budget",8.6834036212
"d301","Adjumani",2014,"budget",7.2503439728
"d301","Adjumani",2015,"budget",4.005327384
"d301","Adjumani",2016,"budget",4.003640323
"d322","Agago",2013,"budget",10.79292382
"d322","Agago",2014,"budget",9.3759768137
"d322","Agago",2015,"budget",3.582558737
"d322","Agago",2016,"budget",3.7119441578
"d323","Alebtong",2012,"budget",10.4333389727
"d323","Alebtong",2013,"budget",7.7999872619
"d323","Alebtong",2014,"budget",7.8121130973
"d323","Alebtong",2015,"budget",3.247486469
"d323","Alebtong",2016,"budget",3.9226872321
"d315","Amolatar",2012,"budget",9.5188614111
"d315","Amolatar",2013,"budget",15.2069806029
"d315","Amolatar",2014,"budget",8.4795016755
"d315","Amolatar",2015,"budget",3.5958349056
"d315","Amolatar",2016,"budget",3.4687653005
"d324","Amudat",2013,"budget",8.9735449092
"d324","Amudat",2014,"budget",10.2293977721
"d324","Amudat",2015,"budget",4.5320120137
"d324","Amudat",2016,"budget",4.374069295
"d216","Amuria",2012,"budget",10.7700257052
"d216","Amuria",2013,"budget",11.1416565552
"d216","Amuria",2014,"budget",9.844253154
"d216","Amuria",2015,"budget",4.7842770384
"d216","Amuria",2016,"budget",4.7747353841
"d316","Amuru",2013,"budget",4.5777938285
"d316","Amuru",2014,"budget",4.6506229551
"d316","Amuru",2015,"budget",2.5981629704
"d316","Amuru",2016,"budget",2.8722364409
"d302","Apac",2012,"budget",7.1859545659
"d302","Apac",2013,"budget",7.3400056012
"d302","Apac",2014,"budget",5.0278434783
"d302","Apac",2015,"budget",2.4715471017
"d302","Apac",2016,"budget",2.5618290986
"d303","Arua",2012,"budget",5.6118398488
"d303","Arua",2013,"budget",6.8145866884
"d303","Arua",2014,"budget",5.1777449387
"d303","Arua",2015,"budget",2.2547798879
"d303","Arua",2016,"budget",2.364409314
"d217","Budaka",2012,"budget",7.1296116299
"d217","Budaka",2013,"budget",9.9102123236
"d217","Budaka",2014,"budget",8.6152999842
"d217","Budaka",2015,"budget",3.5665979754
"d217","Budaka",2016,"budget",3.7222634422
"d218","Bududa",2012,"budget",9.7678327083
"d218","Bududa",2013,"budget",13.1241993219
"d218","Bududa",2014,"budget",15.4429583155
"d218","Bududa",2015,"budget",4.4283996886
"d218","Bududa",2016,"budget",4.5796358311
"d201","Bugiri",2012,"budget",9.5850093142
"d201","Bugiri",2013,"budget",7.109693889
"d201","Bugiri",2014,"budget",6.7387549602
"d201","Bugiri",2015,"budget",3.4994573742
"d201","Bugiri",2016,"budget",4.2979102726
"d420","Buhweju",2012,"budget",11.060959275
"d420","Buhweju",2013,"budget",11.2466654938
"d420","Buhweju",2014,"budget",11.3484807761
"d420","Buhweju",2015,"budget",4.7375428169
"d420","Buhweju",2016,"budget",5.1524625642
"d117","Buikwe",2012,"budget",6.3962600473
"d117","Buikwe",2013,"budget",7.7786964599
"d117","Buikwe",2014,"budget",6.3754634928
"d117","Buikwe",2015,"budget",2.6348392653
"d117","Buikwe",2016,"budget",2.7001841435
"d219","Bukedea",2012,"budget",7.4737101761
"d219","Bukedea",2013,"budget",7.0374540072
"d219","Bukedea",2014,"budget",7.0821472983
"d219","Bukedea",2015,"budget",3.6562532343
"d219","Bukedea",2016,"budget",3.7999534128
"d118","Bukomansimbi",2012,"budget",8.9502621899
"d118","Bukomansimbi",2013,"budget",6.5178004886
"d118","Bukomansimbi",2014,"budget",5.8350642386
"d118","Bukomansimbi",2015,"budget",2.9585468284
"d220","Bukwo",2012,"budget",8.6382885043
"d220","Bukwo",2013,"budget",8.5813372523
"d220","Bukwo",2014,"budget",10.37349718
"d220","Bukwo",2015,"budget",3.4775157001
"d220","Bukwo",2016,"budget",3.1961290672
"d225","Bulambuli",2012,"budget",14.6294114743
"d225","Bulambuli",2013,"budget",18.1485692125
"d225","Bulambuli",2014,"budget",15.5507605256
"d225","Bulambuli",2015,"budget",5.7884224821
"d225","Bulambuli",2016,"budget",6.2429095641
"d416","Buliisa",2012,"budget",9.2403404496
"d416","Buliisa",2013,"budget",11.2693001912
"d416","Buliisa",2014,"budget",7.3566546587
