"district_id","2013","2014","2015","2016","2017","2018"
"d314",5004478.77,6812629.15,5586781.15,3711027.78,,
"d301",7198225.67,9025849.08,7640051.83,5459508.47,5245736.27,4841851.59
"d322",7227867.02,7721903.95,7704212.97,5667817.95,,
"d323",5643941.71,5996195.51,6553890.48,3996909.15,4243512.47,
"d315",5592295.04,6110674.79,4861131.61,3627688.7,3170073.63,
"d324",2728462.25,2645260.71,2227194.09,1602609.8,1499452.75,
"d216",7502161.14,8086370.74,6584327.01,4789561.91,5155604.93,
"d316",6040848,5595539.41,5718311.83,4373390.94,4229780.5,
"d302",10656793.72,13265426.74,10968758.89,7656742.81,7881253.16,
"d303",19706131.39,27839813.26,24085380.82,17491778.06,20134723.38,14114632.29
"d217",5312398.32,5965796.47,5527202.01,4031914.34,4355613.87,3877180.43
"d218",5346926.12,6220872.22,5264865,3795643.51,4141652.21,3786901.8
"d201",10235394.8,11159054.57,9652201.37,7362735.5,420404.22,
"d420",3089547.63,3524887.69,3202483.09,2226975.7,,
"d117",8460005.38,9333101.89,9264130.24,6869003.98,513443.38,2672729.16
"d219",6883927.82,7222213.44,6431373.62,4473941.62,4516965.98,
"d118",3950425.33,4243344.01,3879686.88,2850553.18,,
"d220",5756971.24,4663050.9,4775552.37,3642809.3,,
"d225",4414370.79,4931280.65,4824123.51,3324862.95,3403335.36,
"d416",3921636.21,4706946.17,4582274.45,2701002.31,2246882.82,
"d401",6782813.84,6947375.46,7956648.53,5541582.8,5438865,
"d402",8513241.48,9897801.32,9499664.88,7092993.08,1549736.74,1423305.23
"d202",10218813.94,12553100.36,10444345.21,6915050.72,5853515.83,5312361.67
"d221",6202156.02,7217324.54,7620284.33,5786302.99,5853515.83,5312361.67
"d119",4558800.28,5075935.23,5013514.02,3684558.68,3263760.05,
"d120",2255469.03,2482808.37,2496980.76,1664447.76,1733282.55,1573586.39
"d226",4732418.62,5305333.58,5066036.68,3864391.83,3702175.79,3479623.52
"d317",6648286.13,6420929.9,5555154.49,4094055.45,4186689.36,3754106.57
"d121",4249778.74,4343881.29,4517570.31,3446019.62,3119870.08,2805621.75
"d304",,13703335.66,11192051.12,13812066.84,6311275.97,6045093.92
"d403",10166807.4,8491149.12,5758931.06,9087738.36,6344333.66,5538307.21
"d417",6134522.45,7307583.07,7106001.62,5250710.76,5356769.27,1456124.5
"d203",14534866.89,13733347.97,16241298.11,12027991.41,1277863.16,
"d418",7834473.06,9087809.49,8599790.49,6318498.12,6931968.65,6049009.91
"d204",13209217.02,17982459.58,11398674.09,12356119.85,4683556.45,4437387.79
"d318",6853355.01,8552308.69,7053561.49,5222869.38,4005447.7,
"d404",17158787.89,16806895.1,20477997.6,15079478.71,6274507.28,7944825.16
"d405",13447653.08,14571980.58,14768292.6,10417275.66,11740892.76,10040715.19
"d213",6517823.07,6962385.68,5923961.44,4367765.59,4114058.26,
"d101",3036166.96,3291870.16,3552261.41,2491837.69,2089834.92,1864837.37
"d222",5778310.08,5864802.3,6899300.73,5273819.52,4258564.87,3956906.65
"d122",5193775.6,5758761.8,6224848.06,4499376.7,4529182.77,4100834.08
"d205",10955169.56,11949844.17,11478521.58,8453127.97,9673323.26,8464725.26
"d413",,7770403.64,6904802.61,5045356.62,5949729.79,5439547.07
"d414",8785409.95,8902595.62,8831890.4,6544928.38,6750624.37,5916525.76
"d206",5359458.9,5879772.73,5702295.01,4139039.26,1211345.06,1434409.41
"d406",18004603.43,20175470.66,18484779.28,14687282.98,2435156.46,2161309.19
"d207",5529555.52,7332658.14,6284583.05,4270830.59,3820732.63,
"d112",8656737.73,8883967.49,9258325.17,6764066.23,6739604.98,6062234.23
"d407",11384802.96,13632450.48,13327299.84,9673198.88,8091799.7,6850494.8
"d103",5074112.66,5169888.67,5192009.17,3661373.2,4073445.11,3551578.1
"d227",4470730.68,5051980.14,4903638.4,3662108.93,3845518.87,3432927.61
"d419",6904030.4,7083092.88,6732580.8,4911443.77,4584338.54,4089537.11
"d421",5633638.43,5907229.36,6048655.6,4380164.31,4816072.89,4103065.41
"d408",9329875.8,9884311.5,10586028.84,7759527.15,378173.53,470299.96
"d305",9065686.68,10190550.86,8852385.44,6549011.21,1012729.42,
"d319",5602226.82,5749901.63,6324952.57,3825489.43,2466447.94,2431576.22
"d325",5490606.34,5806412.73,6908733.23,5023013.04,4972067.34,4470316.16
"d306",4918447.08,4145022.31,3627626.78,2626782.93,3534633.73,2327273.7
"d208",8471019.9,8088230.39,7632310.31,5456423.18,1153940.44,1035075.16
"d228",4340232.7,4253371.21,3920363.49,2629784.19,2657191.09,2462342.84
"d123",4556212.27,4669487.15,5003836.77,3674533.31,3202990.61,
"d422",3819660.14,4237351.39,4355901.34,2970838.76,3308735.19,3078047.99
"d415",6867409.18,7756118.12,7523609.59,5153893.02,5957308.41,5539887.61
"d326",8261784.76,6166576.7,6159539.65,3850930.46,,
"d307",14471024.48,9515972.7,16423954.46,11838196.12,12861939.87,11405740.92
"d229",5359156.77,6046158.7,5768977.75,6756871.09,4238996.57,3798750.53
"d104",12789459.45,14174432.02,14224958.67,10832512.05,10518782.32,9626417.87
"d124",5815319.81,6454842.89,6345950.58,4760945.08,5025646.16,4292196.41
"d114",3049970.47,3155901.2,2965830.58,2262346.72,2709624.07,2429626.67
"d223",10201570.18,10965839.55,10278106.28,7565843.02,,
"d320",5571447.21,5976516.28,5949618.67,4501445.81,5038521.68,3885991.56
"d105",9494913.65,4108209.69,10734715.46,7167498.05,3539542.36,3390652.76
"d409",10153865.07,9334964.96,9532228.77,6540618.05,1882676.36,1734984.91
"d214",9338552.95,11511673.86,10608501.76,7058348.32,6958073.56,6430387.18
"d209",15285885.42,12483675.27,17983485.65,12811675.51,9313664.58,8392719.36
"d410",13658497.33,11226336.39,18658164.66,13086414.27,10522645.72,5835081.38
"d423",5260948.59,6003922.43,6031918.33,4336698.42,4231951.15,3678015.25
"d115",8095537.49,8643259.4,10065854.28,7359339.22,6899712.87,5996153.05
"d308",5084716.73,7054998.39,1864797.91,1212618.55,1569790.16,
"d309",5887189.46,5785700.37,5874772.57,4451111.7,4669570.7,4174448.35
"d106",6091275.42,7042783.42,7402826.92,5323364.94,5351993.13,4820854.7
"d107",10487061.44,11411612.72,11164120.25,8215051.2,7814651.89,6689297.15
"d108",12816202.15,13921659.54,14456133.74,10718064.72,8426876.86,7586388.78
"d311",6036207.74,6133032.05,5287875.25,3889645.34,3643271.69,3356439.17
"d116",6869772.05,9130096.67,6334442.44,4823941.88,,
"d109",,,7027706.26,5085410.02,,
"d230",4659698.08,4900003.76,4836098.14,3490580.05,3297800.22,
"d224",5181277.74,5494957.21,5946092.91,4413770.19,4405035.17,4090818.17
"d327",3898500.25,4078952.44,4494773.99,3111840.29,2174538.87,
"d310",11984687.85,12154543.91,10063596.57,7260074.64,1342407.59,1249334.7
"d231",5648079.77,5830568.46,5477626.7,4023576.56,3381047.77,3274325.82
"d424",2971259.71,3178844.54,3332875.71,2483277.01,,
"d411",11310610.72,14266739.29,13709039.89,10457307.18,9888195.92,8296171.59
"d328",5087981.07,5315497.68,4685629.15,3034321.36,,
"d329",4327525.81,4126651.72,4264949.51,3052988.19,2526979.3,
"d321",9615872.84,8999168.47,8686959.41,6555661.11,7216685.86,6679067.19
"d312",8761131.28,8330502.09,7917695.48,5340914.82,,
"d210",9634329.15,10113676.91,9456985.95,6920349.13,7275588.97,
