"district_id","district_name","year","value","value_ncu"
"d314","Abim",2015,4.419596169,12477.49049
"d314","Abim",2016,,
"d301","Adjumani",2015,,
"d301","Adjumani",2016,0.749651275,2774.540813
"d322","Agago",2015,,
"d322","Agago",2016,0.095168014,352.2271594
"d323","Alebtong",2015,,
"d323","Alebtong",2016,,
"d315","Amolatar",2015,,
"d315","Amolatar",2016,,
"d324","Amudat",2015,,
"d324","Amudat",2016,,
"d216","Amuria",2015,,
"d216","Amuria",2016,,
"d316","Amuru",2015,12.75971609,36023.48045
"d316","Amuru",2016,,
"d302","Apac",2015,0.207548385,585.9546666
"d302","Apac",2016,0.158318688,585.9546666
"d303","Arua",2015,,
"d303","Arua",2016,,
"d217","Budaka",2015,,
"d217","Budaka",2016,0.16800624,621.8093456
"d218","Bududa",2015,,
"d218","Bududa",2016,,
"d201","Bugiri",2015,,
"d201","Bugiri",2016,,
"d420","Buhweju",2015,,
"d420","Buhweju",2016,,
"d117","Buikwe",2015,,
"d117","Buikwe",2016,,
"d219","Bukedea",2015,,
"d219","Bukedea",2016,,
"d118","Bukomansimbi",2015,,
"d118","Bukomansimbi",2016,,
"d220","Bukwo",2015,,
"d220","Bukwo",2016,,
"d225","Bulambuli",2015,,
"d225","Bulambuli",2016,,
"d416","Buliisa",2015,1.292418237,3648.780488
"d416","Buliisa",2016,,
"d401","Bundibugyo",2015,0.864793347,2441.50152
"d401","Bundibugyo",2016,0.33495911,1239.720056
"d402","Bushenyi",2015,,
"d402","Bushenyi",2016,,
"d202","Busia",2015,,
"d202","Busia",2016,,
"d221","Butaleja",2015,,
"d221","Butaleja",2016,,
"d119","Butambala",2015,,
"d119","Butambala",2016,,
"d120","Buvuma",2015,,
"d120","Buvuma",2016,,
"d226","Buyende",2015,,
"d226","Buyende",2016,,
"d317","Dokolo",2015,,
"d317","Dokolo",2016,,
"d121","Gomba",2015,,
"d121","Gomba",2016,,
"d304","Gulu",2015,9.900356808,27950.8813
"d304","Gulu",2016,2.461495683,9110.262951
"d403","Hoima",2015,,
"d403","Hoima",2016,,
"d417","Ibanda",2015,,
"d417","Ibanda",2016,,
"d203","Iganga",2015,,
"d203","Iganga",2016,,
"d418","Isingiro",2015,,
"d418","Isingiro",2016,,
"d204","Jinja",2015,,
"d204","Jinja",2016,,
"d318","Kaabong",2015,,
"d318","Kaabong",2016,,
"d404","Kabale",2015,,
"d404","Kabale",2016,,
"d405","Kabarole",2015,1.028326772,2903.19229
"d405","Kabarole",2016,,
"d213","Kaberamaido",2015,,
"d213","Kaberamaido",2016,,
"d101","Kalangala",2015,18.8602365,53246.58919
"d101","Kalangala",2016,10.97181593,40607.88277
"d222","Kaliro",2015,,
"d222","Kaliro",2016,,
"d122","Kalungu",2015,,
"d122","Kalungu",2016,0.116504155,431.1945342
"d102","Kampala",2015,,
"d102","Kampala",2016,,
"d205","Kamuli",2015,,
"d205","Kamuli",2016,,
"d413","Kamwenge",2015,,
"d413","Kamwenge",2016,,
"d414","Kanungu",2015,,
"d414","Kanungu",2016,,
"d206","Kapchorwa",2015,,
"d206","Kapchorwa",2016,,
"d406","Kasese",2015,,
"d406","Kasese",2016,0.039105894,144.7351619
"d207","Katakwi",2015,,
"d207","Katakwi",2016,,
"d112","Kayunga",2015,,
"d112","Kayunga",2016,,
"d407","Kibaale",2015,,
"d407","Kibaale",2016,,
"d103","Kiboga",2015,,
"d103","Kiboga",2016,,
"d227","Kibuku",2015,,
"d227","Kibuku",2016,,
"d419","Kiruhura",2015,,
"d419","Kiruhura",2016,,
"d421","Kiryandongo",2015,,
"d421","Kiryandongo",2016,,
"d408","Kisoro",2015,0.044913835,126.8016194
"d408","Kisoro",2016,0.034260442,126.8016194
"d305","Kitgum",2015,,
"d305","Kitgum",2016,,
"d319","Koboko",2015,,
"d319","Koboko",2016,1.010040126,3738.268241
"d325","Kole",2015,,
"d325","Kole",2016,,
"d306","Kotido",2015,2.526518702,7132.917096
"d306","Kotido",2016,3.507452403,12981.46241
"d208","Kumi",2015,,
"d208","Kumi",2016,,
"d228","Kween",2015,,
"d228","Kween",2016,,
"d123","Kyankwanzi",2015,,
"d123","Kyankwanzi",2016,,
"d422","Kyegegwa",2015,,
"d422","Kyegegwa",2016,1.48346048,5490.448405
"d415","Kyenjojo",2015,0.713044044,2013.079913
"d415","Kyenjojo",2016,0.543912678,2013.079913
"d326","Lamwo",2015,13.11796173,37034.88656
"d326","Lamwo",2016,,
"d307","Lira",2015,0.635653587,1794.589659
"d307","Lira",2016,0.484878946,1794.589659
"d229","Luuka",2015,,
"d229","Luuka",2016,,
"d104","Luwero",2015,,
"d104","Luwero",2016,,
"d124","Lwengo",2015,,
"d124","Lwengo",2016,,
"d114","Lyantonde",2015,,
"d114","Lyantonde",2016,,
"d223","Manafwa",2015,,
"d223","Manafwa",2016,,
"d320","Maracha",2015,,
"d320","Maracha",2016,0.007493498,27.73425041
"d105","Masaka",2015,,
"d105","Masaka",2016,0.252249192,933.6016633
"d409","Masindi",2015,,
"d409","Masindi",2016,,
"d214","Mayuge",2015,,
"d214","Mayuge",2016,,
"d209","Mbale",2015,0.000640464,1.808171125
"d209","Mbale",2016,0.000488549,1.808171125
"d410","Mbarara",2015,,
"d410","Mbarara",2016,,
"d423","Mitooma",2015,,
"d423","Mitooma",2016,,
"d115","Mityana",2015,,
"d115","Mityana",2016,,
"d308","Moroto",2015,,
"d308","Moroto",2016,,
"d309","Moyo",2015,,
"d309","Moyo",2016,,
"d106","Mpigi",2015,,
"d106","Mpigi",2016,,
"d107","Mubende",2015,,
"d107","Mubende",2016,,
"d108","Mukono",2015,,
"d108","Mukono",2016,,
"d311","Nakapiripirit",2015,,
"d311","Nakapiripirit",2016,,
"d116","Nakaseke",2015,,
"d116","Nakaseke",2016,,
"d109","Nakasongola",2015,,
"d109","Nakasongola",2016,,
"d230","Namayingo",2015,,
"d230","Namayingo",2016,,
"d224","Namutumba",2015,,
"d224","Namutumba",2016,,
"d327","Napak",2015,0.982648652,2774.232925
"d327","Napak",2016,,
"d310","Nebbi",2015,,
"d310","Nebbi",2016,,
"d231","Ngora",2015,,
"d231","Ngora",2016,,
"d424","Ntoroko",2015,,
"d424","Ntoroko",2016,,
"d411","Ntungamo",2015,,
"d411","Ntungamo",2016,,
"d328","Nwoya",2015,17.98949954,50788.30755
"d328","Nwoya",2016,,
"d329","Otuke",2015,0.123701031,349.235175
"d329","Otuke",2016,0.094359612,349.235175
"d321","Oyam",2015,3.545626696,10010.08275
"d321","Oyam",2016,,
"d312","Pader",2015,,
"d312","Pader",2016,,
"d210","Pallisa",2015,,
"d210","Pallisa",2016,,
"d110","Rakai",2015,,
"d110","Rakai",2016,,
"d425","Rubirizi",2015,0.070944404,200.2916312
"d425","Rubirizi",2016,0.255244733,944.688489
"d412","Rukungiri",2015,,
"d412","Rukungiri",2016,,
"d111","Sembabule",2015,,
"d111","Sembabule",2016,,
"d232","Serere",2015,,
"d232","Serere",2016,,
"d426","Sheema",2015,0.260604016,735.742364
"d426","Sheema",2016,0.198789723,735.742364
"d215","Sironko",2015,,
"d215","Sironko",2016,,
"d211","Soroti",2015,,
"d211","Soroti",2016,,
"d212","Tororo",2015,,
"d212","Tororo",2016,,
"d113","Wakiso",2015,,
"d113","Wakiso",2016,,
"d313","Yumbe",2015,,
"d313","Yumbe",2016,,
"d330","Zombo",2015,,
"d330","Zombo",2016,,
