"district_id","2014","2015","2016","2017","2018"
"d314",74.4586006,60.36263339,39.0828247,33.37454383,81732.1
"d301",41.73046745,38.67563957,29.43536357,55.4119617,82691.9
"d322",35.11302269,35.66292297,26.05754274,21.9047029,78074.48
"d323",27.8887883,29.88142194,19.44430851,16.3387325,64552.56
"d315",42.24723837,33.98036952,23.81853049,19.20780085,73833.3
"d324",28.13457485,22.77071785,17.9205769,12.49637446,41950.29
"d216",29.72841445,24.56530596,18.5450934,16.51594178,68527.27
"d316",48.57837977,38.55131164,25.25950743,20.40307545,69920.02
"d302",38.58881213,32.5631367,27.68285822,21.40984757,
"d303",35.8605835,31.76916378,5.970218285,5.88251432,64196.56
"d217",29.55076086,27.09169262,21.51971425,19.84042281,67178.92
"d218",30.94502358,25.80535693,17.92251815,17.50922552,70483.21
"d201",29.89995123,25.9543934,16.87742679,1.561743266,
"d420",29.42472461,27.239422,18.94928752,,
"d117",26.09786052,26.16983292,17.17662216,8.464908599,32080.75
"d219",36.70250504,33.16625225,22.53379285,20.8079787,
"d118",29.2692291,28.28396196,20.61009005,,
"d220",54.07641094,54.56914055,40.54078939,,
"d225",28.08604667,27.27611061,17.52045333,17.77142959,
"d416",42.94981322,41.60359156,21.67334417,18.93924701,
"d401",36.35746696,36.47719799,26.88285708,23.87994495,
"d402",43.97790947,43.31352981,30.02166793,25.21050112,87527.63
"d202",41.59241432,34.8818593,5.169713469,3.344049162,10078.18
"d221",30.16942138,31.80913742,20.80642349,21.05312792,76071.05
"d119",49.75515938,50.39552038,34.74888414,34.74716555,127395.97
"d120",30.11760931,30.17749142,20.95004131,18.92112731,62588.46
"d226",16.12936774,15.77260079,11.83148963,10.73851773,39762.13
"d317",35.78093728,31.43703217,21.54717338,22.31676203,72176.94
"d121",27.19480743,30.03443952,22.46263931,20.10665534,73416.29
"d304",39.59025669,30.74561067,21.21021492,13.71364004,66444.12
"d403",24.8821119,6.999117304,4.286699925,6.487499534,21410.5
"d417",31.34395575,31.10543949,23.10926309,29.0602192,55507.56
"d203",,33.06727014,2.806513744,2.550404505,
"d418",19.69050567,18.11801381,13.16571694,11.55607491,42152.21
"d204",,32.55070829,21.08471193,16.0039677,63343.85
"d318",53.41178052,45.5316568,28.20115705,29.53742661,
"d404",32.83078607,42.47846246,36.89269473,24.14806295,49828.26
"d405",33.76465504,34.9132808,24.36679299,22.77608354,16.28568362
"d213",33.33060648,28.62035114,21.293348,18.23454854,
"d101",112.2675458,98.0424723,77.1400163,84.65059059,129024.41
"d222",26.50143409,30.28573916,18.60419024,16.8469501,65133.63
"d122",32.19830716,36.17423506,26.74749242,24.3627997,90693.34
"d205",24.93688642,25.00023192,17.82648736,19.96390638,61488.15
"d413",20.78339237,18.23808771,12.46787553,13.80939704,50550.62
"d414",38.54399952,37.33230965,27.7786862,28.2669657,101398.45
"d206",57.87572406,55.75235579,40.22498587,28.63168541,43988.26
"d406",32.32374958,29.44453314,23.68475852,17.50945025,63340.92
"d207",49.48219151,41.74753399,29.05877664,23.14192729,
"d112",24.6540619,25.95258432,17.41002281,38.80273826,66959.47
"d407",17.99752531,30.84604411,19.71877269,24.78478966,27229.94
"d103",36.51371184,37.05930829,26.25039811,28.18765943,95237.98
"d227",24.60261737,23.98472625,18.40130996,17.71333081,68937.24
"d419",23.46991854,22.7243451,16.10955772,14.80703943,48195.24
"d421",23.14453858,24.1775726,17.4802895,16.20791956,51780.45
"d408",36.32277108,40.08579574,26.86803699,3.436509879,91406.46
"d305",57.61770278,47.83490636,40.42806524,5.261296804,
"d319",29.92923204,33.44356734,19.50980528,18.31631993,45036.48
"d325",24.44968169,29.23477004,21.15928425,18.55394232,71807.14
"d306",26.73922548,22.20972511,16.1934113,42.08369324,39250.88
"d208",34.51209448,33.68497799,23.50648026,5.234411546,69269.7
"d228",45.81334624,42.60790543,27.46079238,25.48116947,98573.09
"d123",21.6533279,23.47732407,18.01433723,13.74139864,
"d422",17.14228932,16.57251062,10.58127703,10.40773896,34083.58
"d415",21.82963172,21.20365579,12.80549787,13.94304558,46529.67
"d326",61.24804513,59.21905623,31.25597272,,
"d307",,47.38573257,18.84975776,31.77295591,60802.77
"d229",24.98888681,24.30603816,17.31218185,18.61841055,67477.88
"d104",31.98241371,32.06338884,24.33092227,21.70844706,87510.58
"d124",23.68607496,24.74841484,18.50565507,17.64044364,65588.64
"d114",34.41290766,34.53207668,26.44057859,27.80048314,102502.41
"d223",31.43444834,29.68246196,22.05828904,,
"d320",37.26511353,27.03547515,26.59766996,27.30952468,80678.67
"d105",,40.64948931,29.74680917,14.87386944,54844.2
"d409",,38.83555556,24.28689575,23.01856286,53829.68
"d214",25.09243376,23.36826728,15.32358669,16.57552161,50984.74
"d209",,40.38060579,31.96197504,19.38453778,62689.26
"d410",,43.19993072,34.65982292,25.5066909,59635.52
"d423",32.90810556,33.88597844,24.81538383,23.5294358,82917.63
"d115",26.76467002,32.78419864,23.58070962,21.72288607,59584.3
"d308",72.13847752,19.71324509,14.95660977,15.2147871,
"d309",45.77642408,48.8664809,37.02186365,39.43815391,122951.95
"d106",30.38290107,31.44839105,22.76304265,23.99290488,78414.35
"d107",17.88136124,17.36733929,12.64974952,9.935912762,35270.86
"d108",,26.43190852,19.62797793,14.42075132,49481.13
"d311",43.79829914,37.7011222,27.43928019,23.17301985,61418.14
"d116",46.90391615,34.00345061,25.98772558,,
"d109",,39.62232453,28.81966425,,
"d230",25.30369471,24.85093677,20.36473512,16.95986113,
"d224",21.85711344,24.04613666,16.47183237,16.99107329,60888.51
"d327",30.83270788,34.08991627,21.59694674,20.17132394,
"d310",31.76453017,26.66617644,19.25831773,3.288525965,47710.87
"d231",42.08506645,40.07307353,29.22736211,23.76415648,82637.26
"d424",53.44641365,56.20438873,41.6697196,,
"d411",,30.10506517,22.76280282,23.30327337,71327.48
"d328",93.96923617,48.1578406,20.92890069,,
"d329",40.59632504,42.27943187,27.8813196,23.42068323,
"d321",31.81587557,23.97466185,17.519174,19.75336459,63984.09
"d312",50.08833086,47.55456871,32.43900718,,
"d210",27.13876601,25.31351946,18.241496,19.48466089,0
"d110",31.49949966,33.51776658,25.10130474,22.61289349,46433.39
"d425",28.5892781,28.94175884,21.03343669,19.52202583,72260.01
"d412",,37.59263549,23.39026746,27.22792947,89727.84
"d111",28.00814136,28.8624763,19.69208351,18.86167739,
"d232",21.55663371,24.68533497,15.25190439,17.52717673,58650.53
"d426",,39.22309975,30.96395413,25.64965354,83292.09
"d215",33.12423582,33.32515875,23.93288405,24.14249113,83403.95
"d211",47.49553122,24.82263671,17.52924563,30.98012335,59685.36
"d212",28.73740072,32.23540371,21.12439521,20.84969818,70128.33
"d113",14.79983321,15.77901771,11.04453975,10.88498947,7.089202266
"d313",23.52992919,22.78397084,16.33822635,14.6549549,45468.29
"d330",22.23813775,28.09554536,19.2240178,18.16165785,58672.55
