"district_id","2012","2013","2014","2015","2016","2017","2018","2019"
"d314",20.82360439,20.37855681,20.8070078,22.83936275,26.02517105,,21,25
"d301",22.38522893,29.55992345,25.40343859,32.283018,30.23682247,27.76406508,26,30
"d322",,16.992747,19.49161921,19.33452239,18.2221163,15.73478579,12,16
"d323",13.50018749,14.68882805,14.11375145,11.51888284,13.98373413,9.511042039,8,12
"d315",12.95659889,14.59599163,13.05215139,13.88043986,13.99801251,14.27797997,10,14
"d324",,14.77808068,19.57098298,19.05951811,18.17844865,27.63467827,13,17
"d216",13.70483312,15.4934045,14.90750163,14.86140175,17.12822658,14.99556844,12,17
"d316",,13.55364753,14.59702776,16.18033297,13.70159202,11.4589082,10,16
"d302",15.66250198,14.52498122,14.77829783,17.31860918,16.05325755,18.32409673,,23
"d303",11.77255068,10.04153104,9.285701986,10.68144315,11.0488792,3.495365408,9,14
"d217",10.42466232,14.49324962,14.4351217,12.34278617,12.95865085,9.428557238,10,15
"d218",11.29179829,14.55452714,15.66549923,17.46925999,17.83828293,22.24456742,16,21
"d201",10.9697764,13.20721077,14.08318984,12.90421065,17.2641293,4.162180773,,20
"d420",11.26380655,11.64334673,11.50257851,10.788746,11.34723998,,,13
"d117",10.7127335,16.37678158,15.39170955,14.55958521,15.25741766,7.656333913,19,22
"d219",9.885534397,10.08374704,9.392423431,8.776914271,10.27691153,7.527529245,,11
"d118",7.668945536,8.557999055,13.06158508,12.70509304,13.29254936,,,13
"d220",13.06955195,13.10043629,21.20682569,18.53905897,18.55433687,,,19
"d225",10.71139213,10.11251604,14.22817153,15.17112572,17.44626717,18.61986263,,20
"d416",10.1534823,9.515640926,10.69809263,16.18196719,19.79846047,24.76890799,,33
"d401",18.7051754,24.65133225,22.68898763,20.24982263,21.36191925,20.86433675,,24
"d402",13.28731371,13.36184931,20.05117762,14.69854514,13.83721552,12.69065509,12,13
"d202",10.30586116,9.57085527,8.742546383,8.350470473,9.742568774,8.484497932,9,21
"d221",18.52836262,14.81646394,15.71669037,14.40815805,14.66522305,20.22042259,15,20
"d119",11.83279611,13.10462293,13.85669617,12.39556578,12.84939737,13.32493957,18,19
"d120",,18.24637998,22.63680757,20.12690049,24.19464243,19.97981705,14,19
"d226",5.160240772,8.040920655,10.73441939,10.91504949,10.4825618,10.13571007,9,16
"d317",,8.947683057,15.57633079,15.08215771,15.64526116,12.38034191,11,15
"d121",8.50734884,7.206443317,9.556061008,8.690270174,8.765627052,9.082745476,9,12
"d304",17.51606031,12.76541713,13.51656346,13.65748924,15.71584563,10.83152017,2,11
"d403",12.31760738,16.49033719,14.0729095,11.41005428,12.97955845,18.48157887,15,20
"d417",10.59555449,15.05308681,14.77624037,13.39418298,14.75953102,14.51030286,12,13
