"district_id","district_name","year","budget_type","value"
"d314","Abim",2012,"actual",20.82360439
"d314","Abim",2013,"actual",20.37855681
"d314","Abim",2014,"actual",20.8070078
"d314","Abim",2015,"approved",22.83936275
"d314","Abim",2015,"actual",22.83936275
"d314","Abim",2016,"actual",26.02517105
"d314","Abim",2016,"proposed",26.51685291
"d314","Abim",2017,"actual",
"d314","Abim",2018,"approved",21
"d314","Abim",2019,"proposed",25
"d301","Adjumani",2012,"actual",22.38522893
"d301","Adjumani",2013,"actual",29.55992345
"d301","Adjumani",2014,"actual",25.40343859
"d301","Adjumani",2015,"approved",32.283018
"d301","Adjumani",2015,"actual",32.283018
"d301","Adjumani",2016,"proposed",30.23682247
"d301","Adjumani",2016,"actual",33.35762128
"d301","Adjumani",2017,"actual",27.76406508
"d301","Adjumani",2018,"approved",26
"d301","Adjumani",2019,"proposed",30
"d322","Agago",2013,"actual",16.992747
"d322","Agago",2014,"actual",19.49161921
"d322","Agago",2015,"actual",19.33452239
"d322","Agago",2015,"approved",19.33452239
"d322","Agago",2016,"proposed",18.2221163
"d322","Agago",2016,"actual",19.24157459
"d322","Agago",2017,"actual",15.73478579
"d322","Agago",2018,"approved",12
"d322","Agago",2019,"proposed",16
"d323","Alebtong",2012,"actual",13.50018749
"d323","Alebtong",2013,"actual",14.68882805
"d323","Alebtong",2014,"actual",14.11375145
"d323","Alebtong",2015,"actual",11.51888284
"d323","Alebtong",2015,"approved",11.51888284
"d323","Alebtong",2016,"approved",13.98373413
"d323","Alebtong",2016,"actual",13.55812021
"d323","Alebtong",2016,"proposed",13.17106603
"d323","Alebtong",2017,"actual",9.511042039
"d323","Alebtong",2017,"approved",10.66951873
"d323","Alebtong",2018,"approved",8
"d323","Alebtong",2019,"proposed",12
"d315","Amolatar",2012,"actual",12.95659889
"d315","Amolatar",2013,"actual",14.59599163
"d315","Amolatar",2014,"actual",13.05215139
"d315","Amolatar",2015,"approved",13.88043986
"d315","Amolatar",2015,"actual",13.88043986
"d315","Amolatar",2016,"proposed",13.99801251
"d315","Amolatar",2016,"approved",14.78589272
"d315","Amolatar",2016,"actual",14.17096233
"d315","Amolatar",2017,"approved",14.27797997
"d315","Amolatar",2017,"actual",14.05747254
"d315","Amolatar",2018,"approved",10
"d315","Amolatar",2019,"proposed",14
"d324","Amudat",2013,"actual",14.77808068
"d324","Amudat",2014,"actual",19.57098298
"d324","Amudat",2015,"actual",19.05951811
"d324","Amudat",2015,"approved",19.05951811
"d324","Amudat",2016,"proposed",18.17844865
"d324","Amudat",2016,"actual",19.80371979
"d324","Amudat",2016,"approved",17.84221363
"d324","Amudat",2017,"actual",27.63467827
"d324","Amudat",2017,"approved",21.35567543
"d324","Amudat",2018,"approved",13
"d324","Amudat",2019,"proposed",17
"d216","Amuria",2012,"actual",13.70483312
"d216","Amuria",2013,"actual",15.4934045
"d216","Amuria",2014,"actual",14.90750163
"d216","Amuria",2015,"approved",14.86140175
"d216","Amuria",2015,"actual",14.86140175
"d216","Amuria",2016,"approved",17.12822658
"d216","Amuria",2016,"proposed",16.1891948
"d216","Amuria",2016,"actual",15.0724736
"d216","Amuria",2017,"approved",14.99556844
"d216","Amuria",2017,"actual",19.06780834
"d216","Amuria",2018,"approved",12
"d216","Amuria",2018,"proposed",29.79108259
"d216","Amuria",2019,"proposed",17
"d316","Amuru",2013,"actual",13.55364753
"d316","Amuru",2014,"actual",14.59702776
"d316","Amuru",2015,"actual",16.18033297
"d316","Amuru",2015,"approved",16.18033297
"d316","Amuru",2016,"approved",13.70159202
"d316","Amuru",2016,"proposed",13.00872839
"d316","Amuru",2016,"actual",18.80700982
"d316","Amuru",2017,"approved",11.4589082
"d316","Amuru",2017,"actual",7.851628315
"d316","Amuru",2018,"approved",10
"d316","Amuru",2019,"proposed",16
"d302","Apac",2012,"actual",15.66250198
"d302","Apac",2013,"actual",14.52498122
"d302","Apac",2014,"actual",14.77829783
"d302","Apac",2015,"approved",17.31860918
"d302","Apac",2015,"actual",17.30671594
"d302","Apac",2016,"proposed",16.05325755
"d302","Apac",2016,"approved",16.25417531
"d302","Apac",2016,"actual",17.92625026
"d302","Apac",2017,"approved",18.32409673
"d302","Apac",2019,"proposed",23
"d303","Arua",2012,"actual",11.77255068
"d303","Arua",2013,"actual",10.04153104
"d303","Arua",2014,"actual",9.285701986
"d303","Arua",2015,"approved",10.68144315
"d303","Arua",2016,"actual",11.0488792
"d303","Arua",2016,"approved",4.610151025
"d303","Arua",2017,"approved",3.495365408
"d303","Arua",2017,"actual",12.24169569
"d303","Arua",2018,"approved",9
"d303","Arua",2019,"proposed",14
"d217","Budaka",2012,"actual",10.42466232
"d217","Budaka",2013,"actual",14.49324962
"d217","Budaka",2014,"actual",14.4351217
"d217","Budaka",2015,"approved",12.34278617
"d217","Budaka",2015,"actual",12.34278617
"d217","Budaka",2016,"actual",12.95865085
"d217","Budaka",2016,"proposed",12.38885163
"d217","Budaka",2017,"actual",9.428557238
"d217","Budaka",2018,"approved",10
"d217","Budaka",2019,"proposed",15
"d218","Bududa",2012,"actual",11.29179829
"d218","Bududa",2013,"actual",14.55452714
"d218","Bududa",2014,"actual",15.66549923
"d218","Bududa",2015,"actual",17.46925999
"d218","Bududa",2015,"approved",17.46925999
"d218","Bududa",2016,"approved",17.83828293
"d218","Bududa",2016,"proposed",17.37689114
"d218","Bududa",2016,"actual",17.27224445
"d218","Bududa",2017,"approved",22.24456742
"d218","Bududa",2017,"actual",22.1585886
"d218","Bududa",2018,"approved",16
"d218","Bududa",2019,"proposed",21
"d201","Bugiri",2012,"actual",10.9697764
"d201","Bugiri",2013,"actual",13.20721077
"d201","Bugiri",2014,"actual",14.08318984
"d201","Bugiri",2015,"approved",12.90421065
"d201","Bugiri",2015,"actual",12.90421065
"d201","Bugiri",2016,"proposed",17.2641293
"d201","Bugiri",2016,"actual",15.84849695
"d201","Bugiri",2017,"approved",4.162180773
"d201","Bugiri",2019,"proposed",20
"d420","Buhweju",2012,"actual",11.26380655
"d420","Buhweju",2013,"actual",11.64334673
"d420","Buhweju",2014,"actual",11.50257851
"d420","Buhweju",2015,"actual",10.788746
"d420","Buhweju",2015,"approved",10.788746
"d420","Buhweju",2016,"actual",11.34723998
"d420","Buhweju",2016,"proposed",10.59843666
