"district_id","2011","2012","2013","2014","2015","2016"
"d314",61,69.4,70,73,68.1,68.2
"d301",67,62.2,72,107,82.6,84.2
"d322",59,61.9,72,75,88,75.1
"d323",,59.5,72,75,91.5,65.6
"d315",83,53.3,75,90,75.4,81.8
"d324",33,27.8,45,46,36,38.5
"d216",67,56.8,62,70,65.4,75.8
"d316",77,71.7,70,75,79.8,82.8
"d302",66,78.4,83,120,82.7,84.3
"d303",42,53.1,53,54,49.8,67.4
"d217",58,58,73,82,72.9,75.5
"d218",42,44.8,32,60,86.6,62.9
"d201",34,44,43,51,47.4,54.9
"d420",25,24.5,35,36,49.3,55.7
"d117",52,62.8,65,71,64.1,69.9
"d219",56,65.5,61,80,63.1,78.2
"d118",30,44.1,57,70,57.3,67.6
"d220",43,43.2,53,55,55.3,57.7
"d225",52,47,65,64,57.1,86.6
"d416",74,68.8,40,73,66.2,49.6
"d401",44,62.8,66,95,95.4,92.7
"d402",53,52.4,80,78,78,77.8
"d202",34,38.4,42,71,46.9,52.5
"d221",38,37.6,50,53,52.3,61.1
"d119",45,44.7,50,56,54.5,60.8
"d120",27,53,68,63,62.7,77.3
"d226",33,54.4,41,81,74.4,64.1
"d317",74,75.9,82,83,56.5,88.1
"d121",28,33.5,33,58,56.8,55.7
"d304",73,79,87,85,126.9,98.4
"d403",33,50.8,61,60,70.4,62.6
"d417",28,37.1,48,46,52.1,53.1
"d203",73,84,91,87,87.1,79.3
"d418",40,42.6,48,51,80.6,54.5
"d204",57,72.3,78,84,94.7,84.9
"d318",42,36,35,43,46.2,60.7
"d404",48,76.2,61,61,96.5,69.6
"d405",79,58.6,60,71,86.8,87.4
"d213",63,61,63,84,88.4,84.6
"d101",50,54.6,46,80,78.3,82.2
"d222",76,82.7,87,89,75.6,90
"d122",64,40.2,61,76,54.3,72.3
"d102",123,77.6,,326,302,88.5
"d205",49,50.1,64,64,70.2,70.4
"d413",74,67.1,78,76,75.1,80.7
"d414",48,55,57,60,63.4,63.7
"d206",63,63.2,76,77,64.3,87
"d406",30,40.5,57,60,70.2,63.5
"d207",71,56.4,57,55,51.2,59.8
"d112",63,61.6,73,78,77.9,74
"d407",46,39.9,54,51,77.8,85.8
"d103",43,42,46,49,47.2,63.6
"d227",52,42.5,60,66,53.5,87.8
"d419",31,30.5,28,49,62.8,51
"d421",60,54.4,49,56,53.2,61.4
"d408",71,57.2,66,68,66.9,75.7
"d305",67,63.3,58,71,70.3,79.7
"d319",55,51.7,59,77,122.2,80.2
"d325",30,61.6,84,110,36.9,90.7
"d306",67,55.8,84,76,64.9,72.9
"d208",27,46.2,57,61,88.6,54.2
"d228",64,64.9,66,64,63.9,74.9
"d123",25,31.7,68,63,64.2,58.6
"d422",53,62.3,71,81,81.5,94.3
"d415",58,54.7,60,91,63.6,78.4
"d326",32,37.5,32,59,45.1,54.9
"d307",75,86.6,78,80,90.5,100.3
"d229",42,31.6,40,49,126.6,58
"d104",69,68.4,71,87,76.8,83.6
"d124",50,47.5,59,55,56.7,58.2
"d114",38,46.2,49,59,47.2,82.3
"d223",41,50.5,77,75,70.7,78.8
"d320",36,64.1,79,48,51,107.1
"d105",48,69.3,64,71,66.2,72.9
"d409",72,67.7,74,73,68,84.7
"d214",65,57.8,64,58,60.3,74.5
"d209",64,44.3,82,76,94.3,94.1
"d410",35,40.2,49,47,39.9,47.8
"d423",38,49.8,55,67,65.5,71.4
"d115",46,41.2,60,56,57.1,62.3
"d308",38,48.1,61,57,86.4,53.8
"d309",51,63.5,71,60,59,82.1
"d106",42,56.8,58,66,70.8,58.3
"d107",28,55.6,50,49,54.4,49.2
"d108",52,78.2,78,80,79.1,84.8
"d311",60,66.3,51,61,60.5,74.7
"d116",60,49.7,80,68,66.3,85.7
"d109",54,67.7,64,73,81.3,82.5
"d230",20,19,33,41,35.1,52.6
"d224",54,54.8,52,61,63.1,58.5
"d327",50,35.6,73,89,71.2,81.6
"d310",51,39.7,56,54,51.8,60.9
"d231",32,41,63,63,32.6,60.4
"d424",39,36.4,58,66,75,81.7
"d411",63,72.1,64,71,75,74
"d328",36,48.8,49,51,80.3,52.3
"d329",73,52.2,70,71,97.9,81.3
"d321",85,83.2,77,76,80.3,100.3
"d312",72,60.9,62,80,72.7,74.3
"d210",60,63.9,64,66,60,77.4
"d110",55,64.2,57,60,59.9,72.5
"d425",36,37.6,50,46,47.3,57.8
"d412",38,74.1,61,83,118.4,69.5
"d111",44,52.2,52,70,62.3,52.7
"d232",44,38.8,64,57,48.2,66.4
"d426",46,52.2,40,64,85.2,55.9
"d215",71,55.9,72,46,61.8,73.1
"d211",70,43.1,68,70,59.5,64.9
"d212",49,48.1,46,55,60.6,55.3
"d113",44,62.5,63,69,82,70.6
"d313",68,66.7,67,76,71.5,71.1
"d330",51,50.5,88,82,51.9,94.7
