"id","entity-name","year","value","value-ncu"
"d101","Kalangala",2015,200164.841746849,677054000
"d102","Kampala",2015,,
"d103","Kiboga",2015,265939.320823379,899535000
"d104","Luwero",2015,112851.446209495,381718000
"d105","Masaka",2015,630653.147258049,2133173000
"d106","Mpigi",2015,309191.581865428,1045835000
"d107","Mubende",2015,,
"d108","Mukono",2015,776127.086595945,2625236000
"d109","Nakasongola",2015,160311.268284699,542250000
"d110","Rakai",2015,588288.695784757,1989876000
"d111","Ssembabule",2015,148759.98774174,503178000
"d112","Kayunga",2015,225065.195036436,761279000
"d113","Wakiso",2015,863351.789868687,2920272000
"d114","Lyantonde",2015,181836.880905832,615060000
"d115","Mityana",2015,,
"d116","Nakaseke",2015,405949.521020344,1373117000
"d117","Buikwe",2015,1378548.89474649,4662917000
"d118","Bukomansimbi",2015,31004.4505810106,104872000
"d119","Butambala",2015,45327.6600339513,153320000
"d120","Buvuma",2015,106397.31011374,359887000
"d121","Gomba",2015,154661.571028968,523140000
"d122","Kalungu",2015,171872.304976766,581355000
"d123","Kyankwanzi",2015,145049.990313054,490629000
"d124","Lwengo",2015,204483.563751649,691662000
"d201","Bugiri",2015,164123.261817688,555144000
"d202","Busia",2015,403596.51524021,1365158000
"d203","Iganga",2015,243652.137290118,824149000
"d204","Jinja",2015,2385375.20466786,8068489000
"d205","Kamuli",2015,352962.988296336,1193891000
"d206","Kapchorwa",2015,85402.6685167468,288873000
"d207","Katakwi",2015,205037.299123705,693535000
"d208","Kumi",2015,87403.2703654929,295640000
"d209","Mbale",2015,1144081.72837951,3869836000
"d210","Pallisa",2015,206161.917038975,697339000
"d211","Soroti",2015,173349.918105188,586353000
"d212","Tororo",2015,345193.545916397,1167611000
"d213","Kaberamaido",2015,138546.186549117,468630000
"d214","Mayuge",2015,204442.765309928,691524000
"d215","Sironko",2015,258208.016117222,873384000
"d216","Amuria",2015,152650.030467586,516336000
"d217","Budaka",2015,79243.5820212648,268040000
"d218","Bududa",2015,93380.24207764,315857000
"d219","Bukedea",2015,258513.708789249,874418000
"d220","Bukwo",2015,61709.4169485174,208731000
"d221","Butaleja",2015,118242.457693445,399953000
"d222","Kaliro",2015,101276.810036855,342567000
"d223","Manafwa",2015,159720.282161507,540251000
"d224","Namutumba",2015,96977.6003302693,328025000
"d225","Bulambuli",2015,43183.9679982992,146069000
"d226","Buyende",2015,86349.0149801481,292074000
"d227","Kibuku",2015,35446.1591927382,119896000
"d228","Kween",2015,81175.8908262602,274576000
"d229","Luuka",2015,,
"d230","Namayingo",2015,141672.293235779,479204000
"d231","Ngora",2015,168375.464624029,569527000
"d232","Serere",2015,222570.281632924,752840000
"d301","Adjumani",2015,114455.889276312,387145000
"d302","Apac",2015,127421.220158055,4.31e+08
"d303","Arua",2015,553847.419950063,1873379000
"d304","Gulu",2015,994216.043738948,3362918000
"d305","Kitgum",2015,366851.3100118,1240868000
"d306","Kotido",2015,39317.8721838981,132992000
"d307","Lira",2015,622058.866817226,2104103000
"d308","Moroto",2015,165280.991511746,559060000
"d309","Moyo",2015,261698.056729672,885189000
"d310","Nebbi",2015,504013.010310336,1704815000
"d311","Nakapiripirit",2015,128059.213181492,433158000
"d312","Pader",2015,203147.858246605,687144000
"d313","Yumbe",2015,152557.79051239,516024000
"d314","Abim",2015,116678.81306835,394664000
"d315","Amolatar",2015,117074.380568515,396002000
"d316","Amuru",2015,129209.847494381,437050000
"d317","Dokolo",2015,31924.7806467926,107985000
"d318","Kaabong",2015,100331.054855218,339368000
"d319","Koboko",2015,360837.087548516,1220525000
"d320","Maracha",2015,72385.3048397646,244842000
"d321","Oyam",2015,304687.493027591,1030600000
"d322","Agago",2015,135462.652149468,458200000
"d323","Alebtong",2015,171916.651109072,581505000
"d324","Amudat",2015,33868.9150870695,114561000
"d325","Kole",2015,134443.578029086,454753000
"d326","Lamwo",2015,65040.9940481952,2.2e+08
"d327","Napak",2015,97016.9205675802,328158000
"d328","Nwoya",2015,196096.823210016,663294000
"d329","Otuke",2015,37052.6717457287,125330000
"d330","Zombo",2015,242606.455490353,820612000
"d401","Bundibugyo",2015,55087.6524726471,186333000
"d402","Bushenyi",2015,239478.870599281,810033000
"d403","Hoima",2015,677961.60120165,2293193000
"d404","Kabale",2015,772268.677444477,2612185000
"d405","Kabarole",2015,764237.001602171,2585018000
"d406","Kasese",2015,424226.631629651,1434939000
"d407","Kibaale",2015,478340.443036867,1617978000
"d408","Kisoro",2015,337980.20403557,1143212000
"d409","Masindi",2015,366285.45336358,1238954000
"d410","Mbarara",2015,1057845.6482163,3578144000
"d411","Ntungamo",2015,235586.167105496,796866000
"d412","Rukungiri",2015,209274.719885945,707868000
"d413","Kamwenge",2015,149258.142627973,504863000
"d414","Kanungu",2015,267219.4458426,903865000
"d415","Kyenjojo",2015,286792.94171964,970072000
"d416","Buliisa",2015,152062.000753214,514347000
"d417","Ibanda",2015,284439.04901686,962110000
"d418","Isingiro",2015,280541.615268963,948927000
"d419","Kiruhura",2015,398260.197319437,1347108000
"d420","Buhweju",2015,60215.5435715832,203678000
"d421","Kiryandongo",2015,328537.138622418,1111271000
"d422","Kyegegwa",2015,196809.022094844,665703000
"d423","Mitooma",2015,115654.417412091,391199000
"d424","Ntoroko",2015,105878.460365765,358132000
"d425","Rubirizi",2015,75167.8768214992,254254000
"d426","Sheema",2015,145327.597101287,491568000
