"district_id","2011","2012","2013","2014","2015","2016"
"d314",66.4,69.1,74.1,81.3,71.8,67.6
"d301",42.7,47.2,49.4,65,70.6,80.9
"d322",54.2,53.4,66,73.9,80.3,68.5
"d323",,35.3,53.8,71,70.3,64.1
"d315",51.3,39.1,66.7,78.2,77.9,63
"d324",23.2,28.3,30.9,35.8,46.6,46.8
"d216",47,61.8,47.3,62.4,76.1,71.1
"d316",57.6,60.1,60.1,73.9,73.6,69.9
"d302",55.3,58.9,59.9,77.1,76.1,64.8
"d303",52.7,48.5,57.8,71.4,75,67.9
"d217",61.3,60.7,67,77.6,71,61
"d218",62.7,57.9,56.4,71.9,68,61
"d201",52.8,44.9,59.5,68.4,71.7,65.6
"d420",40.1,51.8,56.5,67.5,62.2,69.8
"d117",46.2,55.8,63.1,72.4,75.7,63
"d219",56,64,62.6,72.6,69.6,65.2
"d118",50.2,44.5,49.7,71.4,71.6,67
"d220",58.9,56.3,55.5,76.2,67.7,66.6
"d225",17.8,52.5,57.9,69,57.3,55.7
"d416",67,57.9,59.1,75.8,68.6,59
"d401",52.7,65.9,60.3,74.5,75.1,67.6
"d402",74.2,70.7,74.2,79.1,81.1,73.9
"d202",44.7,61.3,63.2,77.9,72.9,68
"d221",68,66.4,63.1,74.7,67.6,68.3
"d119",55.8,68.7,67.3,77.2,83.4,67.1
"d120",50.7,45.3,60.9,66.3,59.3,53
"d226",54.8,49.7,56.7,68.9,63,68.6
"d317",58.3,68,66,77.6,78.7,69.8
"d121",41.2,40.2,54,68.7,68.4,66
"d304",69,83.1,83.8,86.3,89,78.5
"d403",48.9,41.4,65.6,74.6,79.3,67.1
"d417",54.2,65.1,60.9,68.4,70.4,68.2
"d203",59.9,65,68.4,77.5,78,63
"d418",60.2,62.4,65.8,77.3,78.1,68.6
"d204",66.7,68.9,74,79.1,84.7,70
"d318",37,33.9,34,50.8,62.8,54.6
"d404",59.9,69.6,66.4,78,76.7,74.6
"d405",73.1,83.3,81.8,77,85.4,74.2
"d213",65.2,65.1,62.6,73.5,79.1,71.3
"d101",51.5,63.5,63.3,63.9,72.9,64.7
"d222",48,59.9,53.8,71.9,65.8,65.6
"d122",53.8,56,73,75.3,75.2,66.3
"d102",77.5,65.4,,72.2,87.4,75.1
"d205",60.9,66.7,72.1,74.2,75.8,72.4
"d413",61.2,63.5,71.9,83.8,77.2,76.6
"d414",58.8,52.7,62.9,75.8,78,70.3
"d206",63.6,56.1,,69.4,68.7,70
"d406",57.2,57.1,59.2,71.2,72.2,71.8
"d207",66.4,51.2,65.9,66.7,79.8,71.5
"d112",58.3,61.6,64.2,75.9,75.7,69.6
"d407",50.9,50.1,54.5,70.7,72.9,68.6
"d103",51.5,72,69.1,76.6,78.1,76.5
"d227",51.5,52.9,52.7,70.4,64.6,70.2
"d419",48.9,60.2,64.2,76.7,76.8,65.3
"d421",42.9,46.3,49.8,63.8,71.7,67
"d408",63.9,65.2,64.2,78.8,72.3,72.4
"d305",57.2,58.1,64.2,72,78.4,64.2
"d319",49.4,60.8,56.1,71.3,75.5,74
"d325",40.4,42.3,52.4,67.8,66.2,68.9
